Configuración,Compacidad,Tolerancia,Hamming,Balance
SPEA2 (random_dense),243.0,62.0,0.3950726731459592,0.002931136288261
SPEA2 (random_dense),343.0,82.0,0.3883650724727581,0.0032039846386546
SPEA2 (random_dense),223.0,60.0,0.4212265051044748,0.0038245947877544
SPEA2 (random_dense),219.0,41.0,0.358281518183879,0.0021409333202274
SPEA2 (random_dense),271.0,66.0,0.4211908874407893,0.0041714386787405
SPEA2 (random_dense),256.0,59.0,0.398188164893617,0.0029801633071266
SPEA2 (random_dense),157.0,31.0,0.3959603830690699,0.0029703562526192
SPEA2 (random_dense),187.0,48.0,0.4012828535669587,0.0031036406507981
SPEA2 (random_dense),191.0,37.0,0.3447189112918198,0.001974081982493
SPEA2 (random_dense),213.0,48.0,0.4166000732527553,0.003537682747914
SPEA2 (random_dense),345.0,81.0,0.3701896392229417,0.0026562127242157
SPEA2 (random_dense),230.0,54.0,0.3779216774591428,0.0024741103706942
SPEA2 (random_dense),251.0,53.0,0.3718706733350286,0.0024496818827974
SPEA2 (random_dense),347.0,82.0,0.3650847180493388,0.0025216922107362
SPEA2 (random_dense),329.0,79.0,0.3842856065015413,0.0030008102093576
SPEA2 (random_dense),262.0,65.0,0.4004791294461588,0.0031547511536659
SPEA2 (random_dense),155.0,36.0,0.3860901395561656,0.0026088567245663
SPEA2 (random_dense),225.0,47.0,0.3354688731284476,0.001806349197478
SPEA2 (random_dense),338.0,81.0,0.3967932980821688,0.0034030667031594
SPEA2 (random_dense),209.0,51.0,0.4388934134174895,0.0045966921804963
SPEA2 (random_dense),212.0,49.0,0.3633120901913555,0.0022221594817203
SPEA2 (random_dense),179.0,40.0,0.4120557470581243,0.0033427065242729
SPEA2 (random_dense),311.0,76.0,0.3978244509817336,0.0033200130701267
SPEA2 (random_dense),233.0,49.0,0.3426665753508051,0.0019069631619886
SPEA2 (random_dense),224.0,50.0,0.367512031408308,0.0023745942475234
SPEA2 (random_dense),147.0,30.0,0.3730761808269407,0.0025708321947677
SPEA2 (random_dense),162.0,39.0,0.399822695035461,0.0030087589544851
SPEA2 (random_dense),258.0,65.0,0.4234427401176535,0.0040780687425377
SPEA2 (random_dense),224.0,55.0,0.4183605623100304,0.0035416987553141
SPEA2 (random_dense),300.0,72.0,0.3956028368794326,0.0031121464379726
SPEA2 (random_dense),218.0,57.0,0.4386955885223502,0.0044172762754217
SPEA2 (random_dense),224.0,42.0,0.3427249556737589,0.0019478515594675
SPEA2 (random_dense),228.0,53.0,0.3607183961677243,0.0022004171728283
SPEA2 (random_dense),318.0,73.0,0.3841356661760114,0.0028988692817667
SPEA2 (random_dense),184.0,44.0,0.3864621877890841,0.0029690722808374
SPEA2 (random_dense),192.0,43.0,0.3530354240543735,0.0021867272330574
SPEA2 (random_dense),235.0,58.0,0.4341934510336502,0.0047043940417872
SPEA2 (random_dense),189.0,36.0,0.3555761942286765,0.0021272302929678
SPEA2 (random_dense),295.0,72.0,0.4050757302560404,0.003553535729128
SPEA2 (random_dense),189.0,45.0,0.3926835903786258,0.0027278435641071
SPEA2 (random_dense),239.0,61.0,0.4266521261758509,0.0044118578065355
SPEA2 (random_dense),249.0,49.0,0.3411874448147198,0.0018963001124087
SPEA2 (random_dense),174.0,35.0,0.3600768321513002,0.0022075120240882
SPEA2 (random_dense),168.0,43.0,0.4345343633907464,0.0041442772804236
SPEA2 (random_dense),341.0,79.0,0.3601604583931282,0.0024901334608583
SPEA2 (random_dense),239.0,61.0,0.4177609127867295,0.0038990865939757
SPEA2 (random_dense),321.0,78.0,0.3954618766708645,0.0033148373631133
SPEA2 (random_dense),251.0,60.0,0.4287954564719844,0.0043887575495716
SPEA2 (random_dense),187.0,48.0,0.4221659650320477,0.0040213072256749
SPEA2 (random_dense),252.0,55.0,0.3426312901046943,0.0019871734508463
SPEA2 (random_dense),203.0,45.0,0.3553392376759948,0.0022461781128923
SPEA2 (random_dense),187.0,42.0,0.4083039405317253,0.0032780698700405
SPEA2 (random_dense),225.0,50.0,0.3855397951142632,0.0027011905405061
SPEA2 (random_dense),336.0,77.0,0.3673352541371158,0.0026262606441571
SPEA2 (random_dense),164.0,34.0,0.3916169347863691,0.0028990971845762
SPEA2 (random_dense),190.0,44.0,0.3729703247480402,0.0023623368730581
SPEA2 (random_dense),244.0,58.0,0.4186032147424718,0.0037668541575185
SPEA2 (random_dense),199.0,49.0,0.4307085070743789,0.0039827640574648
SPEA2 (random_dense),197.0,50.0,0.4364852215862044,0.0042454651577203
SPEA2 (random_dense),273.0,66.0,0.3891389343517003,0.002913673089155
SPEA2 (random_dense),179.0,40.0,0.3753268750742898,0.0024300373706104
SPEA2 (random_dense),183.0,40.0,0.3647880091462233,0.0023982140785585
SPEA2 (random_dense),210.0,40.0,0.3367147922998987,0.0018333213680069
SPEA2 (random_dense),205.0,39.0,0.3507394914374675,0.0020324797618704
SPEA2 (random_dense),142.0,33.0,0.4125961442413345,0.0033400378752286
SPEA2 (random_dense),215.0,42.0,0.3524740227610094,0.0020759995064196
SPEA2 (random_dense),147.0,31.0,0.3814770589086698,0.0026346837480384
SPEA2 (random_dense),282.0,67.0,0.3904230169508575,0.0031185206169151
SPEA2 (random_dense),202.0,49.0,0.3815567726985465,0.0026145083267991
SPEA2 (random_dense),185.0,49.0,0.4383266244968372,0.0041473244071032
SPEA2 (random_dense),265.0,54.0,0.3442927873678576,0.0020400526958829
SPEA2 (random_dense),245.0,60.0,0.4064119264727167,0.0032729909559127
SPEA2 (random_dense),298.0,70.0,0.3724623970679233,0.0026945642319826
SPEA2 (random_dense),182.0,45.0,0.4189365598940067,0.0037917774104247
SPEA2 (random_dense),174.0,42.0,0.4234480720632591,0.0038260142387019
SPEA2 (random_dense),184.0,33.0,0.3635811748381128,0.0022768646852303
SPEA2 (random_dense),322.0,76.0,0.3870754592308709,0.0032142503635219
SPEA2 (random_dense),308.0,71.0,0.3685870866721931,0.0025972727452579
SPEA2 (random_dense),233.0,59.0,0.4040536632879797,0.0033206093028325
SPEA2 (random_dense),316.0,75.0,0.3990091121285573,0.003522621207656
SPEA2 (random_dense),205.0,44.0,0.3445684137692441,0.0020236809223086
SPEA2 (random_dense),136.0,32.0,0.3981083124739257,0.0030779139322279
SPEA2 (random_dense),294.0,71.0,0.387109808462392,0.0032086565822695
SPEA2 (random_dense),186.0,45.0,0.4270952489895523,0.0040702318696812
SPEA2 (random_dense),166.0,38.0,0.3923673417072545,0.0028636737796961
SPEA2 (random_dense),183.0,39.0,0.3609415571832732,0.0022491749171552
SPEA2 (random_dense),182.0,46.0,0.4328871483126802,0.004156423658669
SPEA2 (random_dense),196.0,41.0,0.3600104935591257,0.0021830732842451
SPEA2 (random_dense),189.0,47.0,0.4297300086307178,0.0039053381299409
SPEA2 (random_dense),260.0,63.0,0.3985406437534097,0.0033484619953218
SPEA2 (random_dense),176.0,44.0,0.4297479448742747,0.0038615244374856
SPEA2 (random_dense),273.0,68.0,0.4115553477255604,0.0035909929966378
SPEA2 (random_dense),200.0,45.0,0.3623803191489362,0.0022717055346499
SPEA2 (random_dense),197.0,53.0,0.4328986211613925,0.0041159914560446
SPEA2 (random_dense),217.0,55.0,0.4335065529300258,0.0045164650159433
SPEA2 (random_dense),209.0,51.0,0.3946350402117479,0.0031032019813234
SPEA2 (random_dense),178.0,42.0,0.419042353972428,0.0036331444938169
SPEA2 (random_dense),283.0,69.0,0.408841440493196,0.0036909283600808
SPEA2 (random_dense),181.0,42.0,0.3875093060616747,0.0027659257333968
SPEA2 (random_dense),150.0,33.0,0.3890130023640661,0.0029375601146264
SPEA2 (random_dense),227.0,58.0,0.4249851594963602,0.0041126241141389
SPEA2 (random_dense),257.0,59.0,0.3718023015150261,0.0024848144724521
SPEA2 (random_dense),224.0,45.0,0.3653669579533941,0.0023214722359478
SPEA2 (random_dense),228.0,57.0,0.4078986251088714,0.00350095786281
SPEA2 (random_dense),171.0,39.0,0.4266932105677906,0.0037864163562809
SPEA2 (random_dense),196.0,51.0,0.4264501013171226,0.0038849614760812
SPEA2 (random_dense),311.0,70.0,0.3571440788123418,0.0023360969259193
SPEA2 (random_dense),278.0,69.0,0.3845923261390887,0.0029921436339371
SPEA2 (random_dense),282.0,66.0,0.3794986419194205,0.0026551666930933
SPEA2 (random_dense),272.0,67.0,0.4081925323320817,0.0034437085999064
SPEA2 (random_dense),211.0,44.0,0.3636264327249504,0.002165421755797
SPEA2 (random_dense),339.0,78.0,0.3723639615891546,0.0027730012081885
SPEA2 (random_dense),279.0,65.0,0.3559571926078446,0.0022069692259157
SPEA2 (random_dense),201.0,46.0,0.4145231290356727,0.0034690592585697
SPEA2 (random_dense),196.0,47.0,0.3893472282530033,0.003020363394601
SPEA2 (random_dense),296.0,67.0,0.3684349242859881,0.0025155341052454
SPEA2 (random_dense),199.0,39.0,0.3664198652838661,0.0022473582775152
SPEA2 (random_dense),154.0,36.0,0.3909862300819747,0.0028176342936182
SPEA2 (random_dense),138.0,32.0,0.4070819200328913,0.0032619746491836
SPEA2 (random_dense),256.0,65.0,0.4201192652925531,0.0037383914119754
SPEA2 (random_dense),231.0,58.0,0.4308510638297872,0.0044520655263748
SPEA2 (random_dense),288.0,71.0,0.4010539795114263,0.0033453099884319
SPEA2 (random_dense),281.0,71.0,0.4159662805078115,0.0039065146172046
SPEA2 (random_dense),192.0,41.0,0.3804530511229314,0.0026799317789466
SPEA2 (random_dense),298.0,74.0,0.412811176162597,0.0038738555698691
SPEA2 (random_dense),274.0,61.0,0.3536845783506755,0.0021740945132542
SPEA2 (random_dense),198.0,49.0,0.3964243498817967,0.0029817193758518
SPEA2 (random_dense),179.0,45.0,0.3986637743175245,0.0029716510176579
SPEA2 (random_dense),300.0,68.0,0.358693853427896,0.0023975453601707
SPEA2 (random_dense),206.0,52.0,0.4229928389451215,0.0038259319327366
SPEA2 (random_dense),275.0,58.0,0.3454706640876854,0.0020908619405296
