init,Compacidad,Tolerancia,Hamming,Balance
random_dense,314.0,80.0,0.4010197858788453,0.0035816410196043
random_dense,366.0,79.0,0.3679974227802968,0.0025754363494049
random_dense,282.0,70.0,0.4150570896836175,0.0035010350909373
random_dense,301.0,78.0,0.4137950331047807,0.0038925927540046
random_dense,328.0,79.0,0.3587182148417229,0.0023895007967693
random_dense,210.0,49.0,0.4014437689969605,0.0029534003254739
random_dense,245.0,58.0,0.3993414387031408,0.0031030013314749
random_dense,216.0,56.0,0.4029788875755187,0.0032801356011674
random_dense,367.0,86.0,0.3582164183430923,0.0024848197151982
random_dense,253.0,57.0,0.3807956998290023,0.0025210826798923
random_dense,180.0,46.0,0.4033934200157604,0.0032414562004653
random_dense,213.0,58.0,0.4339892784603602,0.0043805862985227
random_dense,209.0,50.0,0.4170653907496013,0.0035212712106897
random_dense,362.0,88.0,0.3795599702206026,0.0030671231388189
random_dense,213.0,49.0,0.3822878167349249,0.0025031549608242
random_dense,302.0,68.0,0.37702843924663,0.0025285621614162
random_dense,355.0,89.0,0.3942638098092099,0.0034656631912767
random_dense,282.0,61.0,0.3900300538202303,0.0027783981598456
random_dense,343.0,82.0,0.3910117238384715,0.0031838346140051
random_dense,174.0,42.0,0.4290729192141517,0.0038485646841656
random_dense,173.0,40.0,0.4012114131103185,0.0030294740281237
random_dense,298.0,69.0,0.3954614688942834,0.0030910148152554
random_dense,206.0,51.0,0.4290435860359429,0.0038395439622279
random_dense,246.0,59.0,0.4300366141959292,0.0040914943496559
random_dense,319.0,69.0,0.3507025500789257,0.0020861191519598
random_dense,307.0,77.0,0.3798369025342482,0.0029790594763945
random_dense,265.0,69.0,0.4035460992907801,0.0035054485545349
random_dense,183.0,42.0,0.3872853931713366,0.0026387110347311
random_dense,264.0,67.0,0.3798355899419729,0.0029135358222331
random_dense,255.0,58.0,0.3593241551939924,0.002124600426749
random_dense,223.0,59.0,0.4194971853830741,0.0038781367867319
random_dense,247.0,61.0,0.4147249260631119,0.0033876459081372
random_dense,182.0,48.0,0.426822734003585,0.0038457669428459
random_dense,232.0,56.0,0.3629134568354121,0.0024600092256482
random_dense,272.0,67.0,0.3663661608260325,0.0024571883321674
random_dense,212.0,48.0,0.363684263348053,0.0022231858338486
random_dense,261.0,67.0,0.4199783973261596,0.0040015785342282
random_dense,330.0,80.0,0.4077933591231464,0.0036231283133611
random_dense,360.0,81.0,0.3494803979511426,0.0021818328834245
random_dense,172.0,40.0,0.4159296140524492,0.0034268393108801
random_dense,217.0,53.0,0.3876074451743635,0.0028603062506513
random_dense,226.0,58.0,0.4290427100985376,0.0038456721591036
random_dense,280.0,67.0,0.4127121327254306,0.0034977025029634
random_dense,165.0,36.0,0.4062486567805716,0.0029289645001625
random_dense,249.0,64.0,0.3867882879033866,0.0029541876627993
random_dense,240.0,55.0,0.40014036643026,0.0029829516329626
random_dense,346.0,85.0,0.3701984175788136,0.0025550654186522
random_dense,174.0,45.0,0.4067722344501508,0.0033597695585536
random_dense,201.0,48.0,0.4057505028051233,0.0028803549685453
random_dense,331.0,77.0,0.3789933791862184,0.0025852595774606
random_dense,295.0,65.0,0.3611642024281764,0.0021110534334706
random_dense,211.0,54.0,0.3956337602097408,0.0028820865904563
random_dense,207.0,39.0,0.3626828725117347,0.0020740529471494
random_dense,196.0,48.0,0.4337096540743957,0.0040258220030589
random_dense,252.0,66.0,0.4040970111448835,0.003337916342328
random_dense,290.0,72.0,0.4166513817559305,0.0039813711496453
random_dense,215.0,54.0,0.3699447468250041,0.0022690885396285
random_dense,297.0,75.0,0.3850174320032475,0.002926888500833
random_dense,329.0,79.0,0.3957349802754963,0.0031068731224229
random_dense,281.0,67.0,0.3825149541909593,0.0024910156352875
random_dense,201.0,41.0,0.384346000493984,0.0024639400869668
random_dense,173.0,36.0,0.3860687492313369,0.0025778267664688
random_dense,335.0,84.0,0.3968905472636816,0.0033996660210116
random_dense,243.0,57.0,0.4196655284125733,0.0035241720958291
random_dense,277.0,68.0,0.3997746882761093,0.0030077110090733
random_dense,205.0,54.0,0.4260205846739319,0.0040535437601198
random_dense,160.0,38.0,0.4291445035460993,0.0039450349697889
random_dense,241.0,53.0,0.360455107265825,0.002012563572643
random_dense,333.0,77.0,0.3565746597661491,0.002126106781662
random_dense,248.0,66.0,0.4216605181880576,0.003791747032636
random_dense,241.0,55.0,0.3841632088520055,0.0025291801255953
random_dense,304.0,74.0,0.3662776455767077,0.0023744782796013
random_dense,253.0,62.0,0.3704447341126342,0.0023529513088425
random_dense,356.0,87.0,0.3827222288628575,0.0029439163025425
random_dense,297.0,75.0,0.4036792272607876,0.0034703405129097
random_dense,177.0,45.0,0.3907971711343511,0.0028613049993129
random_dense,351.0,86.0,0.3783364652158978,0.0027293021220762
random_dense,208.0,55.0,0.4120763434260774,0.0034425244223737
random_dense,163.0,42.0,0.4236555279989558,0.003498233870079
random_dense,214.0,56.0,0.438684794856499,0.0044092851960111
random_dense,169.0,44.0,0.4224369465776994,0.0036867341098639
random_dense,190.0,48.0,0.4212019410227697,0.0034040365660444
random_dense,337.0,75.0,0.351718858513795,0.0025970014743315
random_dense,272.0,59.0,0.392750052148519,0.0036098785921099
random_dense,318.0,71.0,0.3859282305187564,0.0032490726658294
random_dense,283.0,60.0,0.3742481768288099,0.0027370958404764
random_dense,293.0,62.0,0.3502922808801104,0.0023842709409662
random_dense,243.0,51.0,0.3825737676210489,0.0033136870039617
