algorithm,init,crossover,Average Ranking Overall
NSGA2,greedy_ting,HUX,19.444444444444443
NSGA2,greedy_ting,UX,20.333333333333332
SMSEMOA,greedy_ting,2P,23.11111111111111
NSGA2,random_dense,UX,25.11111111111111
NSGA2,random_dense,HUX,25.333333333333332
SMSEMOA,greedy_ting,HUX,25.77777777777778
SMSEMOA,greedy_ting,UX,26.333333333333332
NSGA3,random_dense,HUX,27.666666666666668
NSGA2,greedy_ting,2P,27.77777777777778
NSGA3,random_dense,UX,28.0
NSGA3,greedy_ting,UX,29.444444444444443
MOEAD_TCHE,greedy_ting,UX,29.77777777777778
AGEMOEA2,random_dense,HUX,29.88888888888889
SMSEMOA,greedy_ting,1P,30.444444444444443
AGEMOEA2,random_dense,UX,30.555555555555557
NSGA3,greedy_ting,HUX,31.0
MOEAD_TCHE,greedy_ting,HUX,32.22222222222222
NSGA2,greedy_ting,1P,32.77777777777778
SMSEMOA,random_dense,UX,32.888888888888886
SMSEMOA,random_dense,HUX,33.77777777777778
NSGA2,random_dense,2P,33.888888888888886
SMSEMOA,random_dense,2P,34.22222222222222
AGEMOEA2,greedy_ting,UX,34.333333333333336
AGEMOEA2,greedy_ting,HUX,36.0
AGEMOEA2,greedy_ting,2P,36.333333333333336
NSGA3,greedy_ting,2P,36.333333333333336
AGEMOEA2,greedy_ting,1P,36.44444444444444
AGEMOEA2,random_dense,2P,36.55555555555556
SPEA2,greedy_ting,HUX,37.0
MOEAD_TCHE,random_dense,HUX,37.22222222222222
NSGA3,random_dense,2P,37.888888888888886
MOEAD_TCHE,greedy_ting,2P,38.111111111111114
SPEA2,random_dense,HUX,38.333333333333336
MOEAD_TCHE,random_dense,UX,38.666666666666664
NSGA2,random_dense,1P,38.888888888888886
SMSEMOA,random_dense,1P,39.22222222222222
SPEA2,greedy_ting,UX,39.55555555555556
SPEA2,random_dense,UX,39.666666666666664
NSGA2,greedy_multi,UX,40.111111111111114
NSGA2,greedy_multi,HUX,41.333333333333336
AGEMOEA2,random_dense,1P,41.888888888888886
RVEA,random_dense,UX,42.22222222222222
SPEA2,greedy_ting,1P,42.888888888888886
NSGA3,greedy_ting,1P,43.22222222222222
AGEMOEA2,greedy_multi,UX,43.666666666666664
NSGA3,random_dense,1P,43.888888888888886
AGEMOEA2,greedy_multi,HUX,44.0
RVEA,random_dense,HUX,44.666666666666664
NSGA2,greedy_multi,2P,45.22222222222222
SPEA2,greedy_multi,UX,45.333333333333336
SPEA2,random_dense,2P,45.44444444444444
MOEAD_TCHE,greedy_ting,1P,45.55555555555556
SPEA2,greedy_ting,2P,45.77777777777778
SPEA2,random_dense,1P,46.55555555555556
NSGA2,greedy_multi,1P,47.666666666666664
RVEA,greedy_ting,UX,48.0
SPEA2,greedy_multi,HUX,48.111111111111114
AGEMOEA2,greedy_multi,2P,48.111111111111114
NSGA3,greedy_multi,HUX,48.22222222222222
MOEAD_TCHE,random_dense,2P,48.44444444444444
RVEA,greedy_ting,HUX,48.77777777777778
NSGA3,greedy_multi,UX,50.0
SPEA2,greedy_multi,1P,50.111111111111114
RVEA,random_dense,2P,50.333333333333336
RVEA,greedy_ting,2P,50.666666666666664
RVEA,random_dense,1P,51.333333333333336
MOEAD_TCHE,greedy_multi,UX,51.333333333333336
SPEA2,greedy_multi,2P,51.333333333333336
RVEA,greedy_ting,1P,52.111111111111114
AGEMOEA2,greedy_multi,1P,52.333333333333336
MOEAD_TCHE,random_dense,1P,53.111111111111114
NSGA3,greedy_multi,2P,55.22222222222222
NSGA3,greedy_multi,1P,55.333333333333336
MOEAD_TCHE,greedy_multi,HUX,56.888888888888886
SMSEMOA,greedy_multi,1P,57.22222222222222
SMSEMOA,greedy_multi,2P,57.888888888888886
SMSEMOA,greedy_multi,HUX,58.0
SMSEMOA,greedy_multi,UX,59.22222222222222
MOEAD_TCHE,greedy_multi,2P,61.0
MOEAD_TCHE,greedy_multi,1P,64.0
RVEA,greedy_multi,2P,64.22222222222223
RVEA,greedy_multi,UX,65.66666666666667
RVEA,greedy_multi,1P,66.55555555555556
RVEA,greedy_multi,HUX,66.66666666666667
