algorithm,init,crossover,GD+
NSGA3,greedy_multi,UX,0.05077168561727644
MOEAD_TCHE,greedy_multi,UX,0.052969061482812406
NSGA2,greedy_multi,UX,0.06389101652559134
MOEAD_TCHE,random_dense,UX,0.7456089017792593
NSGA3,random_dense,UX,0.7716001251184774
NSGA2,random_dense,UX,0.8296749158884064
