config,Range
NSGA3-random_dense-1P,1.0979901607416533
NSGA3-random_dense-1P,1.1195703033898867
NSGA3-random_dense-1P,1.29545665823089
NSGA3-random_dense-1P,1.0678821398772371
NSGA3-random_dense-2P,1.1506820545865704
NSGA3-random_dense-2P,1.3157610731468667
NSGA3-random_dense-2P,1.1682036678799907
NSGA3-random_dense-2P,1.2364500256959936
NSGA3-random_dense-2P,1.0785224816560042
NSGA3-greedy_ting-UX,2.058691794114491
NSGA3-greedy_ting-UX,1.9338765341148854
NSGA3-greedy_ting-UX,2.010763052559194
NSGA3-greedy_ting-UX,1.884828131493576
NSGA3-greedy_ting-UX,2.0498636249727067
NSGA3-greedy_ting-HUX,1.9895807132451364
NSGA3-greedy_ting-HUX,1.922523129759219
NSGA3-greedy_ting-HUX,1.951007667792565
NSGA3-greedy_ting-HUX,1.9234344904608507
NSGA3-greedy_ting-HUX,1.8979382945483958
NSGA3-greedy_ting-1P,2.106710073182556
NSGA3-greedy_ting-1P,2.024935295448576
NSGA3-greedy_ting-1P,2.128809133933866
NSGA3-greedy_ting-1P,2.0845945502646437
NSGA3-greedy_ting-1P,2.131629016722407
NSGA3-greedy_ting-2P,2.2262127196341
NSGA3-greedy_ting-2P,2.0878919043333397
NSGA3-greedy_ting-2P,2.2250599716508264
NSGA3-greedy_ting-2P,2.078777203711588
NSGA3-greedy_ting-2P,2.0510811311662884
NSGA3-greedy_multi-UX,0.24348539136410902
NSGA3-greedy_multi-UX,0.26118070043004327
NSGA3-greedy_multi-UX,0.2636335848049638
NSGA3-greedy_multi-UX,0.2480345796589955
NSGA3-greedy_multi-UX,0.24388365264806078
NSGA3-greedy_multi-HUX,0.25870190977914265
NSGA3-greedy_multi-HUX,0.2288598254456975
NSGA3-greedy_multi-HUX,0.2968672802382483
NSGA3-greedy_multi-HUX,0.252046833892394
NSGA3-greedy_multi-HUX,0.2822060915715285
NSGA3-greedy_multi-1P,0.19566054775720285
NSGA3-greedy_multi-1P,0.1838677148750407
NSGA3-greedy_multi-1P,0.1795970625533861
NSGA3-greedy_multi-1P,0.1815430000858364
NSGA3-greedy_multi-1P,0.19647610370449747
NSGA3-greedy_multi-2P,0.18386809499570303
NSGA3-greedy_multi-2P,0.17896186511644335
NSGA3-greedy_multi-2P,0.20712397510052896
NSGA3-greedy_multi-2P,0.19571756408076293
NSGA3-greedy_multi-2P,0.18508434083700862
UNSGA3-random_dense-UX,1.4921831561177834
UNSGA3-random_dense-UX,1.3532833842309535
UNSGA3-random_dense-UX,1.3956607188354118
UNSGA3-random_dense-UX,1.394653040535526
UNSGA3-random_dense-UX,1.379162923517335
UNSGA3-random_dense-HUX,1.2965830470358575
UNSGA3-random_dense-HUX,1.4437208976213098
UNSGA3-random_dense-HUX,1.4214525412190577
UNSGA3-random_dense-HUX,1.3379591379834932
UNSGA3-random_dense-HUX,1.3477197920862336
UNSGA3-random_dense-1P,0.952699436755365
UNSGA3-random_dense-1P,1.0355874288159972
UNSGA3-random_dense-1P,1.0984848035599937
UNSGA3-random_dense-1P,0.9179762025786228
UNSGA3-random_dense-1P,0.9871991534080238
UNSGA3-random_dense-2P,1.211787150006754
UNSGA3-random_dense-2P,1.2581883585308211
UNSGA3-random_dense-2P,1.0757484300741083
UNSGA3-random_dense-2P,1.146492937396499
UNSGA3-random_dense-2P,1.0528552035434249
UNSGA3-greedy_ting-UX,1.9359606797015545
UNSGA3-greedy_ting-UX,1.9536489933444126
UNSGA3-greedy_ting-UX,2.0507859861977846
UNSGA3-greedy_ting-UX,2.0285696582331805
UNSGA3-greedy_ting-UX,2.0180186921190053
UNSGA3-greedy_ting-HUX,2.069941422546933
UNSGA3-greedy_ting-HUX,1.9469466550073684
UNSGA3-greedy_ting-HUX,2.049226480056482
UNSGA3-greedy_ting-HUX,2.0777992461396684
UNSGA3-greedy_ting-HUX,2.1702799296291126
UNSGA3-greedy_ting-1P,2.041535716511456
UNSGA3-greedy_ting-1P,2.004359646842246
UNSGA3-greedy_ting-1P,2.1384830131965393
UNSGA3-greedy_ting-1P,2.039027894513851
UNSGA3-greedy_ting-1P,2.1174940307996666
UNSGA3-greedy_ting-2P,2.1752947408156333
UNSGA3-greedy_ting-2P,2.155733236593145
UNSGA3-greedy_ting-2P,2.3017791696196017
UNSGA3-greedy_ting-2P,2.157490483191865
UNSGA3-greedy_ting-2P,2.066333880130985
UNSGA3-greedy_multi-UX,0.24455634317388544
UNSGA3-greedy_multi-UX,0.2297825025508963
UNSGA3-greedy_multi-UX,0.22607388771403997
UNSGA3-greedy_multi-UX,0.24827054834750423
UNSGA3-greedy_multi-UX,0.2683265733908186
UNSGA3-greedy_multi-HUX,0.2485855717959181
UNSGA3-greedy_multi-HUX,0.21500702952670644
UNSGA3-greedy_multi-HUX,0.25137726490571644
UNSGA3-greedy_multi-HUX,0.2988280687944111
UNSGA3-greedy_multi-HUX,0.21357257232773055
UNSGA3-greedy_multi-1P,0.200026534319452
UNSGA3-greedy_multi-1P,0.17218060594118395
UNSGA3-greedy_multi-1P,0.20563449959425326
UNSGA3-greedy_multi-1P,0.18493805425347032
UNSGA3-greedy_multi-1P,0.20568662978048716
UNSGA3-greedy_multi-2P,0.20143702580271156
UNSGA3-greedy_multi-2P,0.22727927353974006
UNSGA3-greedy_multi-2P,0.21558214828231803
UNSGA3-greedy_multi-2P,0.20480555025034075
UNSGA3-greedy_multi-2P,0.18459255402285132
AGEMOEA2-random_dense-UX,1.1419121258505838
AGEMOEA2-random_dense-UX,1.2904698006079598
AGEMOEA2-random_dense-UX,1.3140971278466043
AGEMOEA2-random_dense-UX,1.4543139094547783
AGEMOEA2-random_dense-UX,1.3199017116815517
AGEMOEA2-random_dense-HUX,1.417496393342891
AGEMOEA2-random_dense-HUX,1.2537962730320862
AGEMOEA2-random_dense-HUX,1.3094923568605354
AGEMOEA2-random_dense-HUX,1.2735105754708496
AGEMOEA2-random_dense-HUX,1.2916163154506934
AGEMOEA2-random_dense-1P,1.1080725872604265
AGEMOEA2-random_dense-1P,1.2890846889074759
AGEMOEA2-random_dense-1P,1.0221334144086534
AGEMOEA2-random_dense-1P,1.3480751383939173
AGEMOEA2-random_dense-1P,1.2233512898526864
AGEMOEA2-random_dense-2P,1.3625675217409374
AGEMOEA2-random_dense-2P,1.2728811184113782
AGEMOEA2-random_dense-2P,1.3885475138661934
AGEMOEA2-random_dense-2P,1.385458679354516
AGEMOEA2-random_dense-2P,1.2687516755773312
AGEMOEA2-greedy_ting-UX,1.6544913029158266
AGEMOEA2-greedy_ting-UX,1.576836615304678
AGEMOEA2-greedy_ting-UX,1.7959927318972184
AGEMOEA2-greedy_ting-UX,2.01405987446973
AGEMOEA2-greedy_ting-UX,1.8925766479431534
AGEMOEA2-greedy_ting-HUX,1.6284174172579018
AGEMOEA2-greedy_ting-HUX,1.9363081438729841
AGEMOEA2-greedy_ting-HUX,2.0600701930486998
AGEMOEA2-greedy_ting-HUX,2.032626204420382
AGEMOEA2-greedy_ting-HUX,1.622349234680468
AGEMOEA2-greedy_ting-1P,2.2704973318690698
AGEMOEA2-greedy_ting-1P,2.2760858309884573
AGEMOEA2-greedy_ting-1P,2.3867833512099073
AGEMOEA2-greedy_ting-1P,2.102609679532152
AGEMOEA2-greedy_ting-1P,2.1105690940804838
AGEMOEA2-greedy_ting-2P,2.1865530767597816
AGEMOEA2-greedy_ting-2P,2.1069532357624903
AGEMOEA2-greedy_ting-2P,2.3189668304012376
AGEMOEA2-greedy_ting-2P,2.255465043843288
AGEMOEA2-greedy_ting-2P,2.2588810365454663
AGEMOEA2-greedy_multi-UX,0.28597636844240637
AGEMOEA2-greedy_multi-UX,0.28729447517180445
AGEMOEA2-greedy_multi-UX,0.32741134748983086
AGEMOEA2-greedy_multi-UX,0.2885086449160335
AGEMOEA2-greedy_multi-UX,0.307242590069502
AGEMOEA2-greedy_multi-HUX,0.30912496495710057
AGEMOEA2-greedy_multi-HUX,0.3332865556879914
AGEMOEA2-greedy_multi-HUX,0.2911560525364594
AGEMOEA2-greedy_multi-HUX,0.2681119515368423
AGEMOEA2-greedy_multi-HUX,0.24691667032915043
AGEMOEA2-greedy_multi-1P,0.2123955684442379
AGEMOEA2-greedy_multi-1P,0.21650835961003453
AGEMOEA2-greedy_multi-1P,0.2165521854684005
AGEMOEA2-greedy_multi-1P,0.21012632575155465
AGEMOEA2-greedy_multi-1P,0.21055562188355592
AGEMOEA2-greedy_multi-2P,0.2540250641683454
AGEMOEA2-greedy_multi-2P,0.24480252571230565
AGEMOEA2-greedy_multi-2P,0.2145170883758475
AGEMOEA2-greedy_multi-2P,0.24803209330485199
AGEMOEA2-greedy_multi-2P,0.23798974942442083
SMSEMOA-random_dense-UX,0.6779583021993099
SMSEMOA-random_dense-UX,0.6507758290292865
SMSEMOA-random_dense-UX,0.7674264905641941
SMSEMOA-random_dense-UX,0.6193907530050357
SMSEMOA-random_dense-UX,0.669425667126436
SMSEMOA-random_dense-HUX,0.6376548215692814
SMSEMOA-random_dense-HUX,0.6335117763449956
SMSEMOA-random_dense-HUX,0.5372790024841687
SMSEMOA-random_dense-HUX,0.7679609697896723
SMSEMOA-random_dense-HUX,0.6394823656933805
SMSEMOA-random_dense-1P,0.7707230028546332
SMSEMOA-random_dense-1P,0.787147867331448
SMSEMOA-random_dense-1P,0.8250838056098152
SMSEMOA-random_dense-1P,0.8040643153342759
SMSEMOA-random_dense-1P,0.7145038810801176
SMSEMOA-random_dense-2P,0.9233023081583147
SMSEMOA-random_dense-2P,0.9119319448034611
SMSEMOA-random_dense-2P,0.9532166664387706
SMSEMOA-random_dense-2P,1.021987933334312
SMSEMOA-random_dense-2P,0.8928157722182473
SMSEMOA-greedy_ting-UX,1.9583975048765672
SMSEMOA-greedy_ting-UX,1.986236544858021
SMSEMOA-greedy_ting-UX,1.9843592580697815
SMSEMOA-greedy_ting-UX,2.061151373790615
SMSEMOA-greedy_ting-UX,1.9572240877368243
SMSEMOA-greedy_ting-HUX,1.9712634938755507
SMSEMOA-greedy_ting-HUX,1.974102092399911
SMSEMOA-greedy_ting-HUX,2.0255864861613464
SMSEMOA-greedy_ting-HUX,2.0355269229817297
SMSEMOA-greedy_ting-HUX,2.005600383211926
SMSEMOA-greedy_ting-1P,2.0271741389019646
SMSEMOA-greedy_ting-1P,2.12935642340242
SMSEMOA-greedy_ting-1P,2.0592659223374645
SMSEMOA-greedy_ting-1P,2.125937339484249
SMSEMOA-greedy_ting-1P,2.06952398988571
SMSEMOA-greedy_ting-2P,2.064258986115954
SMSEMOA-greedy_ting-2P,2.130396094171698
SMSEMOA-greedy_ting-2P,2.0930409536996573
SMSEMOA-greedy_ting-2P,2.186760248932861
SMSEMOA-greedy_ting-2P,2.1118611689762576
SMSEMOA-greedy_multi-UX,0.18190564254119765
SMSEMOA-greedy_multi-UX,0.20239329005803233
SMSEMOA-greedy_multi-UX,0.18686940229771526
SMSEMOA-greedy_multi-UX,0.20003468903750152
SMSEMOA-greedy_multi-UX,0.16951047979496967
SMSEMOA-greedy_multi-HUX,0.18916834159166784
SMSEMOA-greedy_multi-HUX,0.1882645398607884
SMSEMOA-greedy_multi-HUX,0.17719289032196223
SMSEMOA-greedy_multi-HUX,0.18165782887369267
SMSEMOA-greedy_multi-HUX,0.193428891182334
SMSEMOA-greedy_multi-1P,0.15183055547843738
SMSEMOA-greedy_multi-1P,0.17688990746718536
SMSEMOA-greedy_multi-1P,0.17744949819998762
SMSEMOA-greedy_multi-1P,0.16710829783511313
SMSEMOA-greedy_multi-1P,0.15498547170575344
SMSEMOA-greedy_multi-2P,0.17347566787211696
SMSEMOA-greedy_multi-2P,0.1730378081252785
SMSEMOA-greedy_multi-2P,0.16878847650942932
SMSEMOA-greedy_multi-2P,0.18744085850926334
SMSEMOA-greedy_multi-2P,0.1688664103417381
RVEA-random_dense-UX,0.5681033915151643
RVEA-random_dense-UX,0.5954813915694397
RVEA-random_dense-UX,0.5921220343760228
RVEA-random_dense-UX,0.5659277826466989
RVEA-random_dense-UX,0.570965173752629
RVEA-random_dense-HUX,0.5814867614204217
RVEA-random_dense-HUX,0.3499473184452066
RVEA-random_dense-HUX,0.3038665724000959
RVEA-random_dense-HUX,0.5441034212197671
RVEA-random_dense-HUX,0.6988872505974988
RVEA-random_dense-1P,0.6785195301522069
RVEA-random_dense-1P,0.5580675369843033
RVEA-random_dense-1P,0.4746104445309153
RVEA-random_dense-1P,0.629162905320936
RVEA-random_dense-1P,0.6290446851434764
RVEA-random_dense-2P,0.45419946619350815
RVEA-random_dense-2P,0.44286369635015344
RVEA-random_dense-2P,0.6298822042648893
RVEA-random_dense-2P,0.6337800780874091
RVEA-random_dense-2P,0.6263592364704468
RVEA-greedy_ting-UX,1.6469644243183108
RVEA-greedy_ting-UX,1.646365694784936
RVEA-greedy_ting-UX,1.6579440003037718
RVEA-greedy_ting-UX,1.5818752861659897
RVEA-greedy_ting-UX,1.4995951272004275
RVEA-greedy_ting-HUX,1.6422245427959927
RVEA-greedy_ting-HUX,1.5346234774579102
RVEA-greedy_ting-HUX,1.6523947423631147
RVEA-greedy_ting-HUX,1.588146675180797
RVEA-greedy_ting-HUX,1.5630042540825357
RVEA-greedy_ting-1P,1.1155027940974347
RVEA-greedy_ting-1P,1.241776377739332
RVEA-greedy_ting-1P,1.040255902757405
RVEA-greedy_ting-1P,1.3285561453783887
RVEA-greedy_ting-1P,1.223925054208094
RVEA-greedy_ting-2P,1.0587059297824202
RVEA-greedy_ting-2P,1.0585867431875111
RVEA-greedy_ting-2P,0.9973315101800884
RVEA-greedy_ting-2P,1.0107042042495074
RVEA-greedy_ting-2P,1.120797723608569
RVEA-greedy_multi-UX,0.1318944450993412
RVEA-greedy_multi-UX,0.12910084760231497
RVEA-greedy_multi-UX,0.1355740354824517
RVEA-greedy_multi-UX,0.13265342591319054
RVEA-greedy_multi-UX,0.13856092220779057
RVEA-greedy_multi-HUX,0.14784399669439138
RVEA-greedy_multi-HUX,0.14836635328860243
RVEA-greedy_multi-HUX,0.13957195366843683
RVEA-greedy_multi-HUX,0.1293741699074499
RVEA-greedy_multi-HUX,0.10881271621537557
RVEA-greedy_multi-1P,0.10263526830600887
RVEA-greedy_multi-1P,0.09543472177304131
RVEA-greedy_multi-1P,0.09250470111030655
RVEA-greedy_multi-1P,0.09301753271169527
RVEA-greedy_multi-1P,0.12837827858351847
RVEA-greedy_multi-2P,0.12055215401750154
RVEA-greedy_multi-2P,0.12012537791816277
RVEA-greedy_multi-2P,0.1199967122955548
RVEA-greedy_multi-2P,0.10456717211770375
RVEA-greedy_multi-2P,0.10928218127285659
