algorithm,init,run,seed,f1_compactness,f2_transformed_tolerance,f3_transformed_hamming_avg,f4_balance_var
NSGA2,random_sparse,1,1030823061,176.0,0.023809523809523808,0.013088276246170984,158.77274784970604
NSGA2,random_sparse,1,1030823061,175.0,0.023809523809523808,0.013115059064273092,158.90292238820984
NSGA2,random_sparse,1,1030823061,9.0,1.0,0.25217974513749164,1.8135209182133427
NSGA2,random_sparse,1,1030823061,176.0,0.023809523809523808,0.013141951719638363,154.6156128967348
NSGA2,random_sparse,1,1030823061,14.0,1.0,0.1457741018350995,3.1399546048991738
NSGA2,random_sparse,1,1030823061,12.0,1.0,0.18170103092783504,2.452115084754284
NSGA2,random_sparse,1,1030823061,19.0,0.5,0.10755148741418766,4.670137317036353
NSGA2,random_sparse,1,1030823061,12.0,0.5,0.17845277645942098,2.483922306473528
NSGA2,random_sparse,1,1030823061,20.0,0.3333333333333333,0.10256410256410256,4.902039007092198
NSGA2,random_sparse,1,1030823061,21.0,0.3333333333333333,0.09878273053682458,5.41655270735878
NSGA2,random_sparse,1,1030823061,24.0,0.25,0.08682266009852217,6.285146622403287
NSGA2,random_sparse,1,1030823061,29.0,0.2,0.07216428891305739,8.336897508928113
NSGA2,random_sparse,1,1030823061,9.0,1.0,0.23475546305931322,1.974195683064234
NSGA2,random_sparse,1,1030823061,9.0,1.0,0.24516409476200826,1.900689571701632
NSGA2,random_sparse,1,1030823061,23.0,0.25,0.08930409310426728,6.720668446003688
NSGA2,random_sparse,1,1030823061,28.0,0.16666666666666666,0.07414223741290916,7.010484256325122
NSGA2,random_sparse,1,1030823061,32.0,0.14285714285714285,0.06541405706332638,9.35012071827372
NSGA2,random_sparse,1,1030823061,12.0,0.5,0.17418159357628166,2.5606483577284793
NSGA2,random_sparse,1,1030823061,36.0,0.16666666666666666,0.059534490948435104,10.881657581359072
NSGA2,random_sparse,1,1030823061,30.0,0.2,0.06914306730415594,10.25747887430213
NSGA2,random_sparse,1,1030823061,13.0,1.0,0.16698741672834935,2.5947253344901546
NSGA2,random_sparse,1,1030823061,10.0,1.0,0.21688136896750623,2.1437482709622295
NSGA2,random_sparse,1,1030823061,9.0,1.0,0.22792483329965652,2.033423086112383
NSGA2,random_sparse,1,1030823061,41.0,0.14285714285714285,0.05113095507909886,15.413346128212924
NSGA2,random_sparse,1,1030823061,11.0,1.0,0.2024407753050969,2.177216940797752
NSGA2,random_sparse,1,1030823061,91.0,0.058823529411764705,0.02428574504273688,58.79600419370265
NSGA2,random_sparse,1,1030823061,129.0,0.03125,0.01732452772231608,89.525347693778
NSGA2,random_sparse,1,1030823061,14.0,0.5,0.15110515740120561,2.8903530695135866
NSGA2,random_sparse,1,1030823061,151.0,0.02631578947368421,0.014960609034722407,116.29424764850836
NSGA2,random_sparse,1,1030823061,104.0,0.03571428571428571,0.021222155328115593,56.49610180574423
NSGA2,random_sparse,1,1030823061,11.0,1.0,0.2050909090909091,2.1725391076907434
NSGA2,random_sparse,1,1030823061,39.0,0.125,0.056083130313727435,12.172569758814886
NSGA2,random_sparse,1,1030823061,9.0,1.0,0.25150501672240805,1.8815192583370886
NSGA2,random_sparse,1,1030823061,142.0,0.030303030303030304,0.01593175334030112,104.00278846637484
NSGA2,random_sparse,1,1030823061,71.0,0.0625,0.031467946214361435,30.266482445551002
NSGA2,random_sparse,1,1030823061,13.0,0.5,0.15950226244343893,2.7855238670087137
NSGA2,random_sparse,1,1030823061,68.0,0.07692307692307693,0.031785392245266005,34.14209546803489
NSGA2,random_sparse,1,1030823061,44.0,0.1111111111111111,0.047432824523779483,20.965720254262884
NSGA2,random_sparse,1,1030823061,146.0,0.02702702702702703,0.015519447463643492,108.69262030959202
NSGA2,random_sparse,1,1030823061,22.0,0.25,0.0934625901068854,5.091418156782862
NSGA2,random_sparse,1,1030823061,122.0,0.03333333333333333,0.01817478731631864,86.54210049796275
NSGA2,random_sparse,1,1030823061,27.0,0.2,0.07650050864699898,7.6765811264524055
NSGA2,random_sparse,1,1030823061,103.0,0.041666666666666664,0.02154851280875695,64.99310821261498
NSGA2,random_sparse,1,1030823061,164.0,0.02631578947368421,0.0138243764936577,142.55288890775137
NSGA2,random_sparse,1,1030823061,31.0,0.16666666666666666,0.06890232728605461,8.834929549569857
NSGA2,random_sparse,1,1030823061,11.0,1.0,0.18549580661075482,2.4260529840048224
NSGA2,random_sparse,1,1030823061,40.0,0.125,0.05452699763136269,12.525670709471289
NSGA2,random_sparse,1,1030823061,13.0,1.0,0.1634782608695652,2.73098687188772
NSGA2,random_sparse,1,1030823061,111.0,0.04,0.0200733174360252,75.6120385040993
NSGA2,random_sparse,1,1030823061,120.0,0.03571428571428571,0.018714847444129212,77.91933803002874
NSGA2,random_sparse,1,1030823061,143.0,0.02857142857142857,0.015958575612240566,101.91162337784831
NSGA2,random_sparse,1,1030823061,57.0,0.09090909090909091,0.03954148701230413,20.377841123434475
NSGA2,random_sparse,1,1030823061,135.0,0.029411764705882353,0.016634959961067116,94.12433274860415
NSGA2,random_sparse,1,1030823061,147.0,0.02631578947368421,0.015326295194228182,118.51063122453603
NSGA2,random_sparse,1,1030823061,165.0,0.024390243902439025,0.013782485979252959,140.48092321186056
NSGA2,random_sparse,1,1030823061,10.0,1.0,0.20978240654640135,2.162836847995571
NSGA2,random_sparse,1,1030823061,11.0,1.0,0.19634464751958225,2.275909631054782
NSGA2,random_sparse,1,1030823061,33.0,0.125,0.06292887029288703,9.384386317338144
NSGA2,random_sparse,1,1030823061,86.0,0.058823529411764705,0.0254323270128289,51.75661985689864
NSGA2,random_sparse,1,1030823061,134.0,0.03125,0.016711853860171565,97.0188928813943
NSGA2,random_sparse,1,1030823061,118.0,0.037037037037037035,0.019178780923233867,74.80903170740918
NSGA2,random_sparse,1,1030823061,157.0,0.02564102564102564,0.014484193225301112,126.88840790201711
NSGA2,random_sparse,1,1030823061,27.0,0.2,0.07872147393398003,6.511976730295275
NSGA2,random_sparse,1,1030823061,26.0,0.25,0.08153823912100622,6.923114405714004
NSGA2,random_sparse,1,1030823061,18.0,0.3333333333333333,0.11346946987224624,4.270860840752461
NSGA2,random_sparse,1,1030823061,144.0,0.030303030303030304,0.01576652130157665,110.29409989437148
NSGA2,random_sparse,1,1030823061,14.0,0.5,0.1462845285955129,3.1193782694532524
NSGA2,random_sparse,1,1030823061,95.0,0.047619047619047616,0.023406374501992032,61.51569337558448
NSGA2,random_sparse,1,1030823061,15.0,0.5,0.13774575650262547,3.2029190873196
NSGA2,random_sparse,1,1030823061,101.0,0.041666666666666664,0.021835498170696296,62.34442353880611
NSGA2,random_sparse,1,1030823061,152.0,0.02631578947368421,0.014812674817139632,121.10983398093657
NSGA2,random_sparse,1,1030823061,167.0,0.023809523809523808,0.013729475772587301,138.84987472335393
NSGA2,random_sparse,1,1030823061,136.0,0.034482758620689655,0.016355648353560397,114.36754234570694
NSGA2,random_sparse,1,1030823061,79.0,0.05555555555555555,0.027734067663257277,41.216639002062266
NSGA2,random_sparse,1,1030823061,51.0,0.08333333333333333,0.04151179479630516,20.622301915145112
NSGA2,random_sparse,1,1030823061,17.0,0.5,0.12464088397790056,3.5952133946984803
NSGA2,random_sparse,1,1030823061,41.0,0.1111111111111111,0.051938484206648865,15.155572531562807
NSGA2,random_sparse,1,1030823061,73.0,0.06666666666666667,0.030116139367240686,35.39866502565264
NSGA2,random_sparse,1,1030823061,154.0,0.02631578947368421,0.01474451982275205,122.72268041723298
NSGA2,random_sparse,1,1030823061,165.0,0.02564102564102564,0.013873002988599049,137.04905358759655
NSGA2,random_sparse,1,1030823061,108.0,0.04,0.02065139781402757,66.69972508299382
NSGA2,random_sparse,1,1030823061,11.0,1.0,0.19539234366880304,2.3238637078114923
NSGA2,random_sparse,1,1030823061,132.0,0.03333333333333333,0.01703978972174386,96.78094348875817
NSGA2,random_sparse,1,1030823061,174.0,0.024390243902439025,0.013173261082823377,157.04887832603993
NSGA2,random_sparse,1,1030823061,80.0,0.0625,0.028085551378134108,38.81156553367528
NSGA2,random_sparse,1,1030823061,162.0,0.025,0.014188679245283019,124.86656858306931
NSGA2,random_sparse,1,1030823061,60.0,0.07142857142857142,0.03520599250936329,26.55288969367736
NSGA2,random_sparse,1,1030823061,145.0,0.027777777777777776,0.015554329840044127,106.9792766963432
NSGA2,random_sparse,1,1030823061,132.0,0.030303030303030304,0.017072284780239737,91.2373623057189
NSGA2,random_sparse,1,1030823061,10.0,1.0,0.21945525291828794,2.087206377948815
NSGA2,random_sparse,1,1030823061,50.0,0.09090909090909091,0.044167743451192294,18.006726742870093
NSGA2,random_sparse,1,1030823061,59.0,0.06666666666666667,0.0359144167091187,23.656506211961275
NSGA2,random_sparse,1,1030823061,16.0,0.5,0.12826927450534456,3.539984784467642
NSGA2,random_sparse,1,1030823061,172.0,0.023809523809523808,0.013324828123892551,151.03671533122113
NSGA2,random_sparse,1,1030823061,45.0,0.1,0.0484869325997249,13.986368894924817
NSGA2,random_sparse,1,1030823061,81.0,0.05263157894736842,0.027404582007239862,38.510543200794814
NSGA2,random_sparse,1,1030823061,92.0,0.047619047619047616,0.02434917756767258,48.12997019767634
NSGA2,random_sparse,1,1030823061,19.0,0.3333333333333333,0.10903818269695506,4.120547727729925
NSGA2,random_sparse,1,1030823061,139.0,0.030303030303030304,0.016550267034450377,92.73327548916055
NSGA2,random_sparse,1,1030823061,56.0,0.09090909090909091,0.03980942297511911,21.607130394597892
NSGA2,random_sparse,1,1030823061,115.0,0.038461538461538464,0.01983680360157569,70.14639605653649
NSGA2,random_sparse,1,1030823061,21.0,0.25,0.09701556721424272,5.549870950907931
NSGA2,random_sparse,1,1030823061,106.0,0.047619047619047616,0.02087806322647516,67.95396358332069
NSGA2,random_sparse,1,1030823061,11.0,1.0,0.18999494694290045,2.357092670137287
NSGA2,random_sparse,1,1030823061,76.0,0.058823529411764705,0.029048955731245656,34.723045087017766
NSGA2,random_sparse,1,1030823061,16.0,0.5,0.13286219081272085,3.44255507771239
NSGA2,random_sparse,1,1030823061,125.0,0.034482758620689655,0.018011688436112797,86.1804706755192
NSGA2,random_sparse,1,1030823061,169.0,0.024390243902439025,0.013540441264734832,145.733662164881
NSGA2,random_sparse,1,1030823061,13.0,0.5,0.1564927857935627,2.826568080076457
NSGA2,random_sparse,1,1030823061,113.0,0.041666666666666664,0.019800589804802697,71.05140586489617
NSGA2,random_sparse,1,1030823061,37.0,0.14285714285714285,0.058397183681921726,10.800198682158873
NSGA2,random_sparse,1,1030823061,48.0,0.1,0.04387739225143924,19.477503646697908
NSGA2,random_sparse,1,1030823061,163.0,0.025,0.014039454850955254,135.63337404431363
NSGA2,random_sparse,1,1030823061,148.0,0.02631578947368421,0.015407520727759489,105.54119432498366
NSGA2,random_sparse,1,1030823061,156.0,0.02631578947368421,0.014396018122646926,131.1937143189475
NSGA2,random_sparse,1,1030823061,17.0,0.3333333333333333,0.12070626003210273,3.613166308284338
NSGA2,random_sparse,1,1030823061,10.0,1.0,0.22305714850701996,2.03872337281825
NSGA2,random_sparse,1,1030823061,62.0,0.07142857142857142,0.03520709135740816,26.325768793068754
NSGA2,random_sparse,1,1030823061,84.0,0.0625,0.02620452539144171,47.40304499270671
NSGA2,random_sparse,1,1030823061,160.0,0.024390243902439025,0.01416178076860303,133.18058620667966
NSGA2,random_sparse,1,1030823061,75.0,0.0625,0.02973664091951599,36.36822767340677
NSGA2,random_sparse,1,1030823061,123.0,0.03333333333333333,0.01807808192832874,85.7443664805593
NSGA2,random_sparse,1,1030823061,128.0,0.03125,0.017613991255465332,80.63643679895402
