algorithm,init,run,seed,elapsed_sec,n_solutions_final_front,n_infeasible_final_front,Range,SumMin,MinSum,Hypervolume,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
NSGA2,random_sparse,1,1030823061,213.11331939697266,200,0,1.513852024296593,0.036621325178967414,0.17778646305877113,0.941262309365866,0.25961538461538464,0.17367516347748027,37.004193262411356,0.047932892826957715
NSGA2,random_sparse,2,799725404,223.3998899459839,200,0,1.4737182782287164,0.03764340594967971,0.18279074226458414,0.9420939681403033,0.24096385542168675,0.17415303243862543,37.273501773049645,0.04828173804799177
NSGA2,random_sparse,3,41258527,227.07257056236267,200,0,1.5129027678862401,0.036549022804154445,0.17962878582550865,0.9393697542141399,0.2440944881889764,0.16577858444914234,36.462163120567375,0.04723078124425826
NSGA2,random_sparse,4,1600487894,211.92076587677002,200,0,1.5300967940807577,0.03448637511751227,0.1839839324561376,0.9431218179231879,0.2537313432835821,0.1749411659868806,35.772362588652484,0.046337257239187156
NSGA2,random_sparse,5,978083644,202.90520191192627,200,0,1.5163824513666935,0.03752731514207134,0.18525992013687775,0.939377614721548,0.23469387755102042,0.15074252881112993,32.226156914893615,0.04174372657369639
NSGA2,random_dense,1,1934137465,204.20197868347168,200,0,0.8883850468798767,0.24101168151099195,0.2741720693599211,0.7615748505605293,0.23636363636363636,0.2111942029394144,125.2881294326241,0.162290323099254
NSGA2,random_dense,2,1703039808,176.36425280570984,200,0,0.8997790558020442,0.26178200805928187,0.29426773427034136,0.7422272060500725,0.22413793103448276,0.20532231337156895,123.61175531914894,0.16011885404034837
NSGA2,random_dense,3,944572931,213.35341143608093,200,0,0.91506190660006,0.2745717178526131,0.3056026830782736,0.7312477751106523,0.2268041237113402,0.2081710657003144,129.5267819148936,0.1677808055892404
NSGA2,random_dense,4,356318651,198.21894097328186,200,0,0.9059725427030458,0.25243283972638914,0.29222667032478084,0.7510447096987449,0.22572815533980584,0.20160875934537273,124.80024379432625,0.16165834688384229
NSGA2,random_dense,5,1881398048,223.94672179222107,200,0,0.8647815654474216,0.29894172064471464,0.3238826400918411,0.710147622523774,0.23715415019762845,0.2177522249180015,135.75067819148936,0.17584284739830228
NSGA2,greedy_pure,1,12165797,124.74329710006714,200,0,1.0465187296457805,0.21890034932632324,0.26948080813786096,0.781424081306273,0.14705882352941177,0.06920903341384449,11.820447695035462,0.015311460744864587
NSGA2,greedy_pure,2,1928551787,211.81928658485413,200,0,1.0804336579835112,0.19649686794101776,0.2440212809905336,0.8037845978429962,0.17857142857142858,0.09754193894087869,11.318781028368795,0.014661633456436262
NSGA2,greedy_pure,3,1170084910,127.595294713974,200,0,1.0160234860813822,0.2588821447862585,0.3033205998982357,0.7471025195834076,0.15,0.0733182869318593,10.741529255319149,0.01391389799911807
NSGA2,greedy_pure,4,581830630,225.60083985328674,198,2,1.011693456582037,0.2587130392710705,0.3009670378531966,0.7479665508748996,0.16,0.09481349943835779,10.852926427394511,0.014058194854137968
NSGA2,greedy_pure,5,2106910027,154.5406174659729,200,0,1.077424908778777,0.19697428660021085,0.24413792397276368,0.8038823509806461,0.19230769230769232,0.09693005718788576,11.529406028368793,0.01493446376731709
NSGA2,greedy_hybrid,1,494115093,203.40972113609314,200,0,2.2262932236931676,0.017832608138440915,0.195744373743031,0.9497138689180065,0.225,0.16862531169252662,78.56601063829787,0.10176944383199206
NSGA2,greedy_hybrid,2,263017436,177.8596546649933,200,0,2.1649329615538146,0.015959343709089368,0.19155267717399774,0.950605957335483,0.22310756972111553,0.1653350688617723,72.51957446808511,0.09393727262705326
NSGA2,greedy_hybrid,3,1652034206,142.12867164611816,200,0,2.1969979910921698,0.016621790712068867,0.19224817274421224,0.9493149303771451,0.21785714285714286,0.162007933538655,72.20461436170211,0.09352929321464004
NSGA2,greedy_hybrid,4,1063779926,218.89813661575317,200,0,2.1893883742057425,0.016098954395891197,0.19162536499542304,0.9496494548661163,0.22590361445783133,0.16531508676161452,74.74979609929078,0.09682616075037666
NSGA2,greedy_hybrid,5,441375676,165.07137370109558,200,0,2.1612973302886624,0.017553323791533293,0.179546756669776,0.9510381954357836,0.24489795918367346,0.17168934987005044,72.42031471631206,0.09380869781905708
NSGA3,random_sparse,1,2092282716,217.8763816356659,32,0,1.116801623914432,0.12168145306274529,0.19087335372595024,0.8747538378197341,0.225,0.12294990243737963,14.39627659574468,0.01864802667842575
NSGA3,random_sparse,2,1861185059,183.170147895813,36,0,1.0998538882177264,0.14926768157185444,0.2074597529875958,0.8494835765855162,0.21621621621621623,0.08734920815058038,11.838529353821908,0.015334882582670866
NSGA3,random_sparse,3,1102718182,217.31793594360352,35,0,1.11646862487671,0.12370465022239423,0.18621576490491792,0.8727562298347582,0.22,0.11292414132912215,12.727279635258359,0.01648611351717404
NSGA3,random_sparse,4,514463902,191.96675562858582,32,0,1.1422563980974,0.11808056788776489,0.18423194613138968,0.8772052724029236,0.2222222222222222,0.1203209614395199,13.5799257535461,0.01759057740096645
NSGA3,random_sparse,5,2039543299,209.40157294273376,24,0,1.0479906162126071,0.20992011591697557,0.24064627500240798,0.7930571570559559,0.2,0.07759370718768294,9.220375295508275,0.011943491315425226
NSGA3,random_dense,1,807339131,197.22541403770447,29,0,0.420315578862107,0.33066965155146716,0.3505848452557175,0.6861822679573928,0.2537878787878788,0.20959728517056855,112.81902665688433,0.14613863556591236
NSGA3,random_dense,2,576241474,197.57396340370178,29,0,0.4265791852281069,0.3385021690776687,0.352377881936422,0.6786677153603075,0.2427536231884058,0.20612538125564325,112.19369038884814,0.1453286144933266
NSGA3,random_dense,3,1965258244,215.00425672531128,30,0,0.42578663287126217,0.34369012482644623,0.3610513539634477,0.6747469930933031,0.24820143884892087,0.20469077111290984,113.51468676122933,0.14703974969071157
NSGA3,random_dense,4,1377003964,170.0192039012909,27,0,0.416712523655846,0.3736549595771454,0.38827505294836134,0.6496173702221171,0.25,0.21608606703109684,118.79206067769896,0.15387572626644944
NSGA3,random_dense,5,754599714,221.04843068122864,25,0,0.40144173865680954,0.38602474111714435,0.39781723801260327,0.6386428206810085,0.24316109422492402,0.21608814364291637,122.51574468085106,0.15869915114099878
NSGA3,greedy_pure,1,53623589,214.73313307762146,36,0,0.960333684693218,0.2757592055112449,0.3041910110991895,0.7345090993312485,0.14285714285714285,0.06592132977566098,9.328432821118993,0.012083462203522011
NSGA3,greedy_pure,2,1970009579,232.73497486114502,36,0,0.975885155707744,0.2807471126481229,0.30992693657845255,0.7295060616588097,0.15,0.057789322165257895,8.782505910165485,0.011376302992442338
NSGA3,greedy_pure,3,1211542702,199.0834023952484,42,0,0.9707106806939688,0.27691508457588065,0.3049242694787672,0.734063726135078,0.16,0.06503281821748307,9.121390577507599,0.011815272768792226
NSGA3,greedy_pure,4,623288422,191.51366925239563,41,0,0.9658764246924544,0.27272691090976753,0.30374760150446717,0.737814881307158,0.15789473684210525,0.06939641549305195,9.40769330565646,0.012186131224943601
NSGA3,greedy_pure,5,884172,226.85433959960938,33,0,0.8463415989507118,0.41158198307281235,0.44153604416013975,0.6120081100287926,0.13333333333333333,0.05259694456617245,8.517569310122502,0.011033120868034329
NSGA3,greedy_hybrid,1,376253248,235.20825695991516,44,0,1.2295577752090527,0.07622252880792588,0.18786687656952827,0.9114775921684998,0.22580645161290322,0.10560648786406263,18.852353320438425,0.024420146788132674
NSGA3,greedy_hybrid,2,145155591,124.1380877494812,23,0,1.0774077154449555,0.15437488018792725,0.19632204065230852,0.8439979151163532,0.23076923076923078,0.09450435595996397,10.446654332408263,0.013531935663741274
NSGA3,greedy_hybrid,3,1534172361,221.93200993537903,33,0,1.062293981585429,0.1532202091210391,0.20118759421777496,0.846424861904282,0.225,0.09160438651981316,13.151031592520955,0.017035015016218853
NSGA3,greedy_hybrid,4,945918081,111.80555868148804,26,0,1.0695729444221316,0.16440552916607135,0.20852039874928757,0.8366719105135607,0.23333333333333334,0.10585638525975485,10.667144026186579,0.013817544075371216
NSGA3,greedy_hybrid,5,323513831,222.4153447151184,31,0,1.192580609983608,0.08513985938824548,0.18316411868196023,0.9058032262017828,0.22641509433962265,0.14288584055933945,18.366449325097236,0.02379073746774253
SPEA2,random_sparse,1,1271272780,222.5666151046753,200,0,1.3478156858114252,0.059169978108259066,0.20758488073971107,0.9214014792484175,0.1956521739130435,0.061663450658262245,32.635460992907795,0.04227391320324844
SPEA2,random_sparse,2,1040175123,264.0839853286743,200,0,1.3179331347779903,0.06871151516773237,0.21225928709557004,0.9164964184729905,0.1968503937007874,0.06792667228129179,31.96911790780142,0.041410774491970746
SPEA2,random_sparse,3,281708246,273.14890146255493,200,0,1.3071991062126862,0.0680789038277687,0.2059181451420658,0.9176135257661542,0.2222222222222222,0.07481607973157849,31.888585992907803,0.04130645854003601
SPEA2,random_sparse,4,1840937613,234.54601573944092,200,0,1.3221820296058806,0.060165483669621184,0.2009182650142082,0.9215480970330225,0.208,0.07453964689349908,29.76466755319149,0.03855526885128431
SPEA2,random_sparse,5,1218533363,266.7916843891144,200,0,1.3418361991484329,0.06651980231766377,0.20811147957721687,0.9158510000661424,0.18823529411764706,0.0694271058460282,29.599290780141846,0.03834105023334436
SPEA2,random_dense,1,2048010852,215.986825466156,200,0,0.5954131125759956,0.33976633638487963,0.3819155526310692,0.679601462945738,0.19063545150501673,0.1164767042585699,110.37098404255318,0.14296759591004296
SPEA2,random_dense,2,1816913195,196.71555018424988,200,0,0.6296910402632112,0.34517909354629445,0.3759190954283145,0.672464914244843,0.2123076923076923,0.18981188016223688,130.0851019503546,0.16850401807040752
SPEA2,random_dense,3,1058446318,247.58916783332825,200,0,0.7433531756089474,0.28983483468123344,0.358343777755832,0.7188247355354287,0.17,0.07222708068848947,101.67719414893617,0.1317062100374821
SPEA2,random_dense,4,470192038,273.05492210388184,200,0,0.6454199050176486,0.29365262985128926,0.3571283163042011,0.7180085261340645,0.11721611721611722,0.05285951262850053,103.45373670212766,0.13400743096130527
SPEA2,random_dense,5,1995271435,240.60620021820068,200,0,0.7881410078043801,0.29996444826689805,0.35876799827881883,0.7114442591511984,0.13758389261744966,0.06816836446891122,105.95533687943262,0.13724784569874693
SPEA2,greedy_pure,1,387323113,252.43004751205444,200,0,1.0422263345102503,0.21795889284097805,0.2682417837096838,0.7827474666715509,0.1388888888888889,0.06352018210765474,13.67122340425532,0.017708838606548344
SPEA2,greedy_pure,2,156225456,247.5941298007965,200,0,1.0761489461892235,0.17947458348053388,0.2290750288466881,0.8183729413798451,0.1891891891891892,0.0747445448545349,12.903342198581559,0.01671417383235953
SPEA2,greedy_pure,3,1545242226,284.46752882003784,200,0,1.032881915690939,0.22340552725594276,0.2697136602959147,0.7785830248789571,0.15625,0.061540624507532386,11.974937943262411,0.015511577646712968
SPEA2,greedy_pure,4,956987946,153.38205933570862,200,0,1.0637536667543082,0.19661197842050046,0.24663382344029547,0.8034622335345626,0.15625,0.07283550339020269,12.55072695035461,0.016257418329474884
SPEA2,greedy_pure,5,334583696,271.60461473464966,200,0,0.9925077964117828,0.2584491419842746,0.3011971726267221,0.7480608852341086,0.16,0.0585788295238482,12.262695035460993,0.015884319994120457
SPEA2,greedy_hybrid,1,1872337878,280.5862979888916,200,0,2.0139554158740762,0.025936504993166853,0.2063192550806405,0.9416237958759712,0.20809248554913296,0.11423146441961024,58.89908244680851,0.07629414824716128
SPEA2,greedy_hybrid,2,1641240221,295.42710518836975,200,0,1.9602332657820989,0.03154931996355173,0.2006350787283072,0.9386011544715849,0.1872791519434629,0.09599929118350677,58.382061170212765,0.07562443156763311
SPEA2,greedy_hybrid,3,882773344,283.37370681762695,200,0,2.052856434857441,0.028954599076075328,0.20625153323238948,0.9402843747765142,0.20057306590257878,0.1108932324097625,59.1617420212766,0.07663438085657591
SPEA2,greedy_hybrid,4,294519064,253.99343872070312,200,0,1.8816300399623525,0.04499460534374669,0.20719081814604262,0.9294576081309753,0.18345323741007194,0.07810557105673047,51.857211879432626,0.06717255424796972
SPEA2,greedy_hybrid,5,1819598461,290.1496512889862,200,0,1.407029977362237,0.031714064248390836,0.20467592365279255,0.9413242487556257,0.19365079365079366,0.10309127927576835,52.91866134751773,0.06854748879212141
MOEAD_TCHE,random_sparse,1,80633054,514.5519778728485,101,91,0.7249936699220764,0.07196283188449065,0.1765904017598197,0.9182234268869787,0.25396825396825395,0.19417857179210915,25.857682044800224,0.033494406793782676
MOEAD_TCHE,random_sparse,2,1997019044,586.072428226471,106,93,0.5191314419456055,0.07960955777698772,0.17690762586686118,0.9146551566455117,0.2537313432835821,0.2029874052863096,26.71577679646729,0.034605928492833275
MOEAD_TCHE,random_sparse,3,1238552167,607.8057610988617,94,102,0.30524506149886893,0.08984752133068162,0.1763132429780352,0.9079898369560582,0.2571428571428571,0.21702681596637147,28.043166213973148,0.03632534483675278
MOEAD_TCHE,random_sparse,4,650297887,552.3454716205597,87,104,0.49452153660862225,0.08839940013997383,0.1816270285546911,0.9067475407518224,0.2465753424657534,0.1967944937291958,26.68130961115186,0.03456128187973039
MOEAD_TCHE,random_sparse,5,27893637,611.1419622898102,103,95,0.5226632053684193,0.07878232911208576,0.17400150065826947,0.9148928208869019,0.25862068965517243,0.199899940650822,25.493845968463813,0.0330231165394609
MOEAD_TCHE,random_dense,1,260983559,564.8236651420593,68,114,0.3766005939112832,0.4673261384060105,0.47912466403949294,0.5740235510401563,0.19014084507042253,0.1819139460069126,94.9683197747184,0.12301595825740724
MOEAD_TCHE,random_dense,2,29885902,626.464896440506,93,102,0.4274011572605011,0.4215631874887438,0.4349642424640515,0.6088396428722098,0.19855595667870035,0.189357141017902,88.68971631205673,0.11488305221769006
MOEAD_TCHE,random_dense,3,1418902672,636.297367811203,62,109,0.41227030475526505,0.4795918552427353,0.4911063453463448,0.5635298713010869,0.18855218855218855,0.1781997366118082,94.45265671471059,0.12234800092579091
MOEAD_TCHE,random_dense,4,830648392,619.8237860202789,93,77,0.3938741988790089,0.4581142649127542,0.4723685206885119,0.5803189876482773,0.2033898305084746,0.184907964359262,94.05219057423929,0.12182926240186437
MOEAD_TCHE,random_dense,5,208244142,679.3391716480255,84,89,0.40832636534546474,0.47961910898095916,0.4952195623291664,0.5651388289739647,0.18835616438356165,0.17409242903749436,94.36015070921985,0.1222281744938081
MOEAD_TCHE,greedy_pure,1,321571211,632.7171347141266,66,123,1.029528871008525,0.22482384185869922,0.2674633521770698,0.7750085058090087,0.17857142857142858,0.12781329681166445,14.304078014184398,0.01852859846396943
MOEAD_TCHE,greedy_pure,2,90473554,698.759170293808,77,111,0.9952881635999636,0.25739108828084784,0.30128064550887,0.743724465581876,0.15384615384615385,0.09834370237406846,13.98626462190292,0.018116923085366478
MOEAD_TCHE,greedy_pure,3,1479490324,648.0541095733643,67,105,1.0518474732883771,0.20067078089877824,0.24484048785875395,0.7955237999177299,0.18181818181818182,0.13073019122437118,14.28207367418228,0.018500095432878602
MOEAD_TCHE,greedy_pure,4,891236044,641.4228203296661,78,111,1.040224003345732,0.22017990736916052,0.26967212622766973,0.7765133427358578,0.1724137931034483,0.11023565838114116,14.64190080014548,0.018966192746302436
MOEAD_TCHE,greedy_pure,5,268831794,646.7646269798279,56,124,0.9798939111404027,0.26501914176126246,0.3028871412072855,0.7365127883061375,0.14814814814814814,0.08895067585519356,12.81755002532928,0.016603044074260727
MOEAD_TCHE,greedy_hybrid,1,76378954,599.2227749824524,105,83,1.9387969736834794,0.027942860529042837,0.17918515660216525,0.936842124621134,0.25609756097560976,0.19216230070097737,34.06507092198582,0.04412573953625106
