generation,metodo,Range,MinSum,SumMin,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,Hypervolume,IGD+,GD+
1,SPEA2+random_dense+UX,0.3204504768857042,1.6410376498285566,1.5410946068514693,0.1791044776119403,0.1588057066263191,127.71215747904576,0.2094177850823289,0.8607269314511111,0.9337308724162208
11,SPEA2+random_dense+UX,0.4892704642904889,1.5585242689910643,1.418320582117239,0.2026666666666666,0.1788681757133877,123.6880319148936,0.249958366711969,0.7763635892640716,0.8798677388150673
21,SPEA2+random_dense+UX,0.5772858162506357,1.5223668946720308,1.3348972346017045,0.2120343839541547,0.1905585017137187,122.2858961960026,0.277887738472009,0.7372118180685671,0.8493789040909604
31,SPEA2+random_dense+UX,0.6042389573972505,1.4869576491339316,1.30195442143943,0.2222222222222222,0.1963552972811039,118.99000644745328,0.2921368488622688,0.6720573321718081,0.8165936322016362
41,SPEA2+random_dense+UX,0.6265689947409256,1.4752725397195805,1.281237476233644,0.2292263610315186,0.2014109174505798,117.90934074790457,0.3009250859060423,0.6643028351869689,0.8049755246392144
51,SPEA2+random_dense+UX,0.6781353755855103,1.4637565736802314,1.2347486595591537,0.2307692307692307,0.2045184420488385,114.60631447453255,0.3171526012502855,0.6301936257729176,0.7889370249255689
61,SPEA2+random_dense+UX,0.7125660778858111,1.4466659164141429,1.2208841623484792,0.2340425531914893,0.2052224580260894,113.31824629271436,0.3230884925607267,0.6096448353954655,0.7700952385184252
71,SPEA2+random_dense+UX,0.6892786764875599,1.4369343228024314,1.2024000876231755,0.2368421052631578,0.2097357823208256,112.08517488716956,0.3310359449761701,0.5973013393050794,0.7543753024860249
81,SPEA2+random_dense+UX,0.6955315945786026,1.4354335025793732,1.2072479762107509,0.2417582417582417,0.2128780514574867,112.5268496131528,0.3313667983515608,0.6008077027509041,0.7521971745173897
91,SPEA2+random_dense+UX,0.7196859423802293,1.4228593443160509,1.1911791657467472,0.2442244224422442,0.2123810397477026,112.11629190844616,0.3366823529440425,0.5831598638050121,0.7524940110983233
101,SPEA2+random_dense+UX,0.7447356371923239,1.4228593443160509,1.1874192936599828,0.2473118279569892,0.2133787937719452,112.43783849129592,0.3390738079235718,0.5831598638050121,0.7527085129133407
111,SPEA2+random_dense+UX,0.7569749118696221,1.4228593443160509,1.177975367982653,0.2473118279569892,0.2121466360510571,111.06138378465504,0.3420441304489754,0.5789134921343642,0.7435139550560301
121,SPEA2+random_dense+UX,0.7899094590754703,1.434233129808142,1.1734844667844126,0.2435424354243542,0.2124633153795991,108.5153932946486,0.3429552776200797,0.570090636053938,0.7220886598887404
131,SPEA2+random_dense+UX,0.7765208635156408,1.4191121690373971,1.1767613919365816,0.2450331125827814,0.2148817615429017,108.9481221792392,0.3440806697122312,0.5646829845978689,0.7198566252589509
141,SPEA2+random_dense+UX,0.7817767674804612,1.425738343686632,1.1746070346601791,0.2448275862068965,0.2128451913655341,109.136029174726,0.3441795707471369,0.5547831636311412,0.7281703329227485
151,SPEA2+random_dense+UX,0.7801051961651984,1.4143497726503669,1.164359605864133,0.2489795918367346,0.2158063707570215,108.9533567053514,0.3479118940877566,0.5518061109773482,0.7210900511717664
161,SPEA2+random_dense+UX,0.7691618207444834,1.4162453191123283,1.1654054330806722,0.2491694352159468,0.2180437684917914,108.78992988394585,0.3480526972669819,0.5350737471734486,0.7209424666655927
171,SPEA2+random_dense+UX,0.7875701071519199,1.4162453191123283,1.1406661284581696,0.2489795918367346,0.2195625177534519,107.72717601547389,0.3567495655654281,0.5246881934455978,0.7074202612506647
181,SPEA2+random_dense+UX,0.7983064876012415,1.4131122246634378,1.1406661284581696,0.250996015936255,0.2173358831813174,108.50892166344296,0.356561578992442,0.525727831436445,0.7144802425929491
191,SPEA2+random_dense+UX,0.7833883239636924,1.41010866363348,1.1484093404952356,0.25,0.2178489494962022,106.4642730496454,0.3545513097975097,0.5125132478994202,0.7001612636097705
201,SPEA2+random_dense+UX,0.8266004221606,1.4084765004364268,1.1373285217478988,0.2546816479400749,0.2168602293120506,105.69277885235331,0.3573979186082363,0.5152087818734253,0.6942372282550865
211,SPEA2+random_dense+UX,0.8445009950587256,1.417673988559968,1.1198290731968832,0.2508833922261484,0.21765191406349,104.5726587685364,0.3621635854824026,0.4989262396426859,0.6875835944217765
221,SPEA2+random_dense+UX,0.8530570461318104,1.4133283355735171,1.1110376568825433,0.25,0.2182097994617841,104.92919487427466,0.3663028636057595,0.4937759339405785,0.6844757827132145
231,SPEA2+random_dense+UX,0.8845672402944882,1.403667553779508,1.111292186009634,0.2551724137931034,0.2238657150657736,104.52399661508704,0.3675565433038486,0.4802782530434765,0.6772641746243151
241,SPEA2+random_dense+UX,0.858442867271251,1.40783135757495,1.1161087799336746,0.2559241706161137,0.2231221248835699,104.63820116054156,0.3656501978353489,0.4802782530434765,0.6724549707086137
251,SPEA2+random_dense+UX,0.8433458987354201,1.4031520103649802,1.1025464480838418,0.2561576354679803,0.2242351695240706,103.50255077369438,0.3694054006312563,0.4770881546693296,0.6678409176797986
261,SPEA2+random_dense+UX,0.8463817438767463,1.4031520103649802,1.0997859178124252,0.2559241706161137,0.2240918473375593,102.8419729206963,0.3701362384616254,0.4547995890183804,0.6678898934876769
271,SPEA2+random_dense+UX,0.8346094084675514,1.4030127430301385,1.116239743232851,0.2492307692307692,0.2234755113883402,100.65870809155383,0.3651595728252822,0.4553218696987658,0.6568584196478482
281,SPEA2+random_dense+UX,0.8178199822867199,1.400482687480328,1.115846150031673,0.2567049808429119,0.2254896057774354,103.1719938749194,0.3665593969423406,0.4692419268836293,0.6656909325742427
291,SPEA2+random_dense+UX,0.8239590384427349,1.398342414643274,1.1102230372582729,0.2567049808429119,0.226842886648216,103.34687701482916,0.3679771439320711,0.4692419268836293,0.6654910394957938
301,SPEA2+random_dense+UX,0.8195324173794521,1.4010249721176586,1.1144995823257189,0.2567049808429119,0.2261003123386865,103.70473887814316,0.368434313461311,0.4719735296545369,0.6668498657921295
311,SPEA2+random_dense+UX,0.8123487822563041,1.3965869005374851,1.1220989228606129,0.2567567567567567,0.226791857758197,102.72496373307544,0.3647620549189388,0.480308160391691,0.6624410110544381
321,SPEA2+random_dense+UX,0.8021624087676744,1.403574492822646,1.1240309616667157,0.264069264069264,0.2277122107284424,101.57077691811736,0.3640294020640257,0.4602147387598168,0.6575944472021501
331,SPEA2+random_dense+UX,0.8059561308022297,1.4034652582551097,1.1134945857213183,0.2590909090909091,0.2259877903058183,101.26707769181174,0.3672320435950096,0.458784950047622,0.65606475486942
341,SPEA2+random_dense+UX,0.8349352164538467,1.4034652582551097,1.1065044603446612,0.2589641434262948,0.2263748506426223,100.50288120567376,0.3689625942141034,0.4505399947606294,0.6490917679417239
351,SPEA2+random_dense+UX,0.828383623197472,1.4095530045030649,1.1104654789575603,0.2543859649122807,0.2247668021280388,100.1606020309478,0.3673016201935306,0.4505399947606294,0.6487584048307289
361,SPEA2+random_dense+UX,0.8018091207744553,1.3991013932933845,1.1107841293374745,0.2553956834532374,0.2289402626932057,101.06105738233398,0.3690690383421959,0.454711421574015,0.6459996260728391
371,SPEA2+random_dense+UX,0.8155589832451888,1.4004085491177067,1.102889676848774,0.2614107883817427,0.2278504717058582,98.46984203739524,0.3706644352605588,0.454711421574015,0.6394773953213377
381,SPEA2+random_dense+UX,0.8253393119252018,1.397880520641107,1.0971112119136566,0.2557377049180327,0.2252548845870746,98.5284332688588,0.3726873887034955,0.4537378532489557,0.6418957129681683
391,SPEA2+random_dense+UX,0.7998788783805963,1.390632042827452,1.099758245763771,0.2629482071713147,0.2274948877123551,99.54913765312702,0.3731683062744719,0.4537378532489557,0.6377046004312986
401,SPEA2+random_dense+UX,0.7687203027913396,1.3936800707620578,1.1232928621797873,0.2592592592592592,0.2272414373688781,100.703251934236,0.3657365501512727,0.4497232201592909,0.6406751843960555
411,SPEA2+random_dense+UX,0.7692096084741505,1.402272723021461,1.123143172500732,0.2583025830258302,0.2305222173440765,101.21305206318505,0.3653284261141582,0.4497232201592909,0.6400276435139168
421,SPEA2+random_dense+UX,0.7644572111222189,1.400374599233274,1.126006947592506,0.2651515151515151,0.2315700397715329,100.943693584784,0.3634793449897626,0.4464565172264682,0.635068370261439
431,SPEA2+random_dense+UX,0.7680945670822428,1.3952040487748751,1.1245086700536848,0.2605363984674329,0.2320416844895143,101.129750967118,0.3647099244084541,0.45208699824944,0.6329780356202698
441,SPEA2+random_dense+UX,0.790550352234693,1.3952040487748751,1.1245275757168631,0.2629107981220657,0.2294393133836868,99.70262330754352,0.3648474161332333,0.4578073840084153,0.632431463337556
451,SPEA2+random_dense+UX,0.7844239498001774,1.390379460371903,1.1217567400106296,0.2602739726027397,0.2300696927311833,98.41909252095422,0.3658413439272122,0.4523184551197443,0.6272468967728336
461,SPEA2+random_dense+UX,0.8016135635387128,1.3889881478710182,1.113463459521692,0.2605363984674329,0.2303319828569494,98.58454626047713,0.36804522078219,0.4549983808326583,0.629501468070497
471,SPEA2+random_dense+UX,0.7934723513274643,1.3945588737246768,1.1082967585881829,0.2605363984674329,0.2290881393560657,97.84587362991616,0.3688748490959133,0.4510324982115787,0.6281521582909438
481,SPEA2+random_dense+UX,0.8050226074055544,1.3945588737246768,1.122468718611375,0.2559055118110236,0.2301572672423762,96.55698339780784,0.365013809441493,0.4510324982115787,0.6181540750980499
491,SPEA2+random_dense+UX,0.7913473374164814,1.3945588737246768,1.128392050616012,0.2629310344827586,0.2300076995269031,96.13014587362991,0.3647794265494878,0.4316991742516287,0.6133149138407008
500,SPEA2+random_dense+UX,0.7961975670610261,1.3945588737246768,1.1254477506266425,0.2633928571428571,0.2286973030173889,95.99228723404254,0.3644758704978709,0.440580791446365,0.6216574402729123
1,SPEA2+random_dense+HUX,0.3595096174110249,1.6226387397891184,1.5282838345282177,0.1843434343434343,0.1593600569694652,128.10392085751127,0.2121388091799602,0.8318685739407236,0.9363653196569216
11,SPEA2+random_dense+HUX,0.5756903344635314,1.568590056596347,1.3778579168282823,0.1983695652173913,0.1788976636266287,123.18269261766602,0.2595842200414618,0.7641146035865611,0.877151295669322
21,SPEA2+random_dense+HUX,0.5891495307503054,1.539442089592835,1.3365415452607177,0.2056555269922879,0.1903320722740965,121.2716997098646,0.2762079089317408,0.7216318983860524,0.844679140484075
31,SPEA2+random_dense+HUX,0.6539856420820335,1.4991200597039247,1.2962266176540718,0.2175066312997347,0.1959022400377039,116.7986581237911,0.2914000939175194,0.6690479986126137,0.8055983701479031
41,SPEA2+random_dense+HUX,0.7032715883890862,1.4908126889284257,1.2587106939531945,0.2222222222222222,0.2001365940485863,114.5463007736944,0.3061918039922612,0.6438760051517354,0.7856913904298211
51,SPEA2+random_dense+HUX,0.719187713726279,1.4741829901129018,1.2306772836672275,0.2262996941896024,0.2057848541394202,112.69306092843328,0.316894959920817,0.6031723042294739,0.7615950646796444
61,SPEA2+random_dense+HUX,0.7133625798901759,1.4558429452473085,1.1975666206079936,0.2416107382550335,0.2106466259100318,109.18252740167632,0.3307595927896233,0.5780634712648426,0.740608471706355
71,SPEA2+random_dense+HUX,0.7332630888599002,1.4426382475057724,1.1661549414515318,0.2408026755852843,0.2128119055992449,111.64299645390072,0.3415953025446734,0.5572191371962428,0.7401818407137318
