config,AvgHammingDistance
SPEA2-random_dense-UX,149.62576563507415
SPEA2-random_dense-UX,143.17989200515797
SPEA2-random_dense-UX,153.3788926499033
SPEA2-random_dense-UX,150.20398130238556
SPEA2-random_dense-UX,154.37428675048352
SPEA2-random_dense-UX,156.76522001934237
SPEA2-random_dense-UX,152.74032479045775
SPEA2-random_dense-UX,153.5527603159252
SPEA2-random_dense-UX,155.41465586718246
SPEA2-random_dense-UX,148.488390554481
SPEA2-random_dense-UX,153.2845502901354
SPEA2-random_dense-UX,153.8310968729852
SPEA2-random_dense-UX,154.98645228884587
SPEA2-random_dense-UX,145.84798114119923
SPEA2-random_dense-UX,145.74539813023856
SPEA2-random_dense-UX,146.97949306898775
SPEA2-random_dense-UX,150.77963813668597
SPEA2-random_dense-UX,147.85867585428758
SPEA2-random_dense-UX,150.49982269503545
SPEA2-random_dense-UX,148.71568343004512
SPEA2-random_dense-UX,149.43230577047063
SPEA2-random_dense-UX,152.70855496453905
SPEA2-random_dense-UX,152.7398573500967
SPEA2-random_dense-UX,147.13670212765956
SPEA2-random_dense-UX,157.0480939716312
SPEA2-random_dense-UX,152.16795615731786
SPEA2-random_dense-UX,149.97087765957448
SPEA2-random_dense-UX,160.25131366860091
SPEA2-random_dense-UX,151.9540780141844
SPEA2-random_dense-UX,154.91628384912957
SPEA2-random_dense-UX,151.58651676337846
SPEA2-random_dense-HUX,153.510775306254
SPEA2-random_dense-HUX,156.66211315280466
SPEA2-random_dense-HUX,151.52875967117987
SPEA2-random_dense-HUX,151.6098484848485
SPEA2-random_dense-HUX,156.42842117988394
SPEA2-random_dense-HUX,152.8479892005158
SPEA2-random_dense-HUX,152.34489442295293
SPEA2-random_dense-HUX,154.93874516441005
SPEA2-random_dense-HUX,157.76004996776277
SPEA2-random_dense-HUX,142.5390796260477
SPEA2-random_dense-HUX,150.29935928433267
SPEA2-random_dense-HUX,147.834501934236
SPEA2-random_dense-HUX,150.48496937459706
SPEA2-random_dense-HUX,151.0106262088975
SPEA2-random_dense-HUX,160.24831963249517
SPEA2-random_dense-HUX,157.5294205351386
SPEA2-random_dense-HUX,148.7913362346873
SPEA2-random_dense-HUX,154.55405786589296
SPEA2-random_dense-HUX,157.05408607350097
SPEA2-random_dense-HUX,151.6130963894262
SPEA2-random_dense-HUX,148.44451563507414
SPEA2-random_dense-HUX,145.72815522243712
SPEA2-random_dense-HUX,152.25932865892975
SPEA2-random_dense-HUX,156.80510960670534
SPEA2-random_dense-HUX,151.30313910380397
SPEA2-random_dense-HUX,147.3619922630561
SPEA2-random_dense-HUX,157.77894503546102
SPEA2-random_dense-HUX,149.7336879432624
SPEA2-random_dense-HUX,153.5164369761444
SPEA2-random_dense-HUX,153.63982511283044
SPEA2-random_dense-HUX,152.36659413281754
SPEA2-random_dense-1P,137.26980174081237
SPEA2-random_dense-1P,139.65467843326886
SPEA2-random_dense-1P,138.56704948420375
SPEA2-random_dense-1P,136.59907720825274
SPEA2-random_dense-1P,139.17790135396518
SPEA2-random_dense-1P,134.33644019987108
SPEA2-random_dense-1P,139.85553675048357
SPEA2-random_dense-1P,144.13105254674403
SPEA2-random_dense-1P,138.92751047711153
SPEA2-random_dense-1P,145.78149580915536
SPEA2-random_dense-1P,139.41909655061252
SPEA2-random_dense-1P,142.2246171824629
SPEA2-random_dense-1P,135.78278932946486
SPEA2-random_dense-1P,143.60446083172147
SPEA2-random_dense-1P,141.79993955512575
SPEA2-random_dense-1P,139.60392891682787
SPEA2-random_dense-1P,140.02683752417795
SPEA2-random_dense-1P,143.66952772404898
SPEA2-random_dense-1P,147.2510517408124
SPEA2-random_dense-1P,139.61664248871696
SPEA2-random_dense-1P,142.9818383301096
SPEA2-random_dense-1P,145.98037153449386
SPEA2-random_dense-1P,139.8113716956802
SPEA2-random_dense-1P,150.98536831076726
SPEA2-random_dense-1P,139.5759429400387
SPEA2-random_dense-1P,139.31924967762737
SPEA2-random_dense-1P,134.21541344294002
SPEA2-random_dense-1P,145.83024258542872
SPEA2-random_dense-1P,140.59655061250805
SPEA2-random_dense-1P,136.406971308833
SPEA2-random_dense-1P,134.32388378465507
SPEA2-random_dense-2P,138.85491618310766
SPEA2-random_dense-2P,138.45446889103803
SPEA2-random_dense-2P,139.74074790457766
SPEA2-random_dense-2P,150.4163563829787
SPEA2-random_dense-2P,134.40504916183107
SPEA2-random_dense-2P,138.65668923275308
SPEA2-random_dense-2P,141.11982994842037
SPEA2-random_dense-2P,139.22351708575113
SPEA2-random_dense-2P,136.7448460670535
SPEA2-random_dense-2P,143.60065683430045
SPEA2-random_dense-2P,140.14437862669246
SPEA2-random_dense-2P,135.00163201160544
SPEA2-random_dense-2P,146.13701241134754
SPEA2-random_dense-2P,139.2815481947131
SPEA2-random_dense-2P,142.37972275951
SPEA2-random_dense-2P,146.87777643455834
SPEA2-random_dense-2P,136.96569148936172
SPEA2-random_dense-2P,139.26669890393293
SPEA2-random_dense-2P,140.09392327530625
SPEA2-random_dense-2P,140.79585348162473
SPEA2-random_dense-2P,137.36661831076725
SPEA2-random_dense-2P,130.55334058671824
SPEA2-random_dense-2P,137.74181979368146
SPEA2-random_dense-2P,140.35595180528694
SPEA2-random_dense-2P,137.4944229529336
SPEA2-random_dense-2P,143.6709501934236
SPEA2-random_dense-2P,140.98272888459059
SPEA2-random_dense-2P,132.8951966473243
SPEA2-random_dense-2P,140.78859203739523
SPEA2-random_dense-2P,136.56106141199228
SPEA2-random_dense-2P,141.58160058027076
SPEA2-greedy_ting-UX,104.88994600257898
SPEA2-greedy_ting-UX,103.05768455834945
SPEA2-greedy_ting-UX,107.75097517730497
SPEA2-greedy_ting-UX,102.6275991295938
SPEA2-greedy_ting-UX,112.12574145712443
SPEA2-greedy_ting-UX,109.11202450032238
SPEA2-greedy_ting-UX,102.5644825918762
SPEA2-greedy_ting-UX,106.04824709864604
SPEA2-greedy_ting-UX,101.82932382333978
SPEA2-greedy_ting-UX,105.15065280464216
SPEA2-greedy_ting-UX,108.21302385557705
SPEA2-greedy_ting-UX,108.31825838168923
SPEA2-greedy_ting-UX,99.26536105738232
SPEA2-greedy_ting-UX,101.3879029658285
SPEA2-greedy_ting-UX,109.25842601547387
SPEA2-greedy_ting-UX,104.17145390070922
SPEA2-greedy_ting-UX,103.44348404255318
