config,Hypervolume
SPEA2-random_dense-2P,0.4170247904735934
SPEA2-random_dense-2P,0.4070003922684275
SPEA2-random_dense-2P,0.40542171780472364
SPEA2-random_dense-2P,0.4167042478789916
SPEA2-greedy_ting-UX,0.395385669153192
SPEA2-greedy_ting-UX,0.4082978429210328
SPEA2-greedy_ting-UX,0.4070236824050017
SPEA2-greedy_ting-UX,0.4048374291298197
SPEA2-greedy_ting-UX,0.3951519947584034
SPEA2-greedy_ting-UX,0.4076969632570254
SPEA2-greedy_ting-UX,0.391758927193257
SPEA2-greedy_ting-UX,0.4067418099897127
SPEA2-greedy_ting-UX,0.38693088173020623
SPEA2-greedy_ting-UX,0.386430872816116
SPEA2-greedy_ting-UX,0.377113752883349
SPEA2-greedy_ting-UX,0.410117858718754
SPEA2-greedy_ting-UX,0.4183320341453638
SPEA2-greedy_ting-UX,0.3770976790065057
SPEA2-greedy_ting-UX,0.41842327415890224
SPEA2-greedy_ting-UX,0.40994246651378746
SPEA2-greedy_ting-UX,0.4003044466198189
SPEA2-greedy_ting-UX,0.38531540849780593
SPEA2-greedy_ting-UX,0.4152103959330685
SPEA2-greedy_ting-UX,0.4065143345942365
SPEA2-greedy_ting-UX,0.4153229596829895
SPEA2-greedy_ting-UX,0.41931418793413044
SPEA2-greedy_ting-UX,0.39336064850859026
SPEA2-greedy_ting-UX,0.3888959625861446
SPEA2-greedy_ting-UX,0.41260547031494893
SPEA2-greedy_ting-UX,0.39657252181735314
SPEA2-greedy_ting-UX,0.3824454451135501
SPEA2-greedy_ting-UX,0.4107441623223474
SPEA2-greedy_ting-UX,0.4121444768729851
SPEA2-greedy_ting-UX,0.39713864021317413
SPEA2-greedy_ting-UX,0.39507357475443117
SPEA2-greedy_ting-HUX,0.37908644204597836
SPEA2-greedy_ting-HUX,0.4060393813672437
SPEA2-greedy_ting-HUX,0.4119854718093758
SPEA2-greedy_ting-HUX,0.4158666133027056
SPEA2-greedy_ting-HUX,0.39805186023851546
SPEA2-greedy_ting-HUX,0.41886128310658827
SPEA2-greedy_ting-HUX,0.41651104637389474
SPEA2-greedy_ting-HUX,0.41888878595761375
SPEA2-greedy_ting-HUX,0.39673166593215364
SPEA2-greedy_ting-HUX,0.3974355374984498
SPEA2-greedy_ting-HUX,0.4124639528186742
SPEA2-greedy_ting-HUX,0.4138266334171674
SPEA2-greedy_ting-HUX,0.3639866893241204
SPEA2-greedy_ting-HUX,0.41222724138370725
SPEA2-greedy_ting-HUX,0.39484934942116917
SPEA2-greedy_ting-HUX,0.41423770261348863
SPEA2-greedy_ting-HUX,0.39154513876509767
SPEA2-greedy_ting-HUX,0.4196916927623094
SPEA2-greedy_ting-HUX,0.3961325297357796
SPEA2-greedy_ting-HUX,0.42862153456926605
SPEA2-greedy_ting-HUX,0.42621580230921885
SPEA2-greedy_ting-HUX,0.4272663152554823
SPEA2-greedy_ting-HUX,0.4126577520137128
SPEA2-greedy_ting-HUX,0.4020176180906006
SPEA2-greedy_ting-HUX,0.37836523054360083
SPEA2-greedy_ting-HUX,0.4081045732846237
SPEA2-greedy_ting-HUX,0.42691627820287775
SPEA2-greedy_ting-HUX,0.42129852145081303
SPEA2-greedy_ting-HUX,0.4007482700203382
SPEA2-greedy_ting-HUX,0.3874172004222722
SPEA2-greedy_ting-HUX,0.40222782741537405
SPEA2-greedy_ting-1P,0.4231933318272817
SPEA2-greedy_ting-1P,0.3923687640779679
SPEA2-greedy_ting-1P,0.4270280541328587
SPEA2-greedy_ting-1P,0.41473088463611857
SPEA2-greedy_ting-1P,0.4171511830140573
SPEA2-greedy_ting-1P,0.41327532233172387
SPEA2-greedy_ting-1P,0.39839464277992653
SPEA2-greedy_ting-1P,0.4133023572386499
SPEA2-greedy_ting-1P,0.3980320473993313
SPEA2-greedy_ting-1P,0.418349386860993
SPEA2-greedy_ting-1P,0.38223182355055696
SPEA2-greedy_ting-1P,0.4399011690540352
SPEA2-greedy_ting-1P,0.4252365038637393
SPEA2-greedy_ting-1P,0.4169718695031694
SPEA2-greedy_ting-1P,0.40060292864009983
SPEA2-greedy_ting-1P,0.43026910155907594
SPEA2-greedy_ting-1P,0.3910580581792395
SPEA2-greedy_ting-1P,0.40537150082568707
SPEA2-greedy_ting-1P,0.42665284723878716
SPEA2-greedy_ting-1P,0.4118787652130522
SPEA2-greedy_ting-1P,0.4169815365441052
SPEA2-greedy_ting-1P,0.4129907855975022
SPEA2-greedy_ting-1P,0.42156313846380683
SPEA2-greedy_ting-1P,0.41025596421993726
SPEA2-greedy_ting-1P,0.4132724685107773
SPEA2-greedy_ting-1P,0.40965106790207284
SPEA2-greedy_ting-1P,0.4214355053353959
SPEA2-greedy_ting-1P,0.416394763673089
SPEA2-greedy_ting-1P,0.4208617117235754
