algorithm,init,crossover,run,seed,elapsed_sec,n_solutions_final_front,n_infeasible_final_front,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
NSGA2,random_dense,UX,1,443051366,221.74488162994385,220,0,1.3415908843797588,1.495758122376734,1.9782792996702714,0.07947571528446244,0.3929278839753809,0.8466492795019793,0.009852216748768473,0.0058343949586969306,148.2711033204384,0.19206101466378034
NSGA2,random_dense,UX,2,1965458918,196.47789406776428,220,0,1.272154394809337,1.5264817365497572,1.979774374109211,0.07803276682352575,0.4243993706340363,0.8487157537721187,0.009216589861751152,0.005787329613192424,149.26368471953577,0.19334674186468365
NSGA2,random_dense,UX,3,1830638212,253.78774881362915,220,0,1.3057556478064274,1.5047653292291603,1.9782645692505452,0.0789844351078371,0.3976986757102519,0.8424797900400854,0.00966183574879227,0.005766097159306497,147.82109526112185,0.19147810266984697
NSGA2,random_dense,UX,4,1985515624,159.30097913742065,220,0,1.271477082709436,1.5322715464478576,1.9785935880423111,0.07772366323432542,0.4237410710540457,0.8881203967083248,0.009302325581395349,0.005648399914581416,153.28129835589942,0.19855090460608735
NSGA2,random_dense,UX,5,1617059596,214.4826328754425,220,0,1.2934118322859662,1.4924431102358835,1.9708017109773595,0.08011815414389166,0.3514622257349286,0.7991840260606949,0.01092896174863388,0.006199041126255394,142.36727917472595,0.18441357406052583
NSGA2,greedy_multi,UX,1,291918867,251.24829411506653,219,1,0.21613804461327843,1.8607543074334187,1.9497743772363962,0.03259916599569249,1.3004888391836278e-05,0.06046864921615263,0.13333333333333333,0.047814737041443664,18.96570889601347,0.02456698043525061
NSGA2,greedy_multi,UX,2,1814326419,261.5555236339569,220,0,0.23469058788667865,1.8514517884055754,1.948550779642487,0.03386275897954214,1.319278618439057e-05,0.06610089410323829,0.125,0.04580553429784593,20.349395551257253,0.026359320662250326
NSGA2,greedy_multi,UX,3,1679505713,260.4936327934265,218,2,0.2406235382348619,1.8497638872257842,1.9496839978536769,0.034084998235498064,6.59639309221749e-05,0.06931993310428558,0.125,0.04820065281200436,21.026762476413563,0.027236738959084926
NSGA2,greedy_multi,UX,4,1834383125,263.23688673973083,219,1,0.2252976056032135,1.8568378221497142,1.9498245147358744,0.033131529347578764,5.527077566529968e-05,0.06421218155989146,0.125,0.04640390263647921,19.779328184202857,0.025620891430314582
NSGA2,greedy_multi,UX,5,1465927097,286.5152027606964,219,1,0.20844080101988488,1.8648856795203002,1.94991134035912,0.032037815706581915,0.0,0.060463205330820245,0.14285714285714285,0.05010131561450864,18.898786392046375,0.024480293253946083
NSGA3,random_dense,UX,1,914252696,282.22349882125854,19,0,0.9562827428421912,1.61561653690667,1.9690498734734767,0.07378030421029512,0.3723527682923833,0.6415760882514906,0.010416666666666666,0.007176294695420592,120.38703807390819,0.1559417591630935
NSGA3,random_dense,UX,2,289176601,193.05525088310242,19,0,1.0092273168404589,1.6098284438303658,1.9725400380117541,0.07418893859196078,0.3862963170098755,0.6958016721178898,0.01020408163265306,0.006744683554199769,127.6200074654722,0.16531089049931633
NSGA3,random_dense,UX,3,154355895,179.24951553344727,19,0,0.9262628629426455,1.6283996171838273,1.9695081558135956,0.07334312193620715,0.39157906323132646,0.655796415297798,0.01,0.00695755889987085,123.64902948861516,0.16016713664328389
NSGA3,random_dense,UX,4,309233307,240.32438397407532,19,0,0.940726361828519,1.6081531349506943,1.9639952832627885,0.0743595765876153,0.3439226778643102,0.611847065192342,0.011299435028248588,0.0075070468992610275,117.26698394923478,0.15190023827621085
NSGA3,random_dense,UX,5,2088260926,264.7791283130646,20,0,0.9523924624588007,1.6164785184596606,1.969766286546896,0.0740786822750688,0.382321496480259,0.6507600597907923,0.01020408163265306,0.007063740405120299,122.74915780141843,0.15900149974277
NSGA3,greedy_multi,UX,1,1924673066,213.475487947464,24,0,0.14197653863382145,1.9000751264985767,1.9541952890825363,0.027130046047853778,0.0009103022467268351,0.03069000225538303,0.14285714285714285,0.05860457359481999,11.449837470449173,0.014831395687110328
NSGA3,greedy_multi,UX,2,1299596971,193.78100109100342,26,0,0.13908855106679477,1.9018323460019735,1.9548167600166098,0.026876374053803075,0.0009103022467268351,0.030618074512795686,0.125,0.05342548291842067,11.383967539552646,0.014746071942425708
NSGA3,greedy_multi,UX,3,1164776265,256.64000368118286,27,0,0.15215420281074823,1.8956248901231105,1.9542123235539182,0.027746552973992082,0.0009103022467268351,0.03337607665458575,0.11764705882352941,0.04800913348236651,12.151070396637772,0.01573972849305411
NSGA3,greedy_multi,UX,4,1319653677,162.12993574142456,20,0,0.14154415375056326,1.900348933876818,1.9535302579248768,0.02708426897107391,0.0009103022467268351,0.03046043142665264,0.125,0.059359068904642806,11.347916666666666,0.014699373920552677
NSGA3,greedy_multi,UX,5,951197649,218.4218225479126,24,0,0.15933079646919907,1.8905681184160974,1.952977384961016,0.028460473744533848,0.0009103022467268351,0.03277584825967734,0.14285714285714285,0.06046597878012664,11.997007978723405,0.015540165775548452
MOEAD_TCHE,random_dense,UX,1,996753455,553.5601797103882,91,119,0.960142931281138,1.635745303863236,2.012144034675185,0.07286979141351885,0.3856142269371783,0.7388870440355527,0.01015228426395939,0.006141494454265478,130.19696438313463,0.16864891759473397
MOEAD_TCHE,random_dense,UX,2,371677360,484.7685081958771,97,119,0.9839333616966978,1.6440062688309134,2.0143436428186914,0.0722911367186446,0.41237347356077897,0.7814338486184,0.009523809523809525,0.005841142497894205,134.35322073554144,0.17403266934655628
MOEAD_TCHE,random_dense,UX,3,236856654,531.2599620819092,99,113,0.9175766360168423,1.6713281307374144,2.022921065812498,0.07078312861546075,0.4148941033092566,0.76591895377737,0.009478672985781991,0.005926079301083749,131.9525843541801,0.17092303672821255
MOEAD_TCHE,random_dense,UX,4,391734066,524.2068326473236,95,119,0.9102229776497945,1.6607895062028477,2.011054995380888,0.07145199593295605,0.39968938810695065,0.7522974640859192,0.00980392156862745,0.006061313842791991,130.47254572601716,0.16900588824613622
MOEAD_TCHE,random_dense,UX,5,23278038,496.57408928871155,103,113,0.8771857362906526,1.6736071951629332,2.0149618138415004,0.07092175901985526,0.417048241164787,0.7560604638910176,0.009433962264150943,0.0059591805842102285,132.4735075397645,0.1715978076939955
MOEAD_TCHE,greedy_multi,UX,1,790751601,536.8577170372009,75,118,0.16620771318819902,1.8888609099847427,1.9554076733006998,0.02870046434080259,0.00047054270724522507,0.05418833118248384,0.14285714285714285,0.057062489095317,17.080910165484635,0.022125531302441236
MOEAD_TCHE,greedy_multi,UX,2,165675506,511.47499108314514,72,64,0.17843620529398618,1.8814375077338166,1.9537590607522282,0.02991013971505632,0.0019318342460503757,0.059522762393868806,0.14285714285714285,0.054601380487710224,18.3806146572104,0.02380908634353679
MOEAD_TCHE,greedy_multi,UX,3,30854800,479.6330199241638,64,101,0.16639672409538608,1.8882439769046548,1.954380435090268,0.02878938164720233,0.00047054270724522507,0.05382842637776667,0.14285714285714285,0.05917083454374503,17.059092420212767,0.02209726997436887
MOEAD_TCHE,greedy_multi,UX,4,185732212,414.73382472991943,73,91,0.17546211238205198,1.8830762958798728,1.9538049859403597,0.029505487178544513,0.00047054270724522507,0.056847125948592155,0.14285714285714285,0.055686187112093624,17.841846400466334,0.02311120000060406
MOEAD_TCHE,greedy_multi,UX,5,1964759831,403.62155413627625,77,127,0.18499141015558915,1.877267756605595,1.9521579138744336,0.030496050487263872,0.0019470863578595387,0.06166697006439866,0.14285714285714285,0.05322628697017642,19.167368978539194,0.024828198158729525
