Configuración,Compacidad,Tolerancia,Disimilitud,Balance
SPEA2 (random_dense),305.0,78.0,0.4107720032554354,0.0039222286539335
SPEA2 (random_dense),214.0,41.0,0.3376499635447736,0.0019515595229601
SPEA2 (random_dense),260.0,63.0,0.3896549372613203,0.0028697621688543
SPEA2 (random_dense),208.0,45.0,0.3520228109656301,0.0020637364007958
SPEA2 (random_dense),270.0,68.0,0.4169950091935908,0.004191075099862
SPEA2 (random_dense),249.0,55.0,0.411913611894386,0.0034915504865723
SPEA2 (random_dense),309.0,64.0,0.34418106910877,0.0021124034452847
SPEA2 (random_dense),238.0,45.0,0.3398742475713689,0.0019014860135907
SPEA2 (random_dense),218.0,39.0,0.3474160648057778,0.0020054965981338
SPEA2 (random_dense),299.0,67.0,0.3523298702530895,0.0021135295502051
SPEA2 (random_dense),290.0,59.0,0.3515926876987038,0.0021202949968334
SPEA2 (random_dense),359.0,87.0,0.3826132479898852,0.0033352232025225
SPEA2 (random_dense),349.0,77.0,0.356334715194375,0.0024602109967773
SPEA2 (random_dense),189.0,47.0,0.405207512477016,0.0035521052318558
SPEA2 (random_dense),174.0,33.0,0.3827341648324774,0.0027953132473931
SPEA2 (random_dense),189.0,43.0,0.3981387669330931,0.0028194893515242
SPEA2 (random_dense),207.0,48.0,0.424088635351355,0.0042197395999992
SPEA2 (random_dense),273.0,63.0,0.3521516899176473,0.0021567798165045
SPEA2 (random_dense),232.0,55.0,0.4024211298606016,0.0029447241220517
SPEA2 (random_dense),266.0,65.0,0.3750166640004266,0.0025401822655352
SPEA2 (random_dense),174.0,41.0,0.3938717697888644,0.0028655611828083
SPEA2 (random_dense),269.0,63.0,0.3688569432360463,0.0023912947411923
SPEA2 (random_dense),364.0,80.0,0.3642959434182838,0.0026293839699061
SPEA2 (random_dense),216.0,49.0,0.3987186432886787,0.0028953021985173
SPEA2 (random_dense),378.0,87.0,0.3677623925850876,0.0029056686379729
SPEA2 (random_dense),200.0,45.0,0.394459219858156,0.002770718195136
SPEA2 (random_dense),205.0,49.0,0.4023741567202906,0.0029316347608843
SPEA2 (random_dense),239.0,53.0,0.3841619929374759,0.0026100540415142
SPEA2 (random_dense),270.0,52.0,0.3370567375886524,0.0019017108844952
SPEA2 (random_dense),329.0,83.0,0.3997472461143805,0.0036191540269619
SPEA2 (random_dense),275.0,65.0,0.3919890393294649,0.0029839342330669
SPEA2 (random_dense),350.0,81.0,0.3651139817629179,0.0026534462642005
SPEA2 (random_dense),218.0,55.0,0.4201070336391437,0.0038888183758043
SPEA2 (random_dense),176.0,35.0,0.3979892005157963,0.0031722569828963
