config,IGD+
SPEA2-random_dense-2P,0.46437993381638076
SPEA2-random_dense-2P,0.553257808903578
SPEA2-random_dense-2P,0.5006267750820325
SPEA2-random_dense-2P,0.5312788049578455
SPEA2-greedy_ting-UX,0.042845411995887234
SPEA2-greedy_ting-UX,0.10363652347671974
SPEA2-greedy_ting-UX,0.05966161569240634
SPEA2-greedy_ting-UX,0.06710754665501363
SPEA2-greedy_ting-UX,0.17297936337605385
SPEA2-greedy_ting-UX,0.1370260892591372
SPEA2-greedy_ting-UX,0.07283504507497264
SPEA2-greedy_ting-UX,0.07680881423951094
SPEA2-greedy_ting-UX,0.048465746238133135
SPEA2-greedy_ting-UX,0.10601361718648128
SPEA2-greedy_ting-UX,0.19271506309658956
SPEA2-greedy_ting-UX,0.11243947072361266
SPEA2-greedy_ting-UX,0.018568850010426793
SPEA2-greedy_ting-UX,0.13006229317868898
SPEA2-greedy_ting-UX,0.11359912369866501
SPEA2-greedy_ting-UX,0.08742775308560205
SPEA2-greedy_ting-UX,0.04509909471261445
SPEA2-greedy_ting-UX,0.06871606323519784
SPEA2-greedy_ting-UX,0.07674264020076604
SPEA2-greedy_ting-UX,0.15728979750592256
SPEA2-greedy_ting-UX,0.08547920375388365
SPEA2-greedy_ting-UX,0.14577541287258863
SPEA2-greedy_ting-UX,0.10249241618997429
SPEA2-greedy_ting-UX,0.15545002881672296
SPEA2-greedy_ting-UX,0.1290891180619195
SPEA2-greedy_ting-UX,0.12289680233739117
SPEA2-greedy_ting-UX,0.1150813196755192
SPEA2-greedy_ting-UX,0.1690216246378996
SPEA2-greedy_ting-UX,0.06885291740435492
SPEA2-greedy_ting-UX,0.14688877332877423
SPEA2-greedy_ting-UX,0.09695409247785525
SPEA2-greedy_ting-HUX,0.069111811145659
SPEA2-greedy_ting-HUX,0.09758732505843926
SPEA2-greedy_ting-HUX,0.056148585131308576
SPEA2-greedy_ting-HUX,0.10710119380866148
SPEA2-greedy_ting-HUX,0.1526802409691548
SPEA2-greedy_ting-HUX,0.08246298796823612
SPEA2-greedy_ting-HUX,0.11099406278201458
SPEA2-greedy_ting-HUX,0.042979324831303053
SPEA2-greedy_ting-HUX,0.08580787585713916
SPEA2-greedy_ting-HUX,0.029739573183965116
SPEA2-greedy_ting-HUX,0.0674917469963311
SPEA2-greedy_ting-HUX,0.08076605287695426
SPEA2-greedy_ting-HUX,0.07720281007784122
SPEA2-greedy_ting-HUX,0.0804959216297889
SPEA2-greedy_ting-HUX,0.11421613552416625
SPEA2-greedy_ting-HUX,0.07810949076320729
SPEA2-greedy_ting-HUX,0.06717496211555704
SPEA2-greedy_ting-HUX,0.05034084324726195
SPEA2-greedy_ting-HUX,0.09944110512530821
SPEA2-greedy_ting-HUX,0.05764938720914792
SPEA2-greedy_ting-HUX,0.10500191826493764
SPEA2-greedy_ting-HUX,0.09721095983889969
SPEA2-greedy_ting-HUX,0.10845419823855104
SPEA2-greedy_ting-HUX,0.04451206812638048
SPEA2-greedy_ting-HUX,0.051911519181526464
SPEA2-greedy_ting-HUX,0.025977314542796306
SPEA2-greedy_ting-HUX,0.06175358861776498
SPEA2-greedy_ting-HUX,0.13497821317818456
SPEA2-greedy_ting-HUX,0.08845926221464917
SPEA2-greedy_ting-HUX,0.19953277769855837
SPEA2-greedy_ting-HUX,0.06703381471434941
SPEA2-greedy_ting-1P,0.2412460988864676
SPEA2-greedy_ting-1P,0.19487351656260032
SPEA2-greedy_ting-1P,0.1728280110619938
SPEA2-greedy_ting-1P,0.14433879677606848
SPEA2-greedy_ting-1P,0.24048500823934407
SPEA2-greedy_ting-1P,0.21697676466245966
SPEA2-greedy_ting-1P,0.11803631597667677
SPEA2-greedy_ting-1P,0.17306215544169823
SPEA2-greedy_ting-1P,0.22600891314559954
SPEA2-greedy_ting-1P,0.2226471549469082
SPEA2-greedy_ting-1P,0.17017752571834882
SPEA2-greedy_ting-1P,0.21461248998414942
SPEA2-greedy_ting-1P,0.1774441766928377
SPEA2-greedy_ting-1P,0.29929028302690824
SPEA2-greedy_ting-1P,0.25988814765628715
SPEA2-greedy_ting-1P,0.19832422366244334
SPEA2-greedy_ting-1P,0.1817718619162
SPEA2-greedy_ting-1P,0.18466906962868335
SPEA2-greedy_ting-1P,0.19979619766181017
SPEA2-greedy_ting-1P,0.20801710193006143
SPEA2-greedy_ting-1P,0.21171618292561564
SPEA2-greedy_ting-1P,0.15273904640312072
SPEA2-greedy_ting-1P,0.16956896015861142
SPEA2-greedy_ting-1P,0.2148867350132828
SPEA2-greedy_ting-1P,0.23979586859506574
SPEA2-greedy_ting-1P,0.20029277166786644
SPEA2-greedy_ting-1P,0.23024402643473105
SPEA2-greedy_ting-1P,0.1455555166819086
SPEA2-greedy_ting-1P,0.25670698396928815
SPEA2-greedy_ting-1P,0.1932450551631761
SPEA2-greedy_ting-1P,0.2304806115112545
SPEA2-greedy_ting-2P,0.27826305837656273
SPEA2-greedy_ting-2P,0.28439376333038197
SPEA2-greedy_ting-2P,0.28417283826061573
SPEA2-greedy_ting-2P,0.2055446430089904
SPEA2-greedy_ting-2P,0.23481173169995362
SPEA2-greedy_ting-2P,0.23661655770333948
SPEA2-greedy_ting-2P,0.23933701586266212
SPEA2-greedy_ting-2P,0.2689215388036073
SPEA2-greedy_ting-2P,0.31075776372103925
SPEA2-greedy_ting-2P,0.29229987595117635
SPEA2-greedy_ting-2P,0.28228075865481334
SPEA2-greedy_ting-2P,0.26892178247905674
SPEA2-greedy_ting-2P,0.288298036863727
SPEA2-greedy_ting-2P,0.3085784808048167
SPEA2-greedy_ting-2P,0.2905343892236401
SPEA2-greedy_ting-2P,0.18732248841039106
SPEA2-greedy_ting-2P,0.1879345282006423
SPEA2-greedy_ting-2P,0.2622401124352549
SPEA2-greedy_ting-2P,0.24199406645731494
SPEA2-greedy_ting-2P,0.2052587625582443
SPEA2-greedy_ting-2P,0.19126528498695122
SPEA2-greedy_ting-2P,0.2388329759641958
SPEA2-greedy_ting-2P,0.2073707181837257
SPEA2-greedy_ting-2P,0.24940422581380198
