algorithm,init,crossover,run,seed,Range,MinSum,SumMin,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,Hypervolume,IGD+,GD+,elapsed_sec,n_solutions_final_front,n_infeasible_final_front
SPEA2,random_dense,UX,1,1599062632,1.2189329827373865,1.4855624460513221,1.0610503735539427,0.2289855072463768,0.18540939965151446,149.62576563507415,0.41382095609142777,0.5885456757846433,0.8634941242745485,384.5903129577637,220,0
SPEA2,random_dense,UX,2,820989175,1.2352552693418266,1.4999021772531727,1.047836707093116,0.22969187675070027,0.17917301344413944,143.17989200515797,0.4140471218100948,0.5227816408425633,0.8136286742292651,248.1523687839508,220,0
SPEA2,random_dense,UX,3,582220115,1.1780930919818973,1.4701483601387142,1.045462978886879,0.2342857142857143,0.18889012672202463,153.3788926499033,0.4203160713730488,0.5799989795683197,0.8765816362854713,275.2755517959595,220,0
SPEA2,random_dense,UX,4,150833957,1.3375425765997424,1.4687933971094114,1.025956532776235,0.23501199040767387,0.18846022472581714,150.20398130238556,0.4291393432469617,0.5912651637376238,0.885103514772047,372.71394085884094,220,0
SPEA2,random_dense,UX,5,139107549,1.281541171763247,1.466932230192385,0.9811030548121222,0.2349869451697128,0.19515436099262157,154.37428675048352,0.4419225706391447,0.5680820979738218,0.9025525082588421,303.0372853279114,220,0
SPEA2,random_dense,HUX,1,890697159,1.3572628394666193,1.4732102601829289,0.9714850062720812,0.22506393861892582,0.18493260733998995,153.510775306254,0.4378494632762393,0.5479119480201042,0.9005966200301883,306.1952757835388,220,0
SPEA2,random_dense,HUX,2,112623702,1.2847653592469948,1.4519643499330865,0.9858883353069443,0.23425692695214106,0.19070635617699955,156.66211315280466,0.43934053896042125,0.6134988169036752,0.9261093494246996,344.6562125682831,220,0
SPEA2,random_dense,HUX,3,2021338289,1.324377090676804,1.4582462513426908,0.9465670375372144,0.23415977961432508,0.1970466828600685,151.52875967117987,0.4530353169149952,0.5591340982563314,0.8826804908996283,303.4865438938141,220,0
SPEA2,random_dense,HUX,4,1589952131,1.2239673356219023,1.4537121750467956,1.0390624484328361,0.23255813953488372,0.19130980041639653,151.6098484848485,0.42608401290748366,0.5959556273974966,0.8713148099530167,385.1845762729645,220,0
SPEA2,random_dense,HUX,5,1578225723,1.2111417106453493,1.4629413078625964,1.020591237723545,0.22916666666666666,0.1931037894249693,156.42842117988394,0.4338087756070791,0.610374772691244,0.9026162738438198,368.4326055049896,220,0
SPEA2,random_dense,1P,1,531916921,1.1579699254625542,1.4945578031340285,1.0463007669630255,0.22384428223844283,0.18964407621009613,137.26980174081237,0.41545298942189096,0.5524414115082312,0.7967802459591696,318.4209351539612,220,0
SPEA2,random_dense,1P,2,1901327111,1.0427966638219908,1.488650769748011,1.1061950944979067,0.22432432432432434,0.18958222172383854,139.65467843326886,0.3981480783849237,0.5592212913759795,0.8068363706962774,317.5326533317566,220,0
SPEA2,random_dense,1P,3,1662558051,1.2127136198769488,1.4931741026940621,1.051027463016953,0.22546419098143236,0.1879217408545138,138.56704948420375,0.41057051291002505,0.5210722970528527,0.8147395692737041,373.0449402332306,220,0
SPEA2,random_dense,1P,4,1231171893,1.133976307167964,1.5014700900239673,1.0699037287674478,0.2237960339943343,0.18737547989033554,136.59907720825274,0.4052544385073862,0.5041390323814449,0.7908625494143603,283.9923167228699,220,0
SPEA2,random_dense,1P,5,1219445485,1.1372354446999573,1.511846612776974,1.112013849838976,0.2204968944099379,0.1828111274850425,139.17790135396518,0.3936909471462661,0.576121005226014,0.8092599515017164,271.8386378288269,220,0
SPEA2,random_dense,2P,1,1788150964,1.0726003788775595,1.4900203437911517,1.1041942551020876,0.23275862068965517,0.18628020103897194,138.85491618310766,0.40152425594279273,0.5591108838058348,0.7950508674174146,332.1535756587982,220,0
SPEA2,random_dense,2P,2,1010077507,1.2063083361214528,1.501857063175382,1.0467724513908043,0.22839506172839505,0.1808214381809151,138.45446889103803,0.41263828398084806,0.5245469220801862,0.797356991391731,224.41719222068787,220,0
