tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,NSGA3,random_dense,1,914252696,254.0,2.0,110.177304964539,282.8763643679895
Pseudo-Weights Match,Global,NSGA3,random_dense,4,309233307,263.0,2.0,114.88297872340425,339.33736985061097
Mejor Knee Point,Global,NSGA2,greedy_multi,2,1814326419,42.0,2.0,21.09308510638298,13.548959276444883
Compromise (ASF),Local,NSGA2,random_dense,2,1965458918,361.0,2.0,149.35992907801418,490.6151319098649
Pseudo-Weights Match,Local,NSGA2,random_dense,1,443051366,402.0,2.0,163.72163120567376,579.9969788994514
Mejor Knee Point,Local,NSGA2,random_dense,2,1965458918,440.0,2.0,177.18439716312056,734.1752175443885
Compromise (ASF),Local,NSGA2,random_dense,1,443051366,203.0,2.0,81.56028368794327,125.3740254514361
Pseudo-Weights Match,Local,NSGA2,random_dense,1,443051366,203.0,2.0,81.56028368794327,125.3740254514361
Mejor Knee Point,Local,NSGA2,random_dense,1,443051366,256.0,2.0,105.0017730496454,212.08510323927322
Compromise (ASF),Local,NSGA2,random_dense,2,1965458918,388.0,2.0,159.46099290780143,564.397414616971
Pseudo-Weights Match,Local,NSGA2,random_dense,4,1985515624,294.0,2.0,121.60904255319149,303.9668331258486
Mejor Knee Point,Local,NSGA2,random_dense,5,1617059596,313.0,2.0,129.44769503546098,344.4139308573518
Mejor Knee Point,Local,NSGA2,random_dense,5,1617059596,183.0,2.0,74.51152482269504,107.45376788768161
Pseudo-Weights Match,Local,NSGA2,random_dense,1,443051366,321.0,2.0,130.26063829787233,338.81150030179515
Mejor Knee Point,Local,NSGA2,random_dense,1,443051366,342.0,2.0,140.09485815602838,418.41564732030577
Mejor Knee Point,Local,NSGA2,random_dense,1,443051366,526.0,2.0,204.64893617021278,1057.160442130677
