tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Disimilitud,Balance
Compromise (ASF),Global,SMSEMOA,random_dense,13,375227054,210.0,57.0,0.40084430935494764,0.0024990861156762552
Pseudo-Weights Match,Global,NSGA3,random_dense,15,474396959,259.0,70.0,0.4081231687614666,0.0033526883456139298
Mejor Knee Point,Global,AGEMOEA2,greedy_multi,6,1785921058,35.0,9.0,0.5042553191489362,0.007860022234335136
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,349.0,77.0,0.35633471519437504,0.0024602109967773685
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,211.0,51.0,0.4090408725757117,0.0032779226830844514
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,207.0,48.0,0.42408863535135505,0.004219739599999214
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,299.0,67.0,0.3523298702530895,0.0021135295502051578
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,261.0,65.0,0.3899724192277384,0.003185895778635841
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,364.0,80.0,0.3642959434182838,0.0026293839699061583
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,174.0,41.0,0.3938717697888644,0.0028655611828083535
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,187.0,47.0,0.40337827587514696,0.0033193215255681967
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,218.0,39.0,0.34741606480577786,0.002005496598133827
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,216.0,55.0,0.39969135802469136,0.003156015194557139
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,300.0,75.0,0.4053841607565012,0.0037883078972665153
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,206.0,50.0,0.42347052950492325,0.0043824597899767325
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,321.0,74.0,0.36991007710832724,0.002776698982415644
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,236.0,57.0,0.38678401851184036,0.0026165966374307697
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,309.0,76.0,0.3975303541508871,0.0034836493946514132
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,215.0,45.0,0.36178459508494143,0.0021280281819606606
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,348.0,85.0,0.39145165892231193,0.0034569871262732786
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,248.0,61.0,0.41149408030199036,0.0038148951576125823
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,213.0,51.0,0.3936752905137682,0.003058598978564613
Pseudo-Weights Match,Local,SPEA2,random_dense,15,845205688,270.0,61.0,0.3629301287102705,0.002253255593345563
Mejor Knee Point,Local,SPEA2,random_dense,15,845205688,348.0,85.0,0.39145165892231193,0.0034569871262732786
Compromise (ASF),Local,SPEA2,random_dense,15,845205688,205.0,51.0,0.419862480539699,0.004202184268706967
