algorithm,init,crossover,run,seed,f1_compactness,f2_transformed_tolerance,f3_transformed_hamming_avg,f4_balance_var
NSGA2,random_dense,UX,1,2046743687,179.0,-0.1452513966480447,-0.2910030112128056,0.0011542712163417083
NSGA2,random_dense,UX,1,2046743687,107.0,-0.27102803738317754,-0.45184596009809774,0.004888451734584691
NSGA2,random_dense,UX,1,2046743687,164.0,-0.11585365853658537,-0.3087376751427089,0.0013971617095468777
NSGA2,random_dense,UX,1,2046743687,246.0,-0.2032520325203252,-0.3251419881220089,0.0014683817250007811
NSGA2,random_dense,UX,1,2046743687,85.0,-0.24705882352941178,-0.434438881935753,0.004330172397738873
NSGA2,random_dense,UX,1,2046743687,187.0,-0.15508021390374332,-0.29188474229150074,0.0011259296848031093
NSGA2,random_dense,UX,1,2046743687,119.0,-0.29411764705882354,-0.4449088145896657,0.004397346008677492
NSGA2,random_dense,UX,1,2046743687,111.0,-0.2702702702702703,-0.4527027027027027,0.0047837875253056395
NSGA2,random_dense,UX,1,2046743687,124.0,-0.2903225806451613,-0.44247597803706246,0.004232213530221268
NSGA2,random_dense,UX,1,2046743687,94.0,-0.23404255319148937,-0.42482458125848804,0.0037987341133740842
NSGA2,random_dense,UX,1,2046743687,130.0,-0.2692307692307692,-0.4127386797599563,0.0033808877317078024
NSGA2,random_dense,UX,1,2046743687,87.0,-0.2413793103448276,-0.4395328931279041,0.00435513047579591
NSGA2,random_dense,UX,1,2046743687,90.0,-0.24444444444444444,-0.4313632781717888,0.003977381469124006
NSGA2,random_dense,UX,1,2046743687,116.0,-0.29310344827586204,-0.4460824773783321,0.004373986573317983
NSGA2,random_dense,UX,1,2046743687,160.0,-0.13125,-0.31748116134751775,0.0015141050861512797
NSGA2,random_dense,UX,1,2046743687,136.0,-0.2426470588235294,-0.39501851272423866,0.0028779534874343745
NSGA2,random_dense,UX,1,2046743687,158.0,-0.12658227848101267,-0.30337664960948024,0.0014218351482117337
NSGA2,random_dense,UX,1,2046743687,178.0,-0.14606741573033707,-0.2952526097697028,0.001172051406760262
NSGA2,random_dense,UX,1,2046743687,163.0,-0.12269938650306748,-0.31402014532480527,0.0014275113624000204
NSGA2,random_dense,UX,1,2046743687,129.0,-0.24031007751937986,-0.39698444114574744,0.0028440491808418606
NSGA2,random_dense,UX,1,2046743687,116.0,-0.25862068965517243,-0.4328839569576914,0.003907408330084213
