config,Range
SPEA2-random_dense-UX,0.8064006208135629
SPEA2-random_dense-UX,0.8947455720354772
SPEA2-random_dense-UX,0.8707306315356892
SPEA2-random_dense-UX,0.7949372772302066
SPEA2-random_dense-UX,0.8050808128879708
SPEA2-random_dense-HUX,0.7346504770991611
SPEA2-random_dense-HUX,0.8942665395925788
SPEA2-random_dense-HUX,0.8506210933083681
SPEA2-random_dense-HUX,0.7847407401334863
SPEA2-random_dense-HUX,0.8351118149837208
SPEA2-random_dense-1P,0.6019734208782361
SPEA2-random_dense-1P,0.5171605074770079
SPEA2-random_dense-1P,0.569696726265585
SPEA2-random_dense-1P,0.562831968564071
SPEA2-random_dense-1P,0.5089897745280222
SPEA2-random_dense-2P,0.6028657646401772
SPEA2-random_dense-2P,0.5217489729709976
SPEA2-random_dense-2P,0.5482835038787476
SPEA2-random_dense-2P,0.5004091630590369
SPEA2-random_dense-2P,0.5519381031420482
SPEA2-greedy_ting-UX,1.5938439292232474
SPEA2-greedy_ting-UX,1.428218129268105
SPEA2-greedy_ting-UX,1.524914234122325
SPEA2-greedy_ting-UX,1.422134818359962
SPEA2-greedy_ting-UX,1.321418847053834
SPEA2-greedy_ting-HUX,1.4517669279688328
SPEA2-greedy_ting-HUX,1.3561943684059135
SPEA2-greedy_ting-HUX,1.3990185480264512
SPEA2-greedy_ting-HUX,1.3325123746376788
SPEA2-greedy_ting-HUX,1.426894430272179
SPEA2-greedy_ting-1P,1.1292823851851292
SPEA2-greedy_ting-1P,1.255132396675637
SPEA2-greedy_ting-1P,1.1719718593525563
SPEA2-greedy_ting-1P,1.0629213291533177
SPEA2-greedy_ting-1P,1.2078900709212028
SPEA2-greedy_ting-2P,1.112502482236762
SPEA2-greedy_ting-2P,1.1119144866589958
SPEA2-greedy_ting-2P,1.078188727766447
SPEA2-greedy_ting-2P,1.078322133354858
SPEA2-greedy_ting-2P,1.1886710069298594
SPEA2-greedy_multi-UX,0.43833427917778317
SPEA2-greedy_multi-UX,0.480954706245716
SPEA2-greedy_multi-UX,0.45572699567776154
SPEA2-greedy_multi-UX,0.45838256652746834
SPEA2-greedy_multi-UX,0.4138888983813869
SPEA2-greedy_multi-HUX,0.4384601994428895
SPEA2-greedy_multi-HUX,0.4203502381283154
SPEA2-greedy_multi-HUX,0.4515219021458705
SPEA2-greedy_multi-HUX,0.378540785473947
SPEA2-greedy_multi-HUX,0.4790269377448557
SPEA2-greedy_multi-1P,0.40480686764222434
SPEA2-greedy_multi-1P,0.42341506759694725
SPEA2-greedy_multi-1P,0.4030296995973205
SPEA2-greedy_multi-1P,0.42163354233019523
SPEA2-greedy_multi-1P,0.3957258918985528
SPEA2-greedy_multi-2P,0.4544563133717935
SPEA2-greedy_multi-2P,0.4150632359138369
SPEA2-greedy_multi-2P,0.4198231736836062
SPEA2-greedy_multi-2P,0.3966645169530881
SPEA2-greedy_multi-2P,0.4296010521756544
NSGA2-random_dense-UX,1.0880467454249052
NSGA2-random_dense-UX,1.0414295564066232
NSGA2-random_dense-UX,1.035046677697043
NSGA2-random_dense-UX,1.169016298988205
NSGA2-random_dense-UX,1.165689904128122
NSGA2-random_dense-HUX,1.1208166443415628
NSGA2-random_dense-HUX,1.1160027757199158
NSGA2-random_dense-HUX,1.1721287332358266
NSGA2-random_dense-HUX,1.1835918961767202
NSGA2-random_dense-HUX,1.0703110890699956
NSGA2-random_dense-1P,0.7577497849867714
NSGA2-random_dense-1P,0.7378532657640168
NSGA2-random_dense-1P,0.7775409105521657
NSGA2-random_dense-1P,0.7981681717220444
NSGA2-random_dense-1P,0.6955263442922005
NSGA2-random_dense-2P,0.837764050303513
NSGA2-random_dense-2P,0.8409178917148529
NSGA2-random_dense-2P,0.79712278656097
NSGA2-random_dense-2P,0.8603593587008818
NSGA2-random_dense-2P,0.7795489169503004
NSGA2-greedy_ting-UX,1.6313899069969986
NSGA2-greedy_ting-UX,1.6553584084123576
NSGA2-greedy_ting-UX,1.6397061991999473
NSGA2-greedy_ting-UX,1.6707492327323128
NSGA2-greedy_ting-UX,1.598258975404694
NSGA2-greedy_ting-HUX,1.6391007594758578
NSGA2-greedy_ting-HUX,1.589491564767153
NSGA2-greedy_ting-HUX,1.6621541823150645
NSGA2-greedy_ting-HUX,1.63076106444008
NSGA2-greedy_ting-HUX,1.60810578154207
NSGA2-greedy_ting-1P,1.5771510797357455
NSGA2-greedy_ting-1P,1.6329303889359073
