algorithm,init,crossover,SumMin
NSGA2,greedy_ting,UX,0.8209878492417513
NSGA2,greedy_ting,HUX,0.827054182540232
NSGA2,greedy_ting,1P,0.8281764247358503
AGEMOEA2,greedy_ting,2P,0.8387186559616578
AGEMOEA2,greedy_ting,1P,0.8406016609736635
NSGA2,greedy_ting,2P,0.8421822502834229
SMSEMOA,greedy_ting,2P,0.8489214319968005
SMSEMOA,greedy_ting,1P,0.8515403396260318
NSGA3,greedy_ting,1P,0.8607633220560293
AGEMOEA2,greedy_ting,UX,0.8615495621903152
AGEMOEA2,greedy_ting,HUX,0.8633473755952409
NSGA3,greedy_ting,2P,0.8686736858558357
SMSEMOA,greedy_ting,HUX,0.8718172614284544
SMSEMOA,greedy_ting,UX,0.8769318305687268
NSGA3,greedy_ting,UX,0.877024624453359
NSGA3,greedy_ting,HUX,0.8925705611600728
MOEAD_TCHE,greedy_ting,UX,0.9319493771319953
MOEAD_TCHE,greedy_ting,2P,0.9410734801758089
MOEAD_TCHE,greedy_ting,1P,0.9434502785753143
SPEA2,greedy_ting,UX,0.9511033510005669
NSGA2,random_dense,HUX,0.9526032829044798
MOEAD_TCHE,greedy_ting,HUX,0.9542946103460406
NSGA2,random_dense,UX,0.9675450370764584
SPEA2,greedy_ting,HUX,0.9834257576852556
SPEA2,greedy_ting,1P,1.0418014314931372
RVEA,greedy_ting,UX,1.0622435180098662
RVEA,greedy_ting,1P,1.0649351154156472
AGEMOEA2,random_dense,HUX,1.0770436835266883
AGEMOEA2,random_dense,UX,1.0774156263305925
RVEA,greedy_ting,HUX,1.078310731481133
SPEA2,random_dense,UX,1.0963137953965592
SPEA2,random_dense,HUX,1.1000930355092235
NSGA3,random_dense,UX,1.1043799657516613
NSGA3,random_dense,HUX,1.1069226712297138
SPEA2,greedy_ting,2P,1.1080760435695756
RVEA,greedy_ting,2P,1.1142249725046856
NSGA2,random_dense,2P,1.155582107096899
SMSEMOA,random_dense,HUX,1.174372675830811
SMSEMOA,random_dense,UX,1.1756353582839114
AGEMOEA2,random_dense,2P,1.1938075816506128
NSGA2,random_dense,1P,1.2082740822752567
NSGA3,random_dense,2P,1.2318150041100857
SPEA2,random_dense,2P,1.2528734549263012
AGEMOEA2,random_dense,1P,1.25817848705146
NSGA3,random_dense,1P,1.2610457455659905
SPEA2,random_dense,1P,1.264865629691608
SMSEMOA,random_dense,2P,1.2838370498469451
SMSEMOA,random_dense,1P,1.3067109054366626
MOEAD_TCHE,random_dense,UX,1.3485192749221053
RVEA,random_dense,UX,1.349963030122915
RVEA,random_dense,HUX,1.3520606897146308
MOEAD_TCHE,random_dense,2P,1.366267154218661
MOEAD_TCHE,random_dense,HUX,1.3863747517632146
MOEAD_TCHE,random_dense,1P,1.4119610156726947
SPEA2,greedy_multi,UX,1.415699708466467
SPEA2,greedy_multi,HUX,1.4161536934403127
RVEA,random_dense,2P,1.4252231376378357
AGEMOEA2,greedy_multi,UX,1.4260711829350678
NSGA2,greedy_multi,HUX,1.4263412370325697
NSGA2,greedy_multi,UX,1.4295640232469389
AGEMOEA2,greedy_multi,HUX,1.4306307818390889
RVEA,random_dense,1P,1.437372862435829
SPEA2,greedy_multi,2P,1.4383449618658461
NSGA3,greedy_multi,UX,1.4387957961506233
NSGA3,greedy_multi,HUX,1.4417509857359188
SPEA2,greedy_multi,1P,1.4427731978373841
AGEMOEA2,greedy_multi,2P,1.4456288169093234
NSGA3,greedy_multi,2P,1.445782151013
AGEMOEA2,greedy_multi,1P,1.4465960012916976
NSGA2,greedy_multi,2P,1.448370516010477
NSGA2,greedy_multi,1P,1.4584985549100138
SMSEMOA,greedy_multi,1P,1.462829773792381
NSGA3,greedy_multi,1P,1.4628306958227735
SMSEMOA,greedy_multi,HUX,1.4639187337693016
SMSEMOA,greedy_multi,UX,1.4657728553523308
MOEAD_TCHE,greedy_multi,HUX,1.4690283283044656
MOEAD_TCHE,greedy_multi,2P,1.4691264443882097
SMSEMOA,greedy_multi,2P,1.4692444274028382
MOEAD_TCHE,greedy_multi,UX,1.4716778695534907
MOEAD_TCHE,greedy_multi,1P,1.4750746721328065
RVEA,greedy_multi,UX,1.5083846305509954
RVEA,greedy_multi,HUX,1.5094263127253373
RVEA,greedy_multi,2P,1.512251151460109
RVEA,greedy_multi,1P,1.513647894078038
