generation,algorithm,init,crossover,run,seed,n_solutions,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
1,MOEAD_TCHE,greedy_multi,UX,2,259423049,177,0.2621338042634571,1.314708695306522,1.3436599008780215,0.23289323494873473,0.02067669150427322,0.34048378163438153,0.18181818181818182,0.11835612423585347,6.954146131345914,0.009007961310033568
11,MOEAD_TCHE,greedy_multi,UX,2,259423049,47,0.3001525338383676,1.294221174670389,1.3159404666445431,0.2443320998750575,0.15749833675675817,0.4419787859409887,0.2,0.10899264803744949,8.741530858608721,0.011323226500788498
21,MOEAD_TCHE,greedy_multi,UX,2,259423049,52,0.29021167257215574,1.293905625690447,1.3159404666445431,0.24448011740146186,0.15749833675675817,0.4232565211063179,0.20833333333333334,0.12328741673642635,8.720506001091108,0.011295992229392628
31,MOEAD_TCHE,greedy_multi,UX,2,259423049,44,0.2905181415073829,1.2830360604839253,1.308043098643008,0.251921299255284,0.15749833675675817,0.4096335481224671,0.21739130434782608,0.12818945305935786,8.684840425531915,0.011249793297321134
41,MOEAD_TCHE,greedy_multi,UX,2,259423049,43,0.2905181415073829,1.2830360604839253,1.308043098643008,0.2519222478820989,0.15749833675675817,0.41154686515663863,0.21739130434782608,0.128090406992854,8.693303645060203,0.011260756016917362
51,MOEAD_TCHE,greedy_multi,UX,2,259423049,47,0.30087237434095665,1.2830360604839253,1.308043098643008,0.2519793970644894,0.15749833675675817,0.4146043469412787,0.21739130434782608,0.1252321929764843,8.6741549720839,0.011235952036378108
61,MOEAD_TCHE,greedy_multi,UX,2,259423049,48,0.30097346927677693,1.282934965548105,1.308043098643008,0.25205846194065307,0.15749833675675817,0.4120201292709034,0.21739130434782608,0.12574209733820718,8.699911347517732,0.011269315216991881
71,MOEAD_TCHE,greedy_multi,UX,2,259423049,51,0.29546578339287155,1.282934965548105,1.308043098643008,0.25206242033543586,0.15749833675675817,0.41090798903054826,0.21739130434782608,0.12851085941300755,8.797090112640802,0.01139519444642591
81,MOEAD_TCHE,greedy_multi,UX,2,259423049,51,0.31010174290676223,1.282722082942868,1.308043098643008,0.2519938796366619,0.15749833675675817,0.40703251007017155,0.21739130434782608,0.12268482674760138,8.637150604922821,0.01118801891829381
91,MOEAD_TCHE,greedy_multi,UX,2,259423049,53,0.31010174290676223,1.282722082942868,1.308043098643008,0.25201418339306286,0.15749833675675817,0.39928042683704035,0.21739130434782608,0.12242067961815534,8.577713100495115,0.011111027332247558
101,MOEAD_TCHE,greedy_multi,UX,2,259423049,50,0.3113987597679797,1.282722082942868,1.308043098643008,0.25200005670023035,0.15749833675675817,0.4141803950990108,0.21739130434782608,0.12628611459732741,8.777482269503546,0.011369795685885422
111,MOEAD_TCHE,greedy_multi,UX,2,259423049,51,0.3128182575035407,1.281302585207307,1.308043098643008,0.25230859468821293,0.15749833675675817,0.4146764539936778,0.21739130434782608,0.12727899621155778,8.819131553330552,0.011423745535402268
121,MOEAD_TCHE,greedy_multi,UX,2,259423049,53,0.3128182575035407,1.281302585207307,1.308043098643008,0.2523101500113014,0.15749833675675817,0.4250261780940658,0.21739130434782608,0.13089624660368582,8.97087849591864,0.011620308932537099
131,MOEAD_TCHE,greedy_multi,UX,2,259423049,57,0.31529024389030164,1.2801276156817636,1.308043098643008,0.2525601940005073,0.15749833675675817,0.43793614864765285,0.21739130434782608,0.13022039272792013,9.12171830284932,0.011815697283483575
141,MOEAD_TCHE,greedy_multi,UX,2,259423049,58,0.3293052969612373,1.2786925005982106,1.308043098643008,0.25279265226794745,0.09389387586354882,0.4390796915526261,0.21739130434782608,0.1287333921459622,9.12680361946686,0.01182228448117469
151,MOEAD_TCHE,greedy_multi,UX,2,259423049,58,0.3293052969612373,1.2786925005982106,1.308043098643008,0.2527928152253812,0.09389387586354882,0.43907409278505644,0.21739130434782608,0.1287333921459622,9.12692589875275,0.01182244287403206
161,MOEAD_TCHE,greedy_multi,UX,2,259423049,59,0.3204075076534627,1.2786617184863425,1.308043098643008,0.2528083422621513,0.09389387586354882,0.4424000855446055,0.21739130434782608,0.1284217975760853,9.177244861161196,0.011887622877151808
171,MOEAD_TCHE,greedy_multi,UX,2,259423049,59,0.3204075076534627,1.2786617184863425,1.308043098643008,0.25280763343675156,0.09389387586354882,0.44239292597312646,0.21739130434782608,0.1284217975760853,9.177304964539006,0.011887700731268143
181,MOEAD_TCHE,greedy_multi,UX,2,259423049,59,0.3204075076534627,1.2786617184863425,1.308043098643008,0.25280763343675156,0.09389387586354882,0.44239292597312646,0.21739130434782608,0.1284217975760853,9.177304964539006,0.011887700731268143
191,MOEAD_TCHE,greedy_multi,UX,2,259423049,59,0.3204075076534627,1.2786617184863425,1.308043098643008,0.25280763343675156,0.09389387586354882,0.44239292597312646,0.21739130434782608,0.1284217975760853,9.177304964539006,0.011887700731268143
201,MOEAD_TCHE,greedy_multi,UX,2,259423049,59,0.3204075076534627,1.2786617184863425,1.308043098643008,0.2528077124760704,0.09389387586354882,0.4417664955636739,0.21739130434782608,0.1285630405139384,9.16875525904556,0.011876625983219636
211,MOEAD_TCHE,greedy_multi,UX,2,259423049,59,0.32532701682337156,1.2785041140735764,1.308043098643008,0.25278714567166266,0.09389387586354882,0.44191938441269535,0.21739130434782608,0.12762142092825102,9.142955884120687,0.011843207103783273
221,MOEAD_TCHE,greedy_multi,UX,2,259423049,60,0.3276050267830397,1.2775231209751257,1.308043098643008,0.25298361855652995,0.09389387586354882,0.44880269867901756,0.21739130434782608,0.12771100779605737,9.226935579196216,0.011951989092223078
231,MOEAD_TCHE,greedy_multi,UX,2,259423049,60,0.3270514661732832,1.2767796647236647,1.308043098643008,0.2531702070913803,0.09389387586354882,0.44588398291285614,0.21739130434782608,0.12847022576542028,9.220257092198581,0.011943338202329769
241,MOEAD_TCHE,greedy_multi,UX,2,259423049,61,0.3270514661732832,1.2767796647236647,1.308043098643008,0.2531792764383692,0.09389387586354882,0.44936468850785727,0.21739130434782608,0.1274778414513756,9.251889315195907,0.011984312584450657
251,MOEAD_TCHE,greedy_multi,UX,2,259423049,61,0.3270514661732832,1.2767796647236647,1.308043098643008,0.2531792780552237,0.09389387586354882,0.4493322477544179,0.21739130434782608,0.1274778414513756,9.252063713521684,0.011984538489017725
261,MOEAD_TCHE,greedy_multi,UX,2,259423049,61,0.3270514661732832,1.2767796647236647,1.308043098643008,0.2531793178750871,0.09389387586354882,0.4465564139737181,0.21739130434782608,0.12885766856178008,9.243852459016393,0.011973902148984965
271,MOEAD_TCHE,greedy_multi,UX,2,259423049,61,0.3270514661732832,1.2767796647236647,1.308043098643008,0.25318132084849293,0.09389387586354882,0.4466448723737545,0.21739130434782608,0.12885766856178008,9.242922334612254,0.011972697324627272
281,MOEAD_TCHE,greedy_multi,UX,2,259423049,61,0.3270514661732832,1.2767796647236647,1.308043098643008,0.2531360468627278,0.09389387586354882,0.44879313240301283,0.21739130434782608,0.12749154834320084,9.24238460644111,0.01197200078554548
291,MOEAD_TCHE,greedy_multi,UX,2,259423049,62,0.3270514661732832,1.2767796647236647,1.308043098643008,0.2531371588350859,0.09389387586354882,0.4526055836679906,0.21739130434782608,0.12866103949895566,9.292796270876229,0.01203730086901066
301,MOEAD_TCHE,greedy_multi,UX,2,259423049,63,0.3270514661732832,1.2767796647236647,1.308043098643008,0.25313745472694815,0.09389387586354882,0.4520568752022901,0.21739130434782608,0.12873520289315213,9.260089496791624,0.0119949345813363
