algorithm,init,crossover,run,seed,elapsed_sec,n_solutions_final_front,n_infeasible_final_front,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
SPEA2,random_dense,UX,1,1599062632,237.94198346138,220,0,0.8064006208135629,1.1304273908029159,1.4022656884412537,0.36232177342449473,0.3926977667909947,0.5834621361573713,0.25877192982456143,0.2213525336462743,87.29142488716955,0.11307179389529735
SPEA2,random_dense,UX,2,820989175,320.5159068107605,220,0,0.8947455720354772,1.0514972699140723,1.3721630585582079,0.393220369337258,0.4039712946744695,0.6364782648180104,0.2647058823529412,0.22990966407493515,95.48659332688588,0.12368729705555166
SPEA2,random_dense,UX,3,582220115,289.7551610469818,220,0,0.8707306315356892,1.1034347368873112,1.400578766428035,0.37043096842671935,0.4264424443195817,0.6281613361269295,0.25888324873096447,0.22108796246312723,91.06157720825276,0.11795541089151912
SPEA2,random_dense,UX,4,150833957,327.26078844070435,220,0,0.7949372772302066,1.0949917590440323,1.4003244984519552,0.37496868597256344,0.392891383302509,0.6100188937858302,0.26905829596412556,0.23349820837110954,89.98461879432624,0.11656038703928269
SPEA2,random_dense,UX,5,139107549,349.28258752822876,220,0,0.8050808128879708,1.1012178203344647,1.394634121431913,0.37582562172107953,0.4608599334240872,0.6658688237615692,0.2608695652173913,0.2277612627637251,99.49978239845262,0.12888572849540494
SPEA2,random_dense,HUX,1,890697159,294.2088363170624,220,0,0.7346504770991611,1.1399401092753503,1.3982612722104912,0.3621909464879377,0.4527874606733483,0.6380543538386103,0.25609756097560976,0.2247528358506415,95.25938507414573,0.12339298584733903
SPEA2,random_dense,HUX,2,112623702,325.33415961265564,220,0,0.8942665395925788,1.0531746023206046,1.3952827740169946,0.39136632758770723,0.40592093852511496,0.6276171341974025,0.2651162790697674,0.2273340733871277,93.25350580270795,0.12079469663563205
SPEA2,random_dense,HUX,3,2021338289,284.8236267566681,220,0,0.8506210933083681,1.0935744795322941,1.401364005113921,0.37514050654006076,0.43999602502066903,0.6350792803190936,0.2621359223300971,0.22087995367248048,93.65987669245648,0.12132108379851876
SPEA2,random_dense,HUX,4,1589952131,179.43935132026672,220,0,0.7847407401334863,1.1097256201256018,1.3846805789673187,0.3737711887105402,0.40043351844595415,0.6074475681270189,0.26905829596412556,0.23000461184128265,91.7561734364926,0.11885514693846191
SPEA2,random_dense,HUX,5,1578225723,230.86520671844482,220,0,0.8351118149837208,1.104050366292267,1.421315997440088,0.3692027873677726,0.376067565904994,0.5965714843118465,0.25654450261780104,0.22330368756262253,88.45988878143133,0.11458534816247581
SPEA2,random_dense,1P,1,531916921,333.450754404068,220,0,0.6019734208782361,1.2543161730721724,1.4473754815082094,0.31387212622821326,0.663989736313945,0.773055620001562,0.23163841807909605,0.1980348545671028,108.58984123146358,0.1406604161029321
SPEA2,random_dense,1P,2,1901327111,226.54930186271667,220,0,0.5171605074770079,1.2646903709772492,1.426492847984897,0.3144341769269931,0.6010587080768365,0.7004019659534211,0.2440677966101695,0.2156633599023271,102.4591191166989,0.13271906621334054
SPEA2,random_dense,1P,3,1662558051,345.95359563827515,220,0,0.569696726265585,1.2705314248952904,1.4618375364172087,0.30733953349392884,0.6414917520047643,0.759895888647908,0.22857142857142856,0.20072919005383685,106.99280303030304,0.1385917137698226
SPEA2,random_dense,1P,4,1231171893,307.81586623191833,220,0,0.562831968564071,1.2524139827498253,1.4406378554027668,0.31577293082699315,0.6162655286989481,0.7288096366232566,0.24363636363636362,0.21367825784624214,101.64151353965185,0.13165999163167338
SPEA2,random_dense,1P,5,1219445485,233.25464129447937,220,0,0.5089897745280222,1.2823761967635026,1.4402923992921306,0.3055084421959265,0.626774123686974,0.7479787326692802,0.24126984126984127,0.20967995356598385,103.63725419084462,0.13424514791560183
