algorithm,init,crossover,AvgToleranceRate
RVEA,greedy_multi,UX,0.01826731140661258
RVEA,greedy_multi,HUX,0.01783087306445892
RVEA,greedy_multi,2P,0.01772186828876171
RVEA,greedy_multi,1P,0.017499319502933448
NSGA3,greedy_multi,1P,0.010546093866453166
NSGA3,greedy_multi,2P,0.010491062438323923
NSGA3,greedy_multi,UX,0.010409043696212131
NSGA3,greedy_multi,HUX,0.010272777330302098
AGEMOEA2,greedy_multi,1P,0.010211040823941123
AGEMOEA2,greedy_multi,2P,0.010192766741836307
AGEMOEA2,greedy_multi,HUX,0.010139019784035076
AGEMOEA2,greedy_multi,UX,0.010036670378712536
MOEAD_TCHE,greedy_multi,2P,0.009840852301861875
MOEAD_TCHE,greedy_multi,1P,0.00977499242493324
MOEAD_TCHE,greedy_multi,UX,0.00969360634899125
MOEAD_TCHE,greedy_multi,HUX,0.009480824306978124
SMSEMOA,greedy_multi,2P,0.008371796568842103
NSGA2,greedy_multi,2P,0.00807593954706021
NSGA2,greedy_multi,1P,0.007993823091639133
SMSEMOA,greedy_multi,HUX,0.007976581784268752
SMSEMOA,greedy_multi,1P,0.007860919845117359
SMSEMOA,greedy_multi,UX,0.0075354585097824455
NSGA2,greedy_multi,HUX,0.0074087826742935195
NSGA2,greedy_multi,UX,0.007101018685792331
SPEA2,greedy_multi,HUX,0.006895206461337791
SPEA2,greedy_multi,2P,0.00662150734383893
SPEA2,greedy_multi,UX,0.006236250531089704
SPEA2,greedy_multi,1P,0.0061720585398002455
NSGA3,random_dense,HUX,0.0008056880858351495
NSGA3,random_dense,UX,0.00070984085797144
SPEA2,random_dense,HUX,0.0005436023676906408
SPEA2,random_dense,UX,0.0004907592614825764
AGEMOEA2,random_dense,UX,0.0003819649269866032
SMSEMOA,random_dense,HUX,0.00037301721959654636
SMSEMOA,random_dense,UX,0.00036815305566772024
AGEMOEA2,random_dense,HUX,0.00035882128851967636
NSGA2,random_dense,UX,0.00033426637640408244
NSGA2,random_dense,HUX,0.0002911891035170214
NSGA3,random_dense,2P,9.00104759175456e-05
AGEMOEA2,random_dense,2P,8.003309968406662e-05
SPEA2,random_dense,2P,7.900884608393594e-05
RVEA,random_dense,UX,7.85926296276404e-05
RVEA,random_dense,HUX,7.836416126784242e-05
SMSEMOA,random_dense,2P,7.544019460993862e-05
NSGA3,random_dense,1P,7.102389505260902e-05
NSGA2,random_dense,2P,6.893912221814245e-05
AGEMOEA2,random_dense,1P,6.831857052502045e-05
MOEAD_TCHE,random_dense,UX,6.228461554717175e-05
MOEAD_TCHE,random_dense,HUX,6.178249230730262e-05
SMSEMOA,random_dense,1P,6.0859256958834454e-05
SPEA2,random_dense,1P,5.920801562325232e-05
RVEA,random_dense,2P,5.716696473997834e-05
RVEA,random_dense,1P,5.4873960710703666e-05
NSGA2,random_dense,1P,4.974679771824093e-05
MOEAD_TCHE,random_dense,2P,4.21208878415847e-05
MOEAD_TCHE,random_dense,1P,3.951029621521059e-05
