algorithm,init,crossover,AvgHammingDistance
RVEA,greedy_multi,HUX,0.49580663524812457
RVEA,greedy_multi,UX,0.4929473382142455
MOEAD_TCHE,greedy_multi,1P,0.4928809103405475
MOEAD_TCHE,greedy_multi,2P,0.4903191535470827
MOEAD_TCHE,greedy_multi,HUX,0.4889236798618284
RVEA,greedy_multi,2P,0.4884560965836295
RVEA,greedy_multi,1P,0.48535723625048915
MOEAD_TCHE,greedy_multi,UX,0.4847249335802715
AGEMOEA2,greedy_multi,HUX,0.48263172712183583
AGEMOEA2,greedy_multi,UX,0.4808263667330245
AGEMOEA2,greedy_multi,1P,0.4806836490171552
AGEMOEA2,greedy_multi,2P,0.4756557023898577
NSGA3,greedy_multi,1P,0.4668765433881797
NSGA3,greedy_multi,UX,0.4668065604338992
NSGA3,greedy_multi,2P,0.46460125213988
NSGA3,greedy_multi,HUX,0.4615759088449063
SMSEMOA,greedy_multi,2P,0.454786134871621
SPEA2,greedy_multi,HUX,0.4490412783241112
SMSEMOA,greedy_multi,1P,0.4446360630260914
SMSEMOA,greedy_multi,HUX,0.43815298883946474
NSGA2,greedy_multi,2P,0.4369392684953814
SMSEMOA,greedy_multi,UX,0.4361957714444816
NSGA2,greedy_multi,UX,0.4356247898124458
NSGA2,greedy_multi,HUX,0.4347154867481656
NSGA2,greedy_multi,1P,0.43355903187354705
SPEA2,greedy_multi,UX,0.433015367231589
SPEA2,greedy_multi,2P,0.427614160818106
SPEA2,greedy_multi,1P,0.4240872984787517
SMSEMOA,random_dense,UX,0.41787046446577863
NSGA3,random_dense,UX,0.4167771006123722
NSGA3,random_dense,HUX,0.4144976594263377
SMSEMOA,random_dense,HUX,0.41260188868175324
AGEMOEA2,random_dense,UX,0.4088311037519906
AGEMOEA2,random_dense,HUX,0.4009547388207362
SPEA2,random_dense,UX,0.3903744431955499
SPEA2,random_dense,HUX,0.38870533922764394
NSGA2,random_dense,HUX,0.38122308076219
NSGA2,random_dense,UX,0.3799317235735836
SMSEMOA,random_dense,2P,0.3798923055959953
SPEA2,random_dense,2P,0.37912325496092236
NSGA3,random_dense,1P,0.3777446735385
NSGA3,random_dense,2P,0.37749811560956975
AGEMOEA2,random_dense,2P,0.3774521836593593
SMSEMOA,random_dense,1P,0.37523057874334376
MOEAD_TCHE,random_dense,HUX,0.37119661438012186
MOEAD_TCHE,random_dense,UX,0.37097628820261325
AGEMOEA2,random_dense,1P,0.369282940014816
NSGA2,random_dense,2P,0.36872970431532043
SPEA2,random_dense,1P,0.3673730103336195
RVEA,random_dense,1P,0.36522755513513705
NSGA2,random_dense,1P,0.36339797904604215
MOEAD_TCHE,random_dense,2P,0.3611134212885097
MOEAD_TCHE,random_dense,1P,0.36070556070756093
RVEA,random_dense,2P,0.35923447044433054
RVEA,random_dense,HUX,0.3580921897010891
RVEA,random_dense,UX,0.35760820589401476
