config,AvgToleranceRate
SPEA2-random_dense-2P,0.22539018393698554
SPEA2-random_dense-2P,0.22041658932530733
SPEA2-random_dense-2P,0.22553342853978478
SPEA2-random_dense-2P,0.218716986197469
SPEA2-random_dense-2P,0.21675234271708832
SPEA2-greedy_ting-UX,0.14769268583461112
SPEA2-greedy_ting-UX,0.1495827345925619
SPEA2-greedy_ting-UX,0.1481025016916975
SPEA2-greedy_ting-UX,0.1438649063436463
SPEA2-greedy_ting-UX,0.15248916516068609
SPEA2-greedy_ting-UX,0.14952550540309587
SPEA2-greedy_ting-UX,0.15342171540649416
SPEA2-greedy_ting-UX,0.1452560823470401
SPEA2-greedy_ting-UX,0.14813824175057239
SPEA2-greedy_ting-UX,0.14914738008524275
SPEA2-greedy_ting-UX,0.14588837718329117
SPEA2-greedy_ting-UX,0.14703184789768906
SPEA2-greedy_ting-UX,0.1457828955999404
SPEA2-greedy_ting-UX,0.15207037578256138
SPEA2-greedy_ting-UX,0.1416709476813613
SPEA2-greedy_ting-UX,0.14599278941170665
SPEA2-greedy_ting-UX,0.152434700929394
SPEA2-greedy_ting-UX,0.14911499568144884
SPEA2-greedy_ting-UX,0.1491045019230106
SPEA2-greedy_ting-UX,0.14372787304399545
SPEA2-greedy_ting-UX,0.14542346401477685
SPEA2-greedy_ting-UX,0.15200031224507424
SPEA2-greedy_ting-UX,0.14883747459634336
SPEA2-greedy_ting-UX,0.15035819196850167
SPEA2-greedy_ting-UX,0.1498019145938003
SPEA2-greedy_ting-UX,0.14572549340439903
SPEA2-greedy_ting-UX,0.1468780863850563
SPEA2-greedy_ting-UX,0.14751930640116354
SPEA2-greedy_ting-UX,0.14639943316412463
SPEA2-greedy_ting-UX,0.1490188742417021
SPEA2-greedy_ting-UX,0.13991356892805307
SPEA2-greedy_ting-HUX,0.1494183402641015
SPEA2-greedy_ting-HUX,0.1555863338755263
SPEA2-greedy_ting-HUX,0.14995785662229683
SPEA2-greedy_ting-HUX,0.15136248953750533
SPEA2-greedy_ting-HUX,0.15841431681608642
SPEA2-greedy_ting-HUX,0.15474889104587167
SPEA2-greedy_ting-HUX,0.14357513696196356
SPEA2-greedy_ting-HUX,0.15055329992043215
SPEA2-greedy_ting-HUX,0.14879875255868488
SPEA2-greedy_ting-HUX,0.1465475264369243
SPEA2-greedy_ting-HUX,0.15113844462593917
SPEA2-greedy_ting-HUX,0.14199637861145725
SPEA2-greedy_ting-HUX,0.14911083869168767
SPEA2-greedy_ting-HUX,0.14098266043147867
SPEA2-greedy_ting-HUX,0.14808322863672188
SPEA2-greedy_ting-HUX,0.15244041873330005
SPEA2-greedy_ting-HUX,0.15158197242552518
SPEA2-greedy_ting-HUX,0.1526641909720264
SPEA2-greedy_ting-HUX,0.14769777869015374
SPEA2-greedy_ting-HUX,0.15233241105028486
SPEA2-greedy_ting-HUX,0.14765746142515077
SPEA2-greedy_ting-HUX,0.15139271158552195
SPEA2-greedy_ting-HUX,0.15161095935064198
SPEA2-greedy_ting-HUX,0.14712982449993187
SPEA2-greedy_ting-HUX,0.14884144181275738
SPEA2-greedy_ting-HUX,0.1547446572324401
SPEA2-greedy_ting-HUX,0.1476193486288002
SPEA2-greedy_ting-HUX,0.15077148980135713
SPEA2-greedy_ting-HUX,0.15194998965998102
SPEA2-greedy_ting-HUX,0.1500806385639195
SPEA2-greedy_ting-HUX,0.1478151517351757
SPEA2-greedy_ting-1P,0.14924748782744496
SPEA2-greedy_ting-1P,0.15173708970687527
SPEA2-greedy_ting-1P,0.1606516745701744
SPEA2-greedy_ting-1P,0.14690433684380266
SPEA2-greedy_ting-1P,0.1481136013671185
SPEA2-greedy_ting-1P,0.141924479589892
SPEA2-greedy_ting-1P,0.15112598298464988
SPEA2-greedy_ting-1P,0.15594251083455957
SPEA2-greedy_ting-1P,0.16216501627396826
SPEA2-greedy_ting-1P,0.15183666724935863
SPEA2-greedy_ting-1P,0.16783077462294654
SPEA2-greedy_ting-1P,0.1486161720198908
SPEA2-greedy_ting-1P,0.15056918792453924
SPEA2-greedy_ting-1P,0.15727570718967346
SPEA2-greedy_ting-1P,0.15449095490744041
SPEA2-greedy_ting-1P,0.15504433130478265
SPEA2-greedy_ting-1P,0.1473827249234921
SPEA2-greedy_ting-1P,0.1470759121002988
SPEA2-greedy_ting-1P,0.16504475228098064
SPEA2-greedy_ting-1P,0.14987295174123624
SPEA2-greedy_ting-1P,0.15218803717578522
SPEA2-greedy_ting-1P,0.16292933254971373
SPEA2-greedy_ting-1P,0.16622547191951262
SPEA2-greedy_ting-1P,0.14593352306396218
SPEA2-greedy_ting-1P,0.15061198526511935
SPEA2-greedy_ting-1P,0.1465079215587567
SPEA2-greedy_ting-1P,0.1500770216272088
SPEA2-greedy_ting-1P,0.14855681238472923
SPEA2-greedy_ting-1P,0.15701701716068067
SPEA2-greedy_ting-1P,0.14491135114356904
SPEA2-greedy_ting-1P,0.1535392795583568
SPEA2-greedy_ting-2P,0.14970323999924234
SPEA2-greedy_ting-2P,0.1520127139622191
SPEA2-greedy_ting-2P,0.15313196441419138
SPEA2-greedy_ting-2P,0.1602724701692275
SPEA2-greedy_ting-2P,0.15936192336416932
SPEA2-greedy_ting-2P,0.15907697493633308
SPEA2-greedy_ting-2P,0.14377841798092644
SPEA2-greedy_ting-2P,0.15996544585086442
SPEA2-greedy_ting-2P,0.1548351724767388
SPEA2-greedy_ting-2P,0.15916886920606418
SPEA2-greedy_ting-2P,0.15402264977279997
SPEA2-greedy_ting-2P,0.1642922166167412
SPEA2-greedy_ting-2P,0.14373540640748178
SPEA2-greedy_ting-2P,0.15101373855491285
SPEA2-greedy_ting-2P,0.1409946075286391
SPEA2-greedy_ting-2P,0.15638673473362055
SPEA2-greedy_ting-2P,0.1597978283662896
SPEA2-greedy_ting-2P,0.15313444073557772
SPEA2-greedy_ting-2P,0.14968177301658364
SPEA2-greedy_ting-2P,0.15018020434453871
SPEA2-greedy_ting-2P,0.1445242025976732
SPEA2-greedy_ting-2P,0.15569562358118783
SPEA2-greedy_ting-2P,0.17295356789730187
SPEA2-greedy_ting-2P,0.14917040034564424
SPEA2-greedy_ting-2P,0.1653381639019415
SPEA2-greedy_ting-2P,0.15924247206318595
SPEA2-greedy_ting-2P,0.1539985993578088
SPEA2-greedy_ting-2P,0.16618518264056145
SPEA2-greedy_ting-2P,0.14842076301012713
SPEA2-greedy_ting-2P,0.16635192884236366
SPEA2-greedy_ting-2P,0.1498835488432303
SPEA2-greedy_multi-UX,0.15425996359340763
SPEA2-greedy_multi-UX,0.14944488677534332
SPEA2-greedy_multi-UX,0.13047841414345931
SPEA2-greedy_multi-UX,0.14056186322909262
SPEA2-greedy_multi-UX,0.14355846035700878
SPEA2-greedy_multi-UX,0.13849626902492393
SPEA2-greedy_multi-UX,0.14290394594141545
SPEA2-greedy_multi-UX,0.14219343331314893
SPEA2-greedy_multi-UX,0.1367365731984826
SPEA2-greedy_multi-UX,0.14855641990239088
SPEA2-greedy_multi-UX,0.14274496337545617
SPEA2-greedy_multi-UX,0.13943941470515814
SPEA2-greedy_multi-UX,0.1577125973832602
SPEA2-greedy_multi-UX,0.1536453666596259
SPEA2-greedy_multi-UX,0.140205841337034
SPEA2-greedy_multi-UX,0.13883235435731817
SPEA2-greedy_multi-UX,0.15210877359941158
SPEA2-greedy_multi-UX,0.15086956211120142
SPEA2-greedy_multi-UX,0.14999304410543055
SPEA2-greedy_multi-UX,0.12947411212704596
SPEA2-greedy_multi-UX,0.14605624707066742
SPEA2-greedy_multi-UX,0.14534711470077177
SPEA2-greedy_multi-UX,0.1364389879765214
SPEA2-greedy_multi-UX,0.14235550226171237
SPEA2-greedy_multi-UX,0.13830909569546232
SPEA2-greedy_multi-UX,0.1552302393820462
SPEA2-greedy_multi-UX,0.15203971617886317
SPEA2-greedy_multi-UX,0.15104819085868743
SPEA2-greedy_multi-UX,0.14501193035227275
SPEA2-greedy_multi-UX,0.15335902972719617
SPEA2-greedy_multi-UX,0.14843897886845478
SPEA2-greedy_multi-HUX,0.1498363829610236
SPEA2-greedy_multi-HUX,0.14645825939692492
SPEA2-greedy_multi-HUX,0.14295526266143635
SPEA2-greedy_multi-HUX,0.15421218682551513
SPEA2-greedy_multi-HUX,0.1496818878116335
SPEA2-greedy_multi-HUX,0.14721157389154535
SPEA2-greedy_multi-HUX,0.15093515219242667
SPEA2-greedy_multi-HUX,0.14208545029899763
SPEA2-greedy_multi-HUX,0.14087134050157962
SPEA2-greedy_multi-HUX,0.13974704139918043
SPEA2-greedy_multi-HUX,0.14961419853998417
SPEA2-greedy_multi-HUX,0.14134536677842088
SPEA2-greedy_multi-HUX,0.14195268018288654
SPEA2-greedy_multi-HUX,0.13469683016140271
SPEA2-greedy_multi-HUX,0.1559396064248804
SPEA2-greedy_multi-HUX,0.1491289512975183
SPEA2-greedy_multi-HUX,0.13348478881057982
SPEA2-greedy_multi-HUX,0.14700494368600275
SPEA2-greedy_multi-HUX,0.14059197695320075
SPEA2-greedy_multi-HUX,0.15087274447544702
SPEA2-greedy_multi-HUX,0.1492163118121389
SPEA2-greedy_multi-HUX,0.1485527538871164
