config,Range
SPEA2-random_dense-UX,0.8030091479453987
SPEA2-random_dense-UX,0.8911118511053012
SPEA2-random_dense-UX,0.8670969106055132
SPEA2-random_dense-UX,0.791788052424054
SPEA2-random_dense-UX,0.8018104640508125
SPEA2-random_dense-UX,0.7603236136391093
SPEA2-random_dense-UX,0.7985413436088894
SPEA2-random_dense-UX,0.849341314138665
SPEA2-random_dense-UX,0.7676231457194497
SPEA2-random_dense-UX,0.7996299398741029
SPEA2-random_dense-UX,0.8379369312350518
SPEA2-random_dense-UX,0.7883619121379808
SPEA2-random_dense-UX,0.7943126536833798
SPEA2-random_dense-UX,0.8654781226097523
SPEA2-random_dense-UX,0.7961975670610261
SPEA2-random_dense-UX,0.7898884762512889
SPEA2-random_dense-UX,0.8192594279585916
SPEA2-random_dense-UX,0.7563521033450765
SPEA2-random_dense-UX,0.7582811561406347
SPEA2-random_dense-UX,0.7894547535319885
SPEA2-random_dense-UX,0.7960856111609785
SPEA2-random_dense-UX,0.8055001613337631
SPEA2-random_dense-UX,0.780351568671745
SPEA2-random_dense-UX,0.7285781479691796
SPEA2-random_dense-UX,0.7756297562345437
SPEA2-random_dense-UX,0.7638617601848376
SPEA2-random_dense-UX,0.8432364160977475
SPEA2-random_dense-UX,0.8585869333265634
SPEA2-random_dense-UX,0.8695134865061804
SPEA2-random_dense-UX,0.7588603408769097
SPEA2-random_dense-UX,0.7155247291372026
SPEA2-random_dense-HUX,0.7318040623705233
SPEA2-random_dense-HUX,0.8906328186624027
SPEA2-random_dense-HUX,0.8470479343936951
SPEA2-random_dense-HUX,0.7815915153273336
SPEA2-random_dense-HUX,0.8319625901775684
SPEA2-random_dense-HUX,0.8474969325282251
SPEA2-random_dense-HUX,0.8553500481331532
SPEA2-random_dense-HUX,0.7527880148919978
SPEA2-random_dense-HUX,0.8403937352977517
SPEA2-random_dense-HUX,0.8456570034181645
SPEA2-random_dense-HUX,0.843206993209266
SPEA2-random_dense-HUX,0.8565781952651982
SPEA2-random_dense-HUX,0.7615671997023498
SPEA2-random_dense-HUX,0.7902726291839055
SPEA2-random_dense-HUX,0.8147076211754404
SPEA2-random_dense-HUX,0.7516110859392654
SPEA2-random_dense-HUX,0.7280829657874597
SPEA2-random_dense-HUX,0.830204554847698
SPEA2-random_dense-HUX,0.8909818188679873
SPEA2-random_dense-HUX,0.8844911368652862
SPEA2-random_dense-HUX,0.7223886442088102
SPEA2-random_dense-HUX,0.8446631562816609
SPEA2-random_dense-HUX,0.7803761313401949
SPEA2-random_dense-HUX,0.8131499418005242
SPEA2-random_dense-HUX,0.7772845810318136
SPEA2-random_dense-HUX,0.6790821166821409
SPEA2-random_dense-HUX,0.811483804786721
SPEA2-random_dense-HUX,0.8465879715957125
SPEA2-random_dense-HUX,0.7295483413007208
SPEA2-random_dense-HUX,0.7846269746183357
SPEA2-random_dense-HUX,0.7514251444582999
SPEA2-random_dense-1P,0.5992481301806041
SPEA2-random_dense-1P,0.5148591508878966
SPEA2-random_dense-1P,0.5673348076609706
SPEA2-random_dense-1P,0.5603489259284506
SPEA2-random_dense-1P,0.5067489799544137
SPEA2-random_dense-1P,0.5606845839416974
SPEA2-random_dense-1P,0.6103699464945246
SPEA2-random_dense-1P,0.5748524386575267
SPEA2-random_dense-1P,0.5889366067007105
SPEA2-random_dense-1P,0.5038672910952274
SPEA2-random_dense-1P,0.5429273159404296
SPEA2-random_dense-1P,0.47960701411797324
SPEA2-random_dense-1P,0.550280083158342
SPEA2-random_dense-1P,0.561797883706202
SPEA2-random_dense-1P,0.5484173968086614
SPEA2-random_dense-1P,0.5715305181825723
SPEA2-random_dense-1P,0.5784694869704095
SPEA2-random_dense-1P,0.4729826668578495
SPEA2-random_dense-1P,0.5823743961690957
SPEA2-random_dense-1P,0.46858563040790374
SPEA2-random_dense-1P,0.5797975714665774
SPEA2-random_dense-1P,0.5800670385903316
SPEA2-random_dense-1P,0.5623227969064305
SPEA2-random_dense-1P,0.6063402626726364
SPEA2-random_dense-1P,0.5426496223716312
SPEA2-random_dense-1P,0.5400878081942116
SPEA2-random_dense-1P,0.5184131236148425
SPEA2-random_dense-1P,0.50238409763532
SPEA2-random_dense-1P,0.5437200616362684
SPEA2-random_dense-1P,0.5716208162703365
