Compacidad,Tolerancia,Hamming,Balance,init_cross
10.0,0.0,5.101950354609929,2.7812727918616,greedy_ting+UX
435.0,75.0,149.36879432624113,508.4739198229467,greedy_ting+UX
404.0,81.0,139.64361702127658,450.5502961370156,greedy_ting+UX
359.0,76.0,129.29078014184398,362.9580001005978,greedy_ting+UX
76.0,15.0,32.515957446808514,32.3011637996077,greedy_ting+UX
201.0,53.0,81.57890070921985,119.40689524545988,greedy_ting+UX
326.0,70.0,119.62943262411348,308.17828265680754,greedy_ting+UX
149.0,39.0,63.54964539007092,73.75462753382627,greedy_ting+UX
162.0,40.0,70.91134751773049,99.10561591469236,greedy_ting+UX
202.0,48.0,81.84929078014184,120.99856332679444,greedy_ting+UX
168.0,45.0,70.96365248226951,92.36835970901868,greedy_ting+UX
203.0,48.0,84.59042553191489,133.2365040742416,greedy_ting+UX
171.0,44.0,72.6622340425532,95.4719070657915,greedy_ting+UX
228.0,50.0,88.86436170212765,144.08177955711477,greedy_ting+UX
195.0,50.0,80.52482269503547,119.84867461395297,greedy_ting+UX
213.0,53.0,88.40425531914893,161.09898898445775,greedy_ting+UX
156.0,39.0,66.52393617021276,84.36644833635114,greedy_ting+UX
148.0,39.0,63.71010638297872,84.26259289648415,greedy_ting+UX
130.0,33.0,54.49645390070922,58.87410090035715,greedy_ting+UX
172.0,43.0,74.20301418439716,100.90825332604008,greedy_ting+UX
228.0,52.0,91.93794326241137,167.81175179819914,greedy_ting+UX
88.0,17.0,38.212765957446805,37.44763844877011,greedy_ting+UX
164.0,44.0,70.18971631205673,91.86471694079782,greedy_ting+UX
170.0,46.0,72.38297872340425,92.70439112720688,greedy_ting+UX
185.0,44.0,78.43882978723404,115.95547806322618,greedy_ting+UX
181.0,46.0,77.00709219858156,109.05668728937177,greedy_ting+UX
167.0,43.0,72.13563829787235,102.54099941527102,greedy_ting+UX
174.0,42.0,72.40691489361703,92.54984580126752,greedy_ting+UX
179.0,46.0,75.05762411347517,101.27416173104976,greedy_ting+UX
209.0,49.0,85.09397163120568,135.26776507720965,greedy_ting+UX
151.0,36.0,64.75975177304964,79.81905383909259,greedy_ting+UX
163.0,40.0,70.447695035461,93.18875355238666,greedy_ting+UX
166.0,43.0,72.25088652482269,104.09574389492514,greedy_ting+UX
330.0,62.0,118.36170212765956,279.706051003471,greedy_ting+UX
174.0,46.0,75.38829787234043,107.82085596801004,greedy_ting+UX
198.0,48.0,81.11436170212765,121.04099941527072,greedy_ting+UX
111.0,25.0,46.71099290780142,50.01931178009153,greedy_ting+UX
162.0,43.0,69.20567375886525,87.66337206377959,greedy_ting+UX
180.0,46.0,77.1081560283688,112.59468525225076,greedy_ting+UX
198.0,50.0,81.11170212765957,127.87050135808045,greedy_ting+UX
205.0,49.0,83.93262411347517,135.1408505608369,greedy_ting+UX
259.0,57.0,99.48581560283688,194.00511795181345,greedy_ting+UX
168.0,40.0,70.9982269503546,92.08864933856432,greedy_ting+UX
190.0,49.0,77.84485815602837,109.95731398697257,greedy_ting+UX
163.0,42.0,70.51241134751773,94.01048425632514,greedy_ting+UX
206.0,47.0,83.22517730496453,122.35000440118702,greedy_ting+UX
234.0,55.0,91.57978723404256,162.51845669231955,greedy_ting+UX
157.0,40.0,67.45478723404256,87.08128913912788,greedy_ting+UX
237.0,54.0,93.95921985815605,175.57280506513774,greedy_ting+UX
184.0,46.0,78.31826241134752,118.34463102333888,greedy_ting+UX
181.0,44.0,77.40248226950355,112.8238236255719,greedy_ting+UX
192.0,44.0,81.06737588652483,119.9529072984254,greedy_ting+UX
166.0,41.0,70.81471631205673,90.54102456491128,greedy_ting+UX
175.0,44.0,74.70390070921985,102.2385663447517,greedy_ting+UX
227.0,51.0,91.11790780141844,154.99762257305983,greedy_ting+UX
161.0,42.0,67.93794326241135,91.8259361953623,greedy_ting+UX
159.0,39.0,67.47872340425532,84.62188773200543,greedy_ting+UX
140.0,32.0,60.91666666666666,82.06397754137079,greedy_ting+UX
169.0,42.0,71.22251773049645,90.66768444117488,greedy_ting+UX
127.0,28.0,53.76507092198582,60.71342534958002,greedy_ting+UX
170.0,45.0,72.56117021276596,99.9998043043608,greedy_ting+UX
231.0,53.0,93.2331560283688,163.10964535863408,greedy_ting+UX
242.0,52.0,95.73670212765956,173.67446855666236,greedy_ting+UX
