init,Compacidad,Tolerancia,Hamming,Balance
random_dense,341.0,79.0,140.09751773049646,595.9904902922392
random_dense,348.0,73.0,118.53102836879432,229.21712234671304
random_dense,316.0,67.0,108.00620567375888,189.92815297897505
random_dense,278.0,68.0,117.39095744680851,353.6317267428697
random_dense,253.0,56.0,97.2331560283688,176.77276592600995
random_dense,447.0,96.0,168.98581560283688,721.6168200794735
random_dense,319.0,78.0,122.83687943262412,329.5726824606408
random_dense,415.0,94.0,151.15514184397162,459.9023494479659
random_dense,466.0,97.0,172.83421985815602,702.9237580793216
random_dense,431.0,97.0,161.49379432624113,633.2605997874865
random_dense,253.0,45.0,103.81382978723404,279.8731420703181
random_dense,302.0,50.0,120.53989361702128,332.7430893503847
random_dense,315.0,63.0,130.70833333333334,491.5860298463346
random_dense,262.0,58.0,96.56471631205672,167.30786853654246
random_dense,274.0,55.0,99.31205673758863,179.122478748554
random_dense,446.0,87.0,168.97163120567376,683.2403299632821
random_dense,366.0,76.0,126.11613475177305,271.25158364141623
random_dense,310.0,54.0,114.35904255319149,232.80282603365015
random_dense,386.0,91.0,144.9459219858156,473.4908698946226
random_dense,283.0,71.0,113.87588652482268,310.0200568381868
random_dense,403.0,61.0,151.24113475177305,487.565967506665
random_dense,406.0,94.0,154.19326241134752,554.2108765907146
random_dense,348.0,85.0,133.8404255319149,413.1979402444542
random_dense,398.0,92.0,146.95567375886526,445.5973259644887
random_dense,282.0,61.0,100.01152482269504,167.11954802952613
random_dense,352.0,82.0,126.48404255319149,316.49619926060086
random_dense,441.0,95.0,157.84308510638297,508.73335643956506
random_dense,324.0,77.0,133.20124113475177,520.871736048237
random_dense,253.0,63.0,107.36258865248227,286.0644514549061
random_dense,299.0,71.0,125.11968085106383,454.1886906782859
random_dense,337.0,52.0,127.95921985815605,329.792663221166
random_dense,242.0,49.0,100.90336879432624,239.9702723391678
random_dense,251.0,49.0,98.19858156028369,201.96765756249707
random_dense,442.0,72.0,164.36702127659575,578.8050116945826
random_dense,413.0,75.0,159.18085106382978,598.6481439565407
random_dense,351.0,64.0,139.020390070922,464.31252750741896
random_dense,360.0,71.0,122.1436170212766,252.56802663346903
random_dense,331.0,79.0,129.55141843971631,424.0470015341272
random_dense,374.0,64.0,132.4831560283688,314.2160283373573
random_dense,476.0,89.0,170.70744680851064,621.7441998641909
random_dense,397.0,89.0,157.25620567375887,698.8891458867773
random_dense,302.0,63.0,104.34929078014184,178.79998176651085
random_dense,383.0,90.0,151.47783687943263,624.1661754627535
random_dense,268.0,49.0,102.12588652482268,196.89195400130785
random_dense,371.0,85.0,150.18351063829786,654.7633096612353
random_dense,324.0,54.0,121.00443262411348,274.60724985538974
random_dense,455.0,94.0,168.72606382978722,674.060597272521
random_dense,330.0,72.0,137.06382978723406,571.5526633469138
random_dense,427.0,84.0,147.32801418439718,397.2647471203662
random_dense,283.0,65.0,103.60195035460993,197.2626557705848
random_dense,377.0,87.0,136.1418439716312,366.781298727428
random_dense,390.0,81.0,134.31648936170214,319.2358273917308
random_dense,414.0,87.0,143.79432624113474,376.2130174538506
random_dense,376.0,87.0,140.12677304964538,429.1071555442383
random_dense,470.0,100.0,172.0709219858156,660.665182837885
random_dense,392.0,87.0,139.90248226950354,382.004674689402
random_dense,328.0,68.0,136.24202127659575,549.0043689640866
random_dense,332.0,71.0,113.24468085106383,209.7309114229668
random_dense,311.0,73.0,128.93351063829786,486.33689122151753
random_dense,384.0,80.0,148.895390070922,542.3259361953617
random_dense,368.0,81.0,129.78102836879432,295.80577482898235
random_dense,265.0,65.0,106.16666666666669,244.0927895981093
random_dense,370.0,61.0,143.20301418439718,463.3674731841957
random_dense,388.0,65.0,137.67641843971631,350.3057559667521
random_dense,314.0,75.0,115.94237588652484,263.1340908090641
random_dense,351.0,57.0,127.52570921985816,303.69260144736165
random_dense,332.0,76.0,119.36347517730496,251.38916239122767
random_dense,431.0,74.0,152.06205673758865,441.13444683366106
random_dense,454.0,99.0,166.92287234042553,611.1474201184548
random_dense,417.0,70.0,155.41046099290782,527.708294822947
random_dense,251.0,56.0,99.51773049645392,218.45535938836085
random_dense,281.0,53.0,111.8900709219858,259.491461697098
random_dense,375.0,85.0,133.3918439716312,343.43511078416526
random_dense,360.0,84.0,134.20744680851064,386.4605119209297
random_dense,347.0,81.0,130.04078014184398,391.35294690910894
random_dense,437.0,92.0,161.4822695035461,596.3241537146023
random_dense,403.0,83.0,139.85017730496455,350.85609925934574
random_dense,464.0,96.0,165.87765957446808,573.8928342387205
random_dense,375.0,71.0,129.38386524822695,290.5769382513454
random_dense,423.0,91.0,148.93528368794327,416.3761309478903
random_dense,286.0,58.0,101.9122340425532,177.89211983174846
random_dense,279.0,60.0,118.48226950354608,374.7674161259487
random_dense,391.0,80.0,139.4822695035461,381.5936572607018
random_dense,351.0,84.0,137.55585106382978,475.9614196657612
random_dense,290.0,50.0,107.88829787234044,217.10454391127183
random_dense,389.0,76.0,143.52748226950354,422.9035000440124
random_dense,339.0,77.0,122.08333333333331,283.1419917257682
random_dense,265.0,68.0,109.57890070921984,286.1409377986522
random_dense,453.0,85.0,159.68351063829786,504.671997604496
random_dense,372.0,87.0,146.75886524822695,577.1936270811328
random_dense,346.0,67.0,121.65602836879432,253.39941401337933
random_dense,343.0,81.0,135.38918439716312,441.8919752213167
random_dense,317.0,64.0,111.14273049645392,210.95923793446016
random_dense,278.0,66.0,113.97872340425532,306.52791610079964
random_dense,389.0,88.0,143.20567375886526,453.3477692269
random_dense,384.0,68.0,147.9964539007092,505.4716186308528
random_dense,405.0,94.0,150.82624113475177,506.2464036014297
random_dense,363.0,67.0,125.2163120567376,273.1305140586488
random_dense,460.0,89.0,163.23758865248226,528.971920426537
random_dense,442.0,78.0,158.96897163120568,503.1914131268544
random_dense,417.0,95.0,160.19414893617022,686.3975898785277
random_dense,328.0,71.0,118.74468085106383,267.00573411800247
random_dense,322.0,59.0,116.30673758865248,244.65768510135368
random_dense,361.0,84.0,143.5505319148936,537.5453188660035
random_dense,372.0,67.0,148.55939716312056,580.8457627571544
random_dense,283.0,68.0,107.44858156028369,237.883880966752
random_dense,263.0,54.0,106.25265957446808,255.5097446997133
random_dense,305.0,61.0,110.37588652482268,213.16367385946413
random_dense,267.0,61.0,103.854609929078,211.69162768472455
random_dense,328.0,64.0,115.0691489361702,227.23280707710887
random_dense,361.0,80.0,130.9671985815603,326.6593850598568
random_dense,367.0,80.0,147.6613475177305,603.9597825813587
random_dense,262.0,55.0,103.51241134751773,217.98211546200216
random_dense,424.0,93.0,155.20478723404256,516.4518565150149
random_dense,398.0,89.0,153.38741134751774,606.5671110293756
random_dense,413.0,80.0,153.7695035460993,490.2199210301302
random_dense,440.0,97.0,159.04698581560282,533.1015157373878
random_dense,309.0,74.0,117.3785460992908,283.30439788617247
random_dense,394.0,62.0,145.7464539007092,435.25131721241326
random_dense,358.0,84.0,137.77393617021278,426.03666110230887
random_dense,340.0,81.0,125.95921985815605,330.7040107388967
random_dense,412.0,87.0,152.1959219858156,524.7408698946222
random_dense,359.0,79.0,142.15425531914894,512.9655669986427
random_dense,370.0,87.0,143.1968085106383,507.8726139278701
random_dense,364.0,52.0,136.95833333333334,390.13390218675926
random_dense,392.0,78.0,154.16932624113474,641.1761158581058
random_dense,349.0,76.0,134.55939716312056,425.7393797784317
random_dense,437.0,84.0,154.55851063829786,462.0001226044973
random_dense,304.0,56.0,118.0691489361702,304.7966368643429
random_dense,401.0,75.0,140.1994680851064,348.1472692206128
random_dense,413.0,83.0,159.104609929078,607.9961489613198
random_dense,363.0,73.0,131.60992907801418,329.2272772999344
random_dense,349.0,77.0,128.4494680851064,335.4247514901165
random_dense,292.0,72.0,121.27127659574468,386.3803097178211
random_dense,337.0,78.0,135.79609929078015,495.4584245007789
random_dense,279.0,59.0,115.14273049645392,324.87767765077194
random_dense,433.0,90.0,154.1427304964539,455.93264218977896
random_dense,384.0,73.0,133.23758865248226,316.8052537598708
random_dense,331.0,78.0,127.38031914893617,362.274683586088
random_dense,389.0,87.0,149.5886524822695,554.9052613047635
random_dense,295.0,65.0,121.33421985815605,381.2686162353507
random_dense,446.0,86.0,165.56560283687944,618.9141359841055
random_dense,406.0,71.0,156.86170212765958,574.5872566772299
random_dense,262.0,59.0,106.072695035461,253.459254438912
random_dense,410.0,77.0,144.12943262411346,384.7350202454608
random_dense,423.0,86.0,149.96010638297872,429.4939758752077
random_dense,358.0,77.0,139.02659574468086,455.2510657160098
random_dense,366.0,63.0,136.8173758865248,374.08721580906416
random_dense,382.0,77.0,131.82890070921985,305.14359737312
random_dense,299.0,68.0,109.22606382978724,233.4816965633015
random_dense,300.0,63.0,114.61436170212764,268.252878847895
random_dense,299.0,73.0,120.02659574468083,326.32907990040724
random_dense,349.0,61.0,132.91666666666666,386.5497931442062
random_dense,296.0,61.0,124.81560283687944,440.0050047784303
random_dense,320.0,75.0,119.4964539007092,298.5407675670237
random_dense,395.0,82.0,145.63386524822695,450.1310162655306
random_dense,261.0,51.0,107.90070921985816,304.2419143906245
random_dense,290.0,62.0,115.68439716312056,311.7408203812697
random_dense,311.0,74.0,123.59663120567376,392.7158397150554
random_dense,317.0,64.0,123.34929078014184,315.55530091544694
random_dense,318.0,71.0,120.5895390070922,313.18701822720243
random_dense,399.0,74.0,148.87322695035462,460.8039640548765
random_dense,451.0,93.0,163.05851063829786,556.6065055832205
random_dense,378.0,75.0,144.16578014184398,476.0602829020172
random_dense,367.0,81.0,137.90336879432624,410.4862297859768
random_dense,419.0,90.0,157.1950354609929,576.9477767717912
random_dense,428.0,82.0,159.6631205673759,560.9893491273073
random_dense,369.0,71.0,136.30939716312056,370.8218265869429
random_dense,407.0,84.0,159.38031914893617,668.6399318130375
random_dense,417.0,81.0,151.03014184397162,438.7792333132137
random_dense,269.0,61.0,111.30939716312056,296.61083367914154
random_dense,284.0,60.0,107.76241134751773,224.1208565967512
random_dense,432.0,82.0,163.7304964539007,620.4450983350941
random_dense,356.0,78.0,134.13209219858155,381.0384027149033
random_dense,403.0,86.0,145.73581560283688,435.05786617876345
random_dense,416.0,91.0,158.86613475177305,634.2879311591475
random_dense,386.0,67.0,140.78191489361703,380.7680417232531
random_dense,318.0,68.0,117.9813829787234,285.70798673985195
random_dense,328.0,73.0,126.78280141843972,347.0530020811324
random_dense,276.0,63.0,105.3005319148936,222.89638269578992
random_dense,351.0,74.0,132.86702127659575,372.9716783612498
random_dense,357.0,82.0,131.33510638297872,347.01890938584575
random_dense,268.0,63.0,112.5877659574468,328.3451340161463
