init,Compacidad,Tolerancia,Hamming,Balance
random_dense,328.0,81.0,134.20478723404256,448.6273884299077
random_dense,368.0,81.0,145.63209219858155,455.8105658354707
random_dense,405.0,84.0,155.17641843971631,495.030046746894
random_dense,252.0,60.0,102.16489361702128,210.77068243549127
random_dense,325.0,63.0,135.8741134751773,505.72174123535024
random_dense,315.0,71.0,116.90691489361704,260.3149167232531
random_dense,451.0,104.0,175.54964539007094,735.3610105125509
random_dense,402.0,92.0,164.1923758865248,736.2280624402702
random_dense,438.0,102.0,177.13386524822695,825.6354488896437
random_dense,370.0,72.0,140.66932624113474,394.0936690495949
random_dense,421.0,101.0,166.6799645390071,690.4622936157624
random_dense,415.0,92.0,162.69326241134752,575.285344675821
random_dense,286.0,56.0,118.29078014184395,320.844524923294
random_dense,299.0,70.0,125.47163120567376,410.97969166540906
random_dense,345.0,80.0,144.33333333333334,571.4739952718684
random_dense,359.0,81.0,132.70301418439718,352.6183597090183
random_dense,429.0,94.0,172.82801418439718,744.1760946380957
random_dense,283.0,67.0,108.05673758865248,227.01451134248816
random_dense,313.0,77.0,122.38386524822695,331.3127538541825
random_dense,265.0,57.0,111.3058510638298,298.818689169307
random_dense,370.0,91.0,149.32890070921985,540.9529945362412
random_dense,400.0,91.0,149.89982269503545,471.460709188417
random_dense,390.0,83.0,158.3537234042553,614.5122911008001
random_dense,326.0,68.0,126.80673758865248,332.5052028318495
random_dense,285.0,69.0,115.1232269503546,314.09917682083426
random_dense,282.0,58.0,111.3209219858156,249.38282468185687
random_dense,355.0,89.0,140.16400709219857,429.34810167370847
random_dense,280.0,53.0,108.06737588652484,226.1089356672204
random_dense,280.0,65.0,104.49911347517732,203.8244672991802
random_dense,392.0,88.0,162.67641843971631,734.9422807894476
random_dense,345.0,77.0,144.38563829787233,566.6057157273269
random_dense,373.0,79.0,146.25709219858155,468.05801707660623
random_dense,251.0,43.0,104.24734042553192,246.25353902595435
random_dense,263.0,52.0,110.5,281.218085106383
random_dense,447.0,104.0,176.1755319148936,766.7741530858611
random_dense,391.0,78.0,158.69414893617022,638.2513132827826
random_dense,319.0,70.0,118.72695035460993,258.0708339620743
random_dense,414.0,91.0,163.95390070921985,633.0262436497158
random_dense,280.0,69.0,115.06648936170212,306.8439834200995
random_dense,356.0,81.0,132.92021276595744,346.2347687490575
random_dense,248.0,55.0,100.16755319148936,203.42494011241908
random_dense,425.0,99.0,163.47606382978722,573.7246043647201
random_dense,445.0,101.0,179.19326241134752,877.5761248176658
random_dense,356.0,71.0,137.5177304964539,392.87379910467234
random_dense,326.0,78.0,134.63209219858155,466.7804239915001
random_dense,316.0,78.0,123.38031914893617,306.00872613927856
random_dense,409.0,82.0,157.37056737588654,529.2492046426238
random_dense,434.0,95.0,173.99379432624113,821.9104224825205
random_dense,400.0,93.0,149.21897163120568,452.0096755382018
random_dense,305.0,67.0,128.15514184397162,427.9395834905184
random_dense,367.0,89.0,149.62234042553192,569.4105647351746
random_dense,331.0,65.0,128.56382978723406,344.0402519993965
random_dense,417.0,99.0,168.8758865248227,766.6512625119468
random_dense,333.0,65.0,138.86347517730496,481.5132758664052
random_dense,293.0,51.0,118.75797872340424,303.5380569073484
random_dense,371.0,83.0,138.09840425531914,532.4291463897695
random_dense,405.0,92.0,150.13563829787233,606.8956093443488
random_dense,260.0,50.0,93.2464539007092,220.2725938081588
random_dense,268.0,39.0,98.50088652482268,240.98936091620172
