algorithm,init,crossover,run,seed,Range,MinSum,SumMin,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,Hypervolume,IGD+,GD+,elapsed_sec,n_solutions_final_front,n_infeasible_final_front
SPEA2,random_dense,UX,1,1599062632,1.2154809478537192,1.4910735894621496,1.066924889057788,0.2318840579710145,0.1881314127779792,149.62576563507417,0.4110122292220852,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,2,820989175,1.2317426724426568,1.5049288245399766,1.0535900985659552,0.2324929971988795,0.1820401077158288,143.17989200515797,0.4112502508712519,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,3,582220115,1.1749438671757446,1.4760228756425595,1.051337494390724,0.2371428571428571,0.1914939550619555,153.3788926499033,0.4174615936786874,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,4,150833957,1.3336060455920518,1.4741834164892331,1.0320127343265888,0.2375366568914956,0.1912374133082904,150.20398130238556,0.4262154119346824,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,5,139107549,1.278210260910586,1.4723828115877096,0.987280380393482,0.237597911227154,0.1977757036273409,154.37428675048352,0.4389090546707217,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,6,990272917,1.290495665390306,1.4902245661467446,1.001333771642542,0.2271662763466042,0.1877094680275768,156.76522001934237,0.42765619040766,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,7,1592452003,1.0857548295876005,1.453869414916956,1.0743974976863535,0.2410958904109589,0.2012674848289936,152.74032479045775,0.4181850318990767,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,8,667813136,1.3669840427743265,1.4765391595247928,0.9585704445365424,0.2285714285714285,0.1900649486626571,153.5527603159252,0.4392238217751035,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,9,1823499796,1.1170456605636008,1.4713534291121124,1.0695448656861155,0.2384823848238482,0.1953725707212053,155.41465586718246,0.4161370765740554,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,10,1608915420,1.2176026170388774,1.471738115107725,1.0251564800966046,0.2354838709677419,0.192922709374539,148.488390554481,0.4288813502970188,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,11,326035035,1.3386462821233895,1.4756244061733124,0.9873510931497356,0.2320916905444126,0.1885774049540517,153.2845502901354,0.4328585840910187,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,12,744581818,1.374597196154645,1.4785787398688457,0.941300123359681,0.2301369863013698,0.1899162054890862,153.8310968729852,0.4452325308976333,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,13,795356481,1.365966402902937,1.486284560671058,0.9351967021370295,0.2371428571428571,0.1923419027202391,154.98645228884587,0.4474736666482482,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,14,708031631,1.4314352804995831,1.5021136476251389,0.9783536833276016,0.2309782608695652,0.1804980264580156,145.84798114119923,0.4248167780900485,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,15,845205688,1.2142664533645426,1.4838068830866151,1.0768229071956454,0.2275,0.1855205891532656,145.74539813023856,0.4022293613166133,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,16,299530224,1.2916506361218625,1.5148778836654804,1.0435376677816528,0.2392638036809816,0.1826274102795932,146.97949306898775,0.4171333498189931,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,17,1676787990,1.1280085880651396,1.500590261821749,1.073043720838084,0.2310030395136778,0.1932284677958332,150.77963813668595,0.4104221177993241,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,18,952573536,1.2893917334419127,1.476573167263233,1.0260027312362956,0.2305630026809651,0.1919135838489105,147.85867585428758,0.4256024653707048,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,19,173848953,1.3809737481830802,1.4778022687154049,0.978560336897234,0.2335958005249344,0.1838929646231568,150.49982269503545,0.4353056116238341,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,20,273780908,1.264720939664652,1.4946974582697663,1.0197809528886383,0.2307692307692307,0.192836361630985,148.71568343004512,0.4279884178063843,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,21,14673126,1.3095216750046992,1.4858462759813746,1.0000558170601652,0.2267002518891687,0.1895552926241993,149.43230577047063,0.4277620726881283,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,22,1785659998,1.276419209033472,1.4742579911358045,0.9825682809765102,0.234375,0.1941290948084302,152.70855496453905,0.436440401932946,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,23,1126607055,1.2191350633154316,1.446334090399665,1.0189111475643138,0.238341968911917,0.2003597003547312,152.7398573500967,0.4341098152162262,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,24,836211989,1.2663439103828864,1.4834479737920256,1.0185239399122783,0.2277777777777777,0.1911664653852132,147.13670212765956,0.4268153991457131,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,25,560807317,1.1429052746450088,1.4798853996091266,1.047334600534555,0.233983286908078,0.1944166108075751,157.0480939716312,0.4210074494135517,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,26,77905806,1.3796954422313934,1.5068175076271102,1.0147966936890902,0.2245430809399478,0.1799695678889887,152.16795615731786,0.4196767620417244,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,27,918600304,1.2971405628590065,1.481956595580901,0.9961720540207132,0.2336448598130841,0.1965838864038672,149.97087765957448,0.4354549443978186,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,28,363935315,1.2353451713337973,1.460155994704622,0.998186733231378,0.2334293948126801,0.1943611151103222,160.25131366860091,0.4352060569947012,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,29,159905475,1.2029968755235654,1.4702357583532142,1.0307479833202695,0.2348284960422163,0.195013424383382,151.9540780141844,0.4265485808312769,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,30,173996184,1.3065733053290265,1.4650649669907614,0.9656624383246624,0.2335958005249344,0.1965656182011705,154.91628384912957,0.4448288107156646,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,UX,31,1875038168,1.3213139734135164,1.4650229775608627,0.9513869375866713,0.2318059299191374,0.1982900042240626,151.58651676337846,0.4477547726506757,0.19310216392756324,0.02559446335288113,0.0,220,0
SPEA2,random_dense,HUX,1,890697159,1.3536291185364435,1.4787819656092591,0.977601769837938,0.227621483375959,0.1875609664318877,153.510775306254,0.4348743701328328,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,2,112623702,1.2813133243633277,1.457657179390423,0.9922473469348128,0.2367758186397985,0.1933028625284557,156.66211315280466,0.4363361671993512,0.20856771017031067,0.025685595462988996,0.0,220,0
SPEA2,random_dense,HUX,3,2021338289,1.320925055793137,1.4641813288620389,0.9529260491650832,0.2369146005509642,0.1997233047058084,151.52875967117987,0.4499394298566567,0.20856771017031067,0.025685595462988996,0.0,220,0
