config,Range
SPEA2-random_dense-UX,1.2154809478537192
SPEA2-random_dense-UX,1.2317426724426568
SPEA2-random_dense-UX,1.1749438671757446
SPEA2-random_dense-UX,1.3336060455920518
SPEA2-random_dense-UX,1.2782102609105859
SPEA2-random_dense-UX,1.290495665390306
SPEA2-random_dense-UX,1.0857548295876005
SPEA2-random_dense-UX,1.3669840427743263
SPEA2-random_dense-UX,1.1170456605636008
SPEA2-random_dense-UX,1.2176026170388774
SPEA2-random_dense-UX,1.3386462821233895
SPEA2-random_dense-UX,1.374597196154645
SPEA2-random_dense-UX,1.365966402902937
SPEA2-random_dense-UX,1.4314352804995831
SPEA2-random_dense-UX,1.2142664533645426
SPEA2-random_dense-UX,1.2916506361218623
SPEA2-random_dense-UX,1.1280085880651396
SPEA2-random_dense-UX,1.2893917334419127
SPEA2-random_dense-UX,1.3809737481830802
SPEA2-random_dense-UX,1.264720939664652
SPEA2-random_dense-UX,1.3095216750046992
SPEA2-random_dense-UX,1.276419209033472
SPEA2-random_dense-UX,1.2191350633154316
SPEA2-random_dense-UX,1.2663439103828864
SPEA2-random_dense-UX,1.1429052746450088
SPEA2-random_dense-UX,1.3796954422313934
SPEA2-random_dense-UX,1.2971405628590065
SPEA2-random_dense-UX,1.2353451713337973
SPEA2-random_dense-UX,1.2029968755235654
SPEA2-random_dense-UX,1.3065733053290263
SPEA2-random_dense-UX,1.3213139734135164
SPEA2-random_dense-HUX,1.3536291185364435
SPEA2-random_dense-HUX,1.2813133243633277
SPEA2-random_dense-HUX,1.3209250557931367
SPEA2-random_dense-HUX,1.220394176707229
SPEA2-random_dense-HUX,1.2079924858391968
SPEA2-random_dense-HUX,1.1869591549217362
SPEA2-random_dense-HUX,1.3821867676005533
SPEA2-random_dense-HUX,1.2237825852986117
SPEA2-random_dense-HUX,1.2846076095386032
SPEA2-random_dense-HUX,1.1633241142254396
SPEA2-random_dense-HUX,1.172066161239016
SPEA2-random_dense-HUX,1.4011046211282148
SPEA2-random_dense-HUX,1.2621503050866203
SPEA2-random_dense-HUX,1.3993566196890515
SPEA2-random_dense-HUX,1.2869052577242928
SPEA2-random_dense-HUX,1.2855408144374882
SPEA2-random_dense-HUX,1.2586116678076376
SPEA2-random_dense-HUX,1.261499037639445
SPEA2-random_dense-HUX,1.37248520196182
SPEA2-random_dense-HUX,1.4128919784534713
SPEA2-random_dense-HUX,1.2395427634088392
SPEA2-random_dense-HUX,1.386840644918938
SPEA2-random_dense-HUX,1.2942425509620556
SPEA2-random_dense-HUX,1.3127949462735584
SPEA2-random_dense-HUX,1.2312382807389142
SPEA2-random_dense-HUX,1.2551104976708563
SPEA2-random_dense-HUX,1.3675542921262052
SPEA2-random_dense-HUX,1.2986527714423337
SPEA2-random_dense-HUX,1.3369832780178652
SPEA2-random_dense-HUX,1.3078928865895887
SPEA2-random_dense-HUX,1.2709504027980154
SPEA2-random_dense-1P,1.1549418246874077
SPEA2-random_dense-1P,1.0401924971553647
SPEA2-random_dense-1P,1.2097460811173049
SPEA2-random_dense-1P,1.131372140501338
SPEA2-random_dense-1P,1.1340862198938046
SPEA2-random_dense-1P,1.2011095354859898
SPEA2-random_dense-1P,1.2240091558887856
