tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,SMSEMOA,greedy_ting,3,761183609,256.0,61.0,108.10017730496453,270.2692198267164
Pseudo-Weights Match,Global,AGEMOEA2,greedy_ting,2,616278928,288.0,58.0,113.13918439716312,489.88931564684924
Mejor Knee Point,Global,SMSEMOA,random_dense,4,1878188177,341.0,85.0,140.8218085106383,371.8485669420557
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,381.0,55.0,152.50975177304966,573.313734690156
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,402.0,78.0,159.8572695035461,653.049663466375
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,434.0,79.0,173.70212765957447,808.9467330617164
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,373.0,73.0,145.39982269503545,514.5289715997727
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,430.0,80.0,165.21099290780143,657.5476805744177
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,344.0,49.0,139.10992907801418,461.61202907298366
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,425.0,81.0,170.2118794326241,827.8371993046127
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,362.0,80.0,142.98847517730496,524.9936615047036
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,345.0,59.0,137.99113475177305,476.26587885418263
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,367.0,83.0,144.5505319148936,535.6286521993364
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,340.0,63.0,134.4078014184397,418.0429178612755
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,455.0,87.0,178.90070921985816,833.7348221920422
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,399.0,66.0,155.12765957446808,570.7071072883655
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,399.0,66.0,155.12765957446808,570.7071072883655
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,354.0,71.0,142.35992907801418,548.8527205623465
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,351.0,79.0,137.89893617021278,472.7947506413159
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,442.0,80.0,175.20478723404256,793.9163955221059
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,401.0,63.0,159.52393617021278,638.729923513656
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,428.0,73.0,170.65070921985816,773.0233860218315
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,327.0,63.0,130.9636524822695,427.3541753118558
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,399.0,75.0,160.7154255319149,692.9092655990648
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,414.0,76.0,164.34574468085106,705.0896804738194
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,344.0,49.0,139.10992907801418,461.61202907298366
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,394.0,62.0,153.75620567375887,546.5035075889033
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,445.0,84.0,175.52659574468086,807.4957465670742
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,433.0,86.0,167.06382978723406,682.1590463256379
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,419.0,77.0,162.00797872340425,627.7543689640868
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,345.0,59.0,137.99113475177305,476.26587885418263
Pseudo-Weights Match,Local,SPEA2,random_dense,3,582220115,354.0,59.0,142.19060283687944,514.0620748138923
Mejor Knee Point,Local,SPEA2,random_dense,3,582220115,367.0,83.0,144.5505319148936,535.6286521993364
Compromise (ASF),Local,SPEA2,random_dense,3,582220115,377.0,68.0,150.98758865248226,585.6381438307949
