algorithm,init,crossover,Range
SPEA2,greedy_multi,2P,0.5383971849743938
NSGA2,greedy_multi,HUX,0.5357067620691764
NSGA2,greedy_multi,UX,0.5356412249369005
SPEA2,greedy_multi,UX,0.5278749788150958
SPEA2,greedy_multi,1P,0.524393476177244
NSGA2,greedy_multi,2P,0.5231575459859024
NSGA2,greedy_multi,1P,0.5192173148891445
SPEA2,greedy_multi,HUX,0.47810256709583115
NSGA3,greedy_multi,HUX,0.4748268754689863
AGEMOEA2,greedy_multi,2P,0.4710791175640785
AGEMOEA2,greedy_multi,UX,0.4627042957796217
NSGA3,greedy_multi,2P,0.4567857411102166
AGEMOEA2,greedy_multi,1P,0.44334091032325523
AGEMOEA2,greedy_multi,HUX,0.44295901905109003
NSGA3,greedy_multi,1P,0.4422869418658415
SMSEMOA,greedy_multi,UX,0.4360515873596708
NSGA3,greedy_multi,UX,0.4353467454418224
SMSEMOA,greedy_multi,1P,0.43212440267948626
SMSEMOA,greedy_multi,HUX,0.4253005687634501
SMSEMOA,greedy_multi,2P,0.414918081070765
SPEA2,random_dense,HUX,0.3844518969739233
SPEA2,random_dense,UX,0.37028126089884095
MOEAD_TCHE,greedy_multi,UX,0.3492046408775821
NSGA2,random_dense,UX,0.3489876338955689
NSGA2,random_dense,HUX,0.3338405935903768
MOEAD_TCHE,greedy_multi,2P,0.328518993486861
MOEAD_TCHE,greedy_multi,HUX,0.316675955642684
MOEAD_TCHE,greedy_multi,1P,0.29726197138292576
NSGA3,random_dense,HUX,0.28906688660660207
AGEMOEA2,random_dense,UX,0.2783721737651581
NSGA3,random_dense,UX,0.25106577947106945
AGEMOEA2,random_dense,HUX,0.24600909510418156
SMSEMOA,random_dense,UX,0.2305112784606138
NSGA2,random_dense,2P,0.2092688227196174
NSGA2,random_dense,1P,0.19708012640435774
SMSEMOA,random_dense,HUX,0.1857618879515064
SPEA2,random_dense,2P,0.17669402568239198
AGEMOEA2,random_dense,2P,0.16957486871474986
SPEA2,random_dense,1P,0.1624498156840289
RVEA,greedy_multi,1P,0.15934247779937033
RVEA,greedy_multi,UX,0.15770096412679874
RVEA,greedy_multi,2P,0.14791519437095205
AGEMOEA2,random_dense,1P,0.13375520019438422
MOEAD_TCHE,random_dense,2P,0.13222247443810153
MOEAD_TCHE,random_dense,1P,0.12840690590503206
MOEAD_TCHE,random_dense,UX,0.12447804627408528
RVEA,greedy_multi,HUX,0.1209440106913626
NSGA3,random_dense,1P,0.11463525299389425
NSGA3,random_dense,2P,0.11435480573705073
MOEAD_TCHE,random_dense,HUX,0.11086027642656197
SMSEMOA,random_dense,2P,0.10414668518902623
SMSEMOA,random_dense,1P,0.0900035890568852
RVEA,random_dense,1P,0.045729019385961245
RVEA,random_dense,2P,0.044029393658906
RVEA,random_dense,UX,0.04313792700842527
RVEA,random_dense,HUX,0.03937060216983222
