algorithm,init,crossover,AvgToleranceRate
SMSEMOA,greedy_ting,HUX,0.2435025119282998
SMSEMOA,random_dense,UX,0.24173360339159639
SMSEMOA,greedy_ting,UX,0.23967453420061008
SMSEMOA,random_dense,HUX,0.23957656201572014
SMSEMOA,random_dense,2P,0.22896046940594778
SMSEMOA,random_dense,1P,0.22555057173027784
RVEA,random_dense,UX,0.22246212104684604
NSGA3,random_dense,UX,0.22145627464702713
NSGA3,random_dense,HUX,0.22022906431945408
SMSEMOA,greedy_ting,2P,0.2192643663780472
RVEA,random_dense,HUX,0.21862830026942306
NSGA2,random_dense,HUX,0.21497501498091687
NSGA2,random_dense,UX,0.21434764816880397
AGEMOEA2,random_dense,HUX,0.20980287414091014
NSGA2,random_dense,2P,0.20730406428811338
SMSEMOA,greedy_ting,1P,0.20667810454577604
AGEMOEA2,random_dense,UX,0.206125130391852
NSGA2,random_dense,1P,0.2060142134181747
NSGA2,greedy_ting,HUX,0.2031896312314013
NSGA2,greedy_ting,UX,0.20088604624606865
MOEAD_TCHE,random_dense,HUX,0.19992582836516934
RVEA,random_dense,2P,0.19946794499705034
NSGA3,random_dense,2P,0.19907715783792548
NSGA3,random_dense,1P,0.19719007488584656
MOEAD_TCHE,random_dense,UX,0.19648665808572632
RVEA,random_dense,1P,0.1934208610837407
AGEMOEA2,random_dense,2P,0.19223732156521228
MOEAD_TCHE,greedy_ting,HUX,0.19168410322947532
AGEMOEA2,random_dense,1P,0.19156985840974594
SPEA2,random_dense,HUX,0.19141984724368472
MOEAD_TCHE,greedy_ting,UX,0.1912793882891006
NSGA3,greedy_ting,UX,0.1888639102017403
MOEAD_TCHE,random_dense,2P,0.1887090422172014
SPEA2,random_dense,1P,0.18746692923276528
SPEA2,random_dense,UX,0.18741742510722342
NSGA3,greedy_ting,HUX,0.1861653606970396
RVEA,greedy_ting,UX,0.1855490425461172
NSGA2,greedy_multi,UX,0.18378338359138774
MOEAD_TCHE,random_dense,1P,0.18324620736317293
RVEA,greedy_ting,HUX,0.18074389902866933
NSGA2,greedy_ting,2P,0.18054273449845903
NSGA2,greedy_multi,HUX,0.17998379497953057
SPEA2,random_dense,2P,0.1798906366543259
AGEMOEA2,greedy_multi,UX,0.1797375449085523
AGEMOEA2,greedy_ting,UX,0.17767836112844865
AGEMOEA2,greedy_ting,HUX,0.17583740281024535
NSGA2,greedy_ting,1P,0.17288355569949548
AGEMOEA2,greedy_multi,HUX,0.16988283586829667
SPEA2,greedy_multi,UX,0.16944616713896882
SPEA2,greedy_ting,HUX,0.1683995283983768
NSGA2,greedy_multi,2P,0.16755772685841822
SMSEMOA,greedy_multi,1P,0.1666934202416455
MOEAD_TCHE,greedy_multi,UX,0.16642842652223805
SPEA2,greedy_ting,UX,0.16611574494518366
NSGA2,greedy_multi,1P,0.165620619056317
NSGA3,greedy_multi,HUX,0.16258158222048427
AGEMOEA2,greedy_multi,2P,0.16188912879220285
SPEA2,greedy_multi,2P,0.1608452011828699
SPEA2,greedy_multi,1P,0.16000378328223017
SPEA2,greedy_multi,HUX,0.15982473530431907
SMSEMOA,greedy_multi,2P,0.15945010987086003
MOEAD_TCHE,greedy_ting,2P,0.15918204310028833
NSGA3,greedy_multi,UX,0.15844644040002218
SPEA2,greedy_ting,2P,0.15822863871799134
AGEMOEA2,greedy_multi,1P,0.15751392236302647
SMSEMOA,greedy_multi,HUX,0.1573013977360823
SMSEMOA,greedy_multi,UX,0.1558437179925515
SPEA2,greedy_ting,1P,0.1552209914541573
NSGA3,greedy_ting,2P,0.15505026504800912
AGEMOEA2,greedy_ting,2P,0.15484971300671985
AGEMOEA2,greedy_ting,1P,0.15439181731268445
MOEAD_TCHE,greedy_ting,1P,0.15389656551861344
MOEAD_TCHE,greedy_multi,HUX,0.153614074113641
RVEA,greedy_ting,2P,0.14961064141258631
NSGA3,greedy_multi,2P,0.14827605331989038
NSGA3,greedy_multi,1P,0.144046515626672
NSGA3,greedy_ting,1P,0.1422898835125692
MOEAD_TCHE,greedy_multi,2P,0.14214515622659357
RVEA,greedy_ting,1P,0.13480272314912511
MOEAD_TCHE,greedy_multi,1P,0.13254607935846682
RVEA,greedy_multi,2P,0.10768548103725291
RVEA,greedy_multi,UX,0.10683254135850588
RVEA,greedy_multi,HUX,0.10028407084847421
RVEA,greedy_multi,1P,0.09972125510202093
