algorithm,init,crossover,MaxToleranceRate
SPEA2,greedy_multi,UX,0.27259331849099777
SMSEMOA,greedy_ting,HUX,0.2719226257962065
SMSEMOA,greedy_ting,UX,0.26926000624400004
AGEMOEA2,greedy_multi,UX,0.2664124493392786
AGEMOEA2,greedy_multi,HUX,0.26408115877930116
NSGA2,greedy_multi,UX,0.2623167531901124
NSGA2,greedy_multi,HUX,0.26108357471773075
AGEMOEA2,greedy_multi,2P,0.2596305006234888
SPEA2,greedy_multi,2P,0.2595673967527514
SPEA2,greedy_multi,1P,0.2575046904315197
SPEA2,greedy_multi,HUX,0.25588235294117645
SMSEMOA,greedy_ting,2P,0.25561005917351715
AGEMOEA2,greedy_multi,1P,0.2530414746543779
SMSEMOA,random_dense,UX,0.25239069398693814
NSGA2,greedy_multi,2P,0.2519454926624738
NSGA2,greedy_multi,1P,0.2503418803418803
SMSEMOA,random_dense,HUX,0.2503243090481453
NSGA3,greedy_multi,HUX,0.2502847650688182
NSGA3,random_dense,HUX,0.24811265355070558
NSGA3,random_dense,UX,0.24745259484518023
AGEMOEA2,random_dense,UX,0.24707601322391567
AGEMOEA2,random_dense,HUX,0.2466772185917044
NSGA3,greedy_multi,UX,0.2461538461538461
SMSEMOA,greedy_ting,1P,0.24590838259987186
NSGA3,greedy_multi,1P,0.24479755750615823
NSGA3,greedy_multi,2P,0.24328240599100673
SMSEMOA,random_dense,2P,0.24203792572769695
RVEA,random_dense,UX,0.24194330169485445
NSGA3,greedy_ting,HUX,0.2412384319188611
NSGA2,greedy_ting,HUX,0.23864265087242548
AGEMOEA2,greedy_ting,UX,0.2378640012647722
SMSEMOA,random_dense,1P,0.23776210421814428
NSGA3,greedy_ting,UX,0.23744102555499644
RVEA,random_dense,HUX,0.2365467817298986
NSGA2,greedy_ting,UX,0.23487131151515045
NSGA2,random_dense,HUX,0.23433601715060487
NSGA2,random_dense,UX,0.23397884227669857
MOEAD_TCHE,greedy_multi,UX,0.2333684312343683
SPEA2,random_dense,UX,0.23259240677203558
NSGA3,random_dense,2P,0.2319424513988801
AGEMOEA2,greedy_ting,HUX,0.23182882935403323
AGEMOEA2,random_dense,2P,0.23178382701237804
SPEA2,random_dense,HUX,0.23104109027738842
SPEA2,greedy_ting,UX,0.23101910757461708
SPEA2,greedy_ting,HUX,0.23037226998271643
MOEAD_TCHE,greedy_ting,UX,0.2303480823987411
NSGA2,greedy_ting,2P,0.2299422250673573
SMSEMOA,greedy_multi,2P,0.22755597167165575
AGEMOEA2,random_dense,1P,0.22734407863292674
SMSEMOA,greedy_multi,1P,0.226617842097051
SPEA2,random_dense,2P,0.22652614997227313
NSGA2,random_dense,2P,0.22650444398602887
MOEAD_TCHE,greedy_ting,HUX,0.22634093005678874
RVEA,greedy_ting,UX,0.22616489330775041
SMSEMOA,greedy_multi,HUX,0.2259316847771856
NSGA3,greedy_ting,2P,0.2251240431192169
RVEA,greedy_ting,2P,0.22461515654809938
AGEMOEA2,greedy_ting,1P,0.22444737284839505
NSGA3,random_dense,1P,0.22442630322386647
RVEA,greedy_ting,HUX,0.22373678995806845
NSGA2,random_dense,1P,0.2236779227775716
SPEA2,random_dense,1P,0.22358514518969433
AGEMOEA2,greedy_ting,2P,0.22320634759648067
MOEAD_TCHE,greedy_multi,HUX,0.22223617652189076
SPEA2,greedy_ting,2P,0.2222224050082163
RVEA,greedy_multi,2P,0.22090132090132086
RVEA,random_dense,2P,0.22062542444512445
MOEAD_TCHE,random_dense,HUX,0.220204103120006
SPEA2,greedy_ting,1P,0.22018962088485647
NSGA2,greedy_ting,1P,0.22006805532872362
SMSEMOA,greedy_multi,UX,0.21988845988845984
NSGA3,greedy_ting,1P,0.21986348652410448
RVEA,greedy_multi,UX,0.21664752039564625
RVEA,greedy_multi,HUX,0.21628362852066788
MOEAD_TCHE,random_dense,UX,0.21613717994951798
RVEA,random_dense,1P,0.21538262588162768
MOEAD_TCHE,greedy_multi,2P,0.21066365007541474
RVEA,greedy_ting,1P,0.20932114298204754
MOEAD_TCHE,random_dense,2P,0.20709400866682848
MOEAD_TCHE,greedy_ting,2P,0.20693094530945907
RVEA,greedy_multi,1P,0.20130467571644042
MOEAD_TCHE,random_dense,1P,0.20044293091577256
MOEAD_TCHE,greedy_multi,1P,0.1996537814947358
MOEAD_TCHE,greedy_ting,1P,0.19901360377926172
