algorithm,init,crossover,IGD+
NSGA2,greedy_multi,1P,3.372910209924854e-05
NSGA2,greedy_multi,UX,3.615941183483804e-05
NSGA2,greedy_multi,HUX,3.8428283216274115e-05
NSGA2,greedy_multi,2P,7.685656643251942e-05
MOEAD_TCHE,greedy_multi,2P,0.00010393103869851192
MOEAD_TCHE,greedy_multi,UX,0.00023056969929746569
MOEAD_TCHE,greedy_multi,HUX,0.00026550450222132297
MOEAD_TCHE,greedy_multi,1P,0.000329260517557398
SMSEMOA,greedy_multi,HUX,0.0005493497759778401
SMSEMOA,greedy_multi,UX,0.0005729307679514402
AGEMOEA2,greedy_multi,HUX,0.0006934558380388147
SMSEMOA,greedy_multi,1P,0.0007126699796469254
AGEMOEA2,greedy_multi,2P,0.0007266439008164847
NSGA3,greedy_multi,1P,0.0007362509716205255
RVEA,greedy_multi,1P,0.0007554956040329477
SMSEMOA,greedy_multi,2P,0.0008331950497342999
AGEMOEA2,greedy_multi,UX,0.0008803570336815
NSGA3,greedy_multi,2P,0.0009039380256550999
NSGA3,greedy_multi,UX,0.0009039380256550999
NSGA3,greedy_multi,HUX,0.0009039380256550999
AGEMOEA2,greedy_multi,1P,0.0009292657577749001
RVEA,greedy_multi,2P,0.0011111740070865886
RVEA,greedy_multi,UX,0.001483733113629438
RVEA,greedy_multi,HUX,0.0018662232548119055
MOEAD_TCHE,greedy_ting,2P,0.0055741595529345
NSGA2,greedy_ting,HUX,0.0074799115797751
NSGA2,greedy_ting,2P,0.0077914844643013
NSGA2,greedy_ting,1P,0.00821063810540954
MOEAD_TCHE,greedy_ting,UX,0.00854793867176824
NSGA2,greedy_ting,UX,0.008632290448866101
SPEA2,greedy_multi,1P,0.00870654273874676
MOEAD_TCHE,greedy_ting,HUX,0.008917772655528079
SMSEMOA,greedy_ting,HUX,0.00895864144526518
SMSEMOA,greedy_ting,UX,0.00896046937958376
SPEA2,greedy_multi,HUX,0.00968929030013728
SPEA2,greedy_multi,2P,0.010770789249339819
SMSEMOA,greedy_ting,2P,0.011225340003844621
MOEAD_TCHE,greedy_ting,1P,0.01148155968631922
NSGA3,greedy_ting,1P,0.01301946196065798
SMSEMOA,greedy_ting,1P,0.01307383332820188
NSGA3,greedy_ting,2P,0.01599000167881668
SPEA2,greedy_multi,UX,0.0164249544647251
NSGA3,greedy_ting,HUX,0.026798189784411258
NSGA3,greedy_ting,UX,0.0296930168931279
RVEA,greedy_ting,2P,0.029827501922246518
RVEA,greedy_ting,1P,0.032749966325916556
RVEA,greedy_ting,UX,0.07373992519042068
AGEMOEA2,greedy_ting,2P,0.07552217610890796
RVEA,greedy_ting,HUX,0.07818733274847814
AGEMOEA2,greedy_ting,1P,0.07880850867907736
SPEA2,greedy_ting,HUX,0.09472521692149882
SPEA2,greedy_ting,UX,0.09548785740266316
AGEMOEA2,greedy_ting,HUX,0.10270054410648351
AGEMOEA2,greedy_ting,UX,0.13424365420124168
SPEA2,greedy_ting,1P,0.18965907555747621
SPEA2,greedy_ting,2P,0.23187272675476955
NSGA2,random_dense,UX,0.3509044882897932
NSGA2,random_dense,HUX,0.3673417310822865
RVEA,random_dense,HUX,0.37695205844430413
MOEAD_TCHE,random_dense,UX,0.3868215613033462
MOEAD_TCHE,random_dense,HUX,0.3896775922753456
RVEA,random_dense,UX,0.389882636262707
NSGA2,random_dense,2P,0.4381254403483116
RVEA,random_dense,2P,0.4459845208811216
MOEAD_TCHE,random_dense,2P,0.4476515751127425
RVEA,random_dense,1P,0.46812364863178396
AGEMOEA2,random_dense,UX,0.47546890028877425
NSGA3,random_dense,UX,0.47660131979188075
AGEMOEA2,random_dense,2P,0.47717054188786606
NSGA2,random_dense,1P,0.4930104225617816
NSGA3,random_dense,HUX,0.4938781738473625
MOEAD_TCHE,random_dense,1P,0.4963565185942517
AGEMOEA2,random_dense,HUX,0.5062338454951865
NSGA3,random_dense,2P,0.5161167988955289
AGEMOEA2,random_dense,1P,0.5174693929567786
SPEA2,random_dense,1P,0.5426018881573867
NSGA3,random_dense,1P,0.5435066546403811
SPEA2,random_dense,2P,0.5474912842709795
SMSEMOA,random_dense,UX,0.561925045636383
SMSEMOA,random_dense,2P,0.5640279258876254
SPEA2,random_dense,UX,0.5701379249882371
SMSEMOA,random_dense,1P,0.5743661425117661
SMSEMOA,random_dense,HUX,0.581168100735875
SPEA2,random_dense,HUX,0.5853783169825789
