tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Disimilitud,Balance
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,414.0,82.0,161.56028368794327,738.5548765152657
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,458.0,101.0,174.43794326241135,809.0316099542268
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,409.0,73.0,159.73936170212767,661.9036988833559
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,399.0,67.0,156.33156028368793,630.5319117499114
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,382.0,82.0,151.11968085106383,615.4972013165834
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,467.0,94.0,181.89007092198582,931.4276319098624
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,458.0,101.0,174.43794326241135,809.0316099542268
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,398.0,85.0,157.56826241134752,703.7169714488695
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,406.0,78.0,158.19148936170214,669.9136864342854
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,363.0,69.0,142.85195035460993,508.28747846562004
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,402.0,80.0,162.47251773049646,799.5311596184795
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,382.0,65.0,149.69858156028369,593.3524093355459
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,389.0,69.0,154.4122340425532,667.194424796288
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,313.0,63.0,121.28989361702128,350.8140113362001
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,313.0,63.0,121.28989361702128,350.8140113362001
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,458.0,101.0,174.43794326241135,809.0316099542268
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,333.0,71.0,130.1054964539007,427.0128066684276
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,430.0,78.0,172.4964539007092,926.8670087017749
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,317.0,50.0,125.68262411347517,388.7467902771492
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,317.0,50.0,125.68262411347517,388.7467902771492
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,491.0,103.0,188.15602836879432,990.4614707509671
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,373.0,70.0,151.64361702127658,742.287884789498
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,373.0,70.0,151.64361702127658,742.287884789498
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,333.0,71.0,130.1054964539007,427.0128066684276
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,382.0,70.0,156.18085106382978,756.6339595593782
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,335.0,67.0,132.06914893617022,435.2682680700162
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,379.0,76.0,151.5540780141844,721.6477847882394
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,379.0,76.0,151.5540780141844,721.6477847882394
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,317.0,50.0,125.68262411347517,388.7467902771492
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,454.0,91.0,173.66400709219857,749.655725787182
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,302.0,57.0,119.46099290780141,343.46479050349615
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,425.0,63.0,166.81117021276594,757.6531730986874
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,487.0,96.0,187.84574468085106,1015.6180492681439
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,491.0,103.0,188.15602836879432,990.4614707509671
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,367.0,56.0,141.11170212765958,480.64355100347035
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,379.0,76.0,151.5540780141844,721.6477847882394
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,387.0,78.0,157.9964539007092,825.3616895528398
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,308.0,51.0,120.84131205673759,351.10336423595334
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,308.0,51.0,120.84131205673759,351.10336423595334
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,416.0,63.0,165.12765957446808,729.4269654443939
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,352.0,63.0,142.43971631205673,615.1577133946977
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,433.0,98.0,168.37677304964538,816.413893132892
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,420.0,79.0,170.66489361702128,940.3877037120872
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,487.0,96.0,187.84574468085106,1015.6180492681439
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,454.0,91.0,173.66400709219857,749.655725787182
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,373.0,70.0,151.64361702127658,742.287884789498
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,351.0,51.0,138.72163120567376,496.84804272923935
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,465.0,80.0,180.31471631205673,886.2369465507267
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,420.0,79.0,170.66489361702128,940.3877037120872
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,379.0,56.0,150.19326241134752,576.0406638247574
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,335.0,67.0,132.06914893617022,435.2682680700162
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,335.0,67.0,132.06914893617022,435.2682680700162
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,350.0,48.0,137.12943262411346,457.8165805291489
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,350.0,48.0,137.12943262411346,457.8165805291489
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,399.0,60.0,157.91578014184398,676.2615240367686
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,455.0,85.0,175.80230496453902,826.307547878629
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,413.0,91.0,163.44326241134752,754.3141567325604
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,413.0,91.0,163.44326241134752,754.3141567325604
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,422.0,94.0,163.2331560283688,719.0245389756547
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,435.0,74.0,173.61436170212767,884.4000419684627
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,346.0,68.0,136.9281914893617,503.95672297042427
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,317.0,63.0,124.1604609929078,385.26059978748555
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,361.0,80.0,142.18173758865248,532.6256593921332
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,454.0,88.0,174.0921985815603,811.9702228258119
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,446.0,84.0,170.57978723404256,720.2312226497661
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,397.0,83.0,155.53014184397162,740.757956717468
Mejor Knee Point,Local,SPEA2,random_dense,6,990272917,365.0,73.0,143.37943262411346,535.9411372667361
Compromise (ASF),Local,SPEA2,random_dense,6,990272917,454.0,88.0,174.0921985815603,811.9702228258119
Pseudo-Weights Match,Local,SPEA2,random_dense,6,990272917,394.0,81.0,153.9078014184397,628.9312157336137
