Compacidad,Tolerancia,Disimilitud,Balance
328.0,72.0,130.34663120567376,445.2938538994516
433.0,86.0,166.21453900709218,809.1312779789761
350.0,61.0,137.16578014184398,492.6755311289674
354.0,65.0,141.5381205673759,605.9205326379457
419.0,82.0,155.62322695035462,546.1514817853729
359.0,59.0,140.46453900709218,544.2912957094729
428.0,79.0,159.18617021276594,600.5185321412401
290.0,59.0,117.54964539007092,495.02058498063417
368.0,79.0,143.05939716312056,622.3271457358795
336.0,69.0,131.79609929078015,548.7917578341131
412.0,91.0,155.57269503546098,564.1046445098335
407.0,70.0,157.25886524822695,719.3797972938982
303.0,66.0,118.89007092198581,396.0411070871683
276.0,57.0,111.47163120567376,344.64635833207586
429.0,91.0,162.54432624113474,680.6256947588153
437.0,94.0,165.53191489361703,689.280896333183
369.0,59.0,145.57358156028369,613.2463588036325
329.0,57.0,132.16666666666666,513.9651300236392
308.0,59.0,120.68439716312056,385.86138775715614
281.0,47.0,110.23049645390071,308.41495649112244
390.0,88.0,151.29255319148936,614.893136034405
444.0,84.0,166.1578014184397,705.4325455208486
344.0,72.0,138.26063829787233,590.5880960464772
401.0,88.0,149.13652482269504,517.4494460791714
375.0,82.0,142.0345744680851,463.24259893239787
395.0,68.0,154.10638297872342,707.7440018107737
386.0,78.0,143.8209219858156,471.96083886625445
305.0,63.0,123.73936170212765,431.1448336351288
339.0,69.0,135.1258865248227,627.3600391076914
380.0,76.0,150.20656028368793,654.1266590903377
313.0,48.0,123.95212765957447,389.6927437000149
317.0,54.0,125.70744680851064,433.54916440319874
380.0,71.0,147.3200354609929,555.0580382966149
298.0,55.0,118.03014184397163,315.57710565363953
328.0,70.0,131.68705673758865,511.89408779110704
349.0,70.0,137.61347517730496,500.0456340224343
303.0,63.0,121.45921985815603,484.67918804386056
304.0,70.0,122.55673758865248,393.7432347467428
339.0,66.0,131.3785460992908,388.1696461131232
340.0,71.0,134.58156028368793,515.4951209697696
316.0,68.0,123.31737588652483,343.7857973693477
325.0,49.0,129.3413120567376,428.5049599806345
353.0,72.0,133.64361702127658,411.298523087371
379.0,72.0,150.14982269503545,649.7178013870029
337.0,70.0,134.20124113475177,482.69620413334417
396.0,81.0,153.56382978723406,682.1891881696084
302.0,59.0,123.1063829787234,516.8220159951705
389.0,83.0,146.77393617021278,512.5597107476989
329.0,74.0,129.7287234042553,509.4051324128568
371.0,69.0,141.5744680851064,452.94658216387523
357.0,66.0,140.74556737588654,547.9255122667371
406.0,81.0,155.00620567375887,627.554039503796
359.0,77.0,142.27482269503545,598.8854653940931
383.0,64.0,148.5505319148936,555.2953188660034
393.0,70.0,150.82269503546098,556.6174991197622
377.0,84.0,146.2863475177305,569.9419412693014
374.0,84.0,145.54343971631207,616.5459853314717
297.0,55.0,120.93085106382979,471.2186226799449
441.0,89.0,164.8049645390071,675.706642020019
360.0,68.0,143.45567375886526,622.9200209999491
369.0,78.0,141.79255319148936,475.14845518334084
327.0,60.0,132.13918439716312,569.082578058196
386.0,82.0,150.03102836879432,624.746377665861
326.0,57.0,128.9822695035461,480.8188345656662
309.0,70.0,119.46897163120568,337.3873351126708
348.0,69.0,139.3909574468085,588.933145182586
436.0,82.0,166.1037234042553,781.7826811717208
316.0,70.0,124.99024822695036,399.2561105766817
344.0,64.0,136.1445035460993,535.8753953209083
421.0,77.0,161.48492907801418,690.7338154205002
353.0,75.0,139.99024822695034,569.7330609312907
371.0,67.0,142.93794326241135,541.6379929329518
314.0,66.0,124.3209219858156,451.4324700719273
356.0,61.0,138.80230496453902,520.4618031977769
380.0,61.0,146.10638297872342,513.4177606760221
344.0,72.0,130.66755319148936,394.75915997057496
389.0,77.0,151.8590425531915,709.1991026293953
379.0,81.0,147.04078014184398,602.601173859464
340.0,69.0,136.20744680851064,574.0278878074545
422.0,85.0,162.38297872340425,731.0944620491917
344.0,81.0,135.40691489361703,509.353037290629
434.0,92.0,164.83953900709218,737.3332948229468
402.0,65.0,152.23847517730496,559.211746611086
372.0,84.0,141.89007092198582,520.0872063779473
446.0,94.0,169.55851063829786,772.4469311151332
321.0,64.0,124.51595744680851,365.9820148634373
399.0,81.0,154.54432624113474,728.0512266737077
314.0,60.0,124.09663120567376,441.09615886399075
381.0,88.0,147.62322695035462,545.3784321399835
392.0,81.0,145.39361702127658,478.0862003923335
426.0,86.0,163.1790780141844,765.9324700719271
325.0,67.0,131.03102836879432,596.4963776658627
428.0,84.0,163.18617021276594,691.2348441979785
418.0,81.0,160.4804964539007,721.0953642925407
284.0,56.0,114.86170212765957,436.7964765353856
307.0,51.0,122.75620567375887,370.891805461243
403.0,77.0,152.74024822695034,541.383770151148
414.0,72.0,158.62322695035462,682.4546732747357
419.0,91.0,158.0212765957447,587.7832352497355
333.0,60.0,132.95478723404256,430.82862956465993
347.0,56.0,136.19769503546098,549.2082570984854
374.0,81.0,145.63652482269504,536.8146943061217
343.0,50.0,132.8537234042553,430.3270074128561
360.0,67.0,138.57624113475177,497.70695324681935
355.0,78.0,137.2695035460993,488.96637493083864
393.0,82.0,149.6241134751773,544.0076454906691
372.0,64.0,147.40514184397162,604.1133423557668
372.0,64.0,144.54166666666666,579.1950723995269
447.0,89.0,167.73847517730496,739.8988033486742
355.0,65.0,135.29609929078015,426.2633890397872
328.0,57.0,131.6427304964539,450.8998407713388
308.0,62.0,124.9122340425532,521.5570134487708
411.0,77.0,154.88209219858157,570.6004594524921
432.0,76.0,165.42109929078015,739.9902285787931
393.0,79.0,151.88563829787233,618.2413540252002
310.0,52.0,123.20390070921985,419.66055216035386
378.0,70.0,143.8209219858156,477.67360482370157
402.0,69.0,153.5345744680851,626.9704358118314
379.0,75.0,144.4964539007092,507.65069664503807
324.0,49.0,128.63741134751774,502.4899833698018
390.0,68.0,151.46099290780143,637.713017453852
351.0,68.0,140.34840425531914,641.3493591557271
352.0,78.0,135.8377659574468,438.8025808246572
366.0,59.0,143.94858156028369,572.3200511795181
400.0,83.0,151.98847517730496,588.463519660731
418.0,86.0,157.45478723404256,601.4855444582766
335.0,63.0,135.02393617021278,570.8549235136562
311.0,58.0,126.66932624113475,538.0936690495945
305.0,62.0,120.0168439716312,325.3357091884209
372.0,63.0,143.1090425531915,477.7584997925158
297.0,62.0,117.91755319148936,413.05259968688694
315.0,74.0,124.89804964539007,440.0153153450528
426.0,79.0,163.20744680851064,733.0633488003613
297.0,61.0,118.65425531914893,353.4655669986423
326.0,70.0,124.84131205673759,377.67428622176897
369.0,78.0,142.854609929078,574.333471656356
313.0,66.0,125.94414893617021,535.9250721480308
371.0,81.0,146.57535460992906,639.7070876402043
288.0,49.0,115.68173758865248,348.2843473353959
395.0,76.0,153.82890070921985,680.09749808234
316.0,70.0,126.40602836879432,474.62592110557836
435.0,81.0,161.61436170212767,617.4461412592423
386.0,65.0,150.88829787234042,633.5513524219108
404.0,72.0,153.02570921985816,576.2094454189928
353.0,79.0,139.25265957446808,577.1781844160254
402.0,77.0,152.58510638297872,603.5831824354914
341.0,74.0,135.33067375886526,540.756789616971
340.0,53.0,131.50265957446808,410.2092127848196
311.0,55.0,123.91489361702128,397.18424626527786
343.0,66.0,133.62056737588654,439.5617046426237
386.0,83.0,150.68439716312056,658.8542955585749
326.0,76.0,127.84485815602837,438.32610831321364
320.0,69.0,127.98049645390071,434.070541597505
409.0,70.0,155.1622340425532,591.0135737324581
402.0,83.0,149.1622340425532,497.85399926437356
370.0,74.0,147.51418439716312,612.1256853276999
324.0,59.0,128.88652482269504,537.5083999798802
405.0,65.0,153.86347517730496,604.4246233841366
338.0,76.0,131.37234042553192,440.3436321110608
400.0,87.0,153.99379432624113,686.8714153903215
401.0,85.0,153.44858156028369,652.1392001156887
445.0,81.0,169.60283687943263,795.7216940797746
363.0,61.0,139.37234042553192,466.6521427493589
356.0,82.0,138.1622340425532,499.2422971367138
370.0,59.0,142.4086879432624,483.61577558347113
321.0,56.0,127.02039007092199,388.75578991876665
320.0,62.0,128.06382978723406,454.80798249585
372.0,78.0,147.0886524822695,612.4212187515716
338.0,59.0,133.33333333333334,462.0981087470417
414.0,70.0,157.645390070922,630.4168049896873
417.0,82.0,159.68262411347519,664.6794143906246
385.0,73.0,146.27304964539007,485.5105502741311
409.0,87.0,157.73847517730496,728.5229168238518
441.0,86.0,167.53989361702128,766.3086921872641
279.0,54.0,110.57535460992908,326.89148480332875
418.0,89.0,159.73138297872342,700.2000080164482
348.0,61.0,133.51241134751774,427.3402714903664
378.0,64.0,144.80585106382978,501.5553912969672
354.0,61.0,140.18617021276594,577.7986739852113
327.0,53.0,127.69326241134752,386.30307517227476
279.0,49.0,112.61436170212765,426.3699001244911
319.0,64.0,128.53014184397162,563.495545369951
381.0,68.0,147.93794326241135,540.9110425783418
370.0,72.0,140.37765957446808,456.9318413309194
382.0,59.0,148.85106382978722,613.2224988682664
372.0,55.0,144.7127659574468,579.350120718274
403.0,79.0,155.27216312056737,667.7282322003426
410.0,78.0,158.81028368794327,688.435638926613
377.0,70.0,148.47074468085106,682.7526902255914
431.0,89.0,161.51241134751774,636.6913353201531
369.0,73.0,142.5709219858156,499.6882324832752
299.0,48.0,120.58599290780141,453.90395273753836
326.0,51.0,128.15691489361703,467.605696865098
366.0,79.0,139.38829787234042,501.5619907197825
397.0,63.0,153.16666666666666,649.7984633569764
317.0,58.0,124.91666666666667,366.7448286051988
287.0,61.0,114.7482269503546,322.702567778281
329.0,62.0,130.81205673758865,497.7625496705393
314.0,57.0,123.77659574468085,427.1699486947339
337.0,76.0,132.875,495.7370345744681
364.0,78.0,136.73758865248226,424.459509079021
292.0,55.0,116.10549645390071,370.0447215620438
272.0,50.0,107.23670212765957,305.8278373509887
341.0,72.0,132.0718085106383,434.4478577221969
300.0,65.0,120.89539007092199,451.33302839394435
387.0,79.0,147.66578014184398,534.9122332566269
346.0,53.0,138.21099290780143,536.6363330566859
316.0,69.0,127.36879432624113,531.2256928725919
352.0,73.0,141.11613475177305,599.5583212300684
364.0,70.0,142.68617021276594,522.1107307228007
288.0,59.0,115.06648936170212,371.06738767541844
416.0,88.0,154.42730496453902,558.6862047935225
419.0,90.0,159.6586879432624,629.0315557253169
350.0,73.0,135.57358156028369,482.79955029299373
298.0,64.0,116.63563829787235,336.76883629470353
295.0,51.0,117.9813829787234,389.2115328391431
386.0,80.0,149.6072695035461,567.3590606294955
429.0,86.0,161.2695035460993,655.4344600372212
306.0,66.0,120.60283687943263,330.58694230672506
391.0,74.0,149.33333333333334,554.6903073286051
