algorithm,Average Ranking (Algorithm)
NSGA2,2.0
AGEMOEA2,3.2222222222222223
NSGA3,3.6666666666666665
SMSEMOA,4.0
MOEAD_TCHE,4.444444444444445
SPEA2,4.888888888888889
RVEA,5.777777777777778
