tipo_decision,alcance,algorithm,init,run,seed,Compacidad,Tolerancia,Hamming,Balance
Compromise (ASF),Global,SMSEMOA,greedy_multi,1,2028116342,17.0,0.17647058823529413,0.44842511472674174,0.01086797054498478
Pseudo-Weights Match,Global,AGEMOEA2,greedy_multi,2,532640811,16.0,0.1875,0.4695811170212766,0.012175173606198898
Mejor Knee Point,Global,AGEMOEA2,greedy_multi,3,250530591,13.0,0.23076923076923078,0.5059328968903437,0.016614681132323113
Compromise (ASF),Local,NSGA2,random_dense,2,1259148855,144.0,0.020833333333333332,0.32960254137115835,0.0013900875174009868
Pseudo-Weights Match,Local,NSGA2,random_dense,4,525629128,224.0,0.013392857142857142,0.38691267730496454,0.0037420053831417827
Mejor Knee Point,Local,NSGA2,random_dense,3,1498628174,136.0,0.022058823529411766,0.35776491447642883,0.0018191847406863184
Compromise (ASF),Local,NSGA2,random_dense,3,1498628174,127.0,0.023622047244094488,0.3638940079298598,0.001900462184556978
Pseudo-Weights Match,Local,NSGA2,random_dense,3,1498628174,130.0,0.023076923076923078,0.3569421713038734,0.0018299799115387436
Mejor Knee Point,Local,NSGA2,random_dense,3,1498628174,103.0,0.02912621359223301,0.38556944157543205,0.0024576441646772776
Compromise (ASF),Local,NSGA2,random_dense,1,1603296394,207.0,0.014492753623188406,0.39325727207318323,0.003249983977515061
Pseudo-Weights Match,Local,NSGA2,random_dense,5,1668963669,200.0,0.015,0.3826063829787234,0.002939749320959712
Mejor Knee Point,Local,NSGA2,random_dense,3,16168643,187.0,0.016042780748663103,0.40040106951871657,0.003990043030006923
Compromise (ASF),Local,NSGA2,random_dense,3,16168643,235.0,0.01276595744680851,0.3704956994114984,0.0024140446288053075
Pseudo-Weights Match,Local,NSGA2,random_dense,3,16168643,242.0,0.012396694214876033,0.3468253619365805,0.001992270076876651
Mejor Knee Point,Local,NSGA2,random_dense,3,16168643,177.0,0.01694915254237288,0.3809602516328084,0.00304400595008108
Compromise (ASF),Local,NSGA2,random_dense,1,286092967,266.0,0.011278195488721804,0.34859755772409745,0.0024895252437457096
Pseudo-Weights Match,Local,NSGA2,random_dense,1,286092967,266.0,0.011278195488721804,0.34859755772409745,0.0024895252437457096
Mejor Knee Point,Local,NSGA2,random_dense,4,1096196884,182.0,0.016483516483516484,0.32288987608136543,0.0013310775919036805
Compromise (ASF),Local,NSGA2,random_dense,4,1177808439,82.0,0.036585365853658534,0.40329311537796225,0.0028878595143707626
Pseudo-Weights Match,Local,NSGA2,random_dense,3,1417016619,90.0,0.03333333333333333,0.4091410559495666,0.002788781521658808
Mejor Knee Point,Local,NSGA2,random_dense,4,1177808439,57.0,0.05263157894736842,0.4455331591389822,0.0051493356462023005
Compromise (ASF),Local,NSGA2,random_dense,1,1603296394,223.0,0.013452914798206279,0.3496843494577489,0.0019413471196218408
Pseudo-Weights Match,Local,NSGA2,random_dense,3,16168643,217.0,0.013824884792626729,0.344421021668791,0.0020782166895000234
Mejor Knee Point,Local,NSGA2,random_dense,4,1842832555,238.0,0.012605042016806723,0.34507419989272303,0.001990934312105267
Compromise (ASF),Local,NSGA2,random_dense,2,2005784526,221.0,0.013574660633484163,0.35911074740861976,0.002167893167474995
Pseudo-Weights Match,Local,NSGA2,random_dense,1,1603296394,191.0,0.015706806282722512,0.3601843600311908,0.002249341835304341
Mejor Knee Point,Local,NSGA2,random_dense,1,1603296394,199.0,0.01507537688442211,0.3884537937916533,0.002870878010080795
Compromise (ASF),Local,NSGA2,random_dense,1,1603296394,240.0,0.0125,0.33247266548463356,0.0017308607825721033
Pseudo-Weights Match,Local,NSGA2,random_dense,1,1603296394,213.0,0.014084507042253521,0.39382928778343823,0.0031080101274440367
Mejor Knee Point,Local,NSGA2,random_dense,1,1603296394,183.0,0.01639344262295082,0.37922431500213155,0.0028083286083040067
Compromise (ASF),Local,NSGA2,random_dense,3,16168643,266.0,0.011278195488721804,0.36905428464778967,0.0023392246771080593
Mejor Knee Point,Local,NSGA2,random_dense,2,2005784526,211.0,0.014218009478672985,0.40451581459446745,0.0038165822719166695
Compromise (ASF),Local,NSGA2,random_dense,4,525629128,246.0,0.012195121951219513,0.35410540275615526,0.002414143343521223
Pseudo-Weights Match,Local,NSGA2,random_dense,2,1340760410,66.0,0.045454545454545456,0.4191650548033527,0.0042741506349833844
Mejor Knee Point,Local,NSGA2,random_dense,5,1003939553,74.0,0.04054054054054054,0.4160556833429174,0.003657863717304584
Compromise (ASF),Local,NSGA2,random_dense,1,938272278,94.0,0.031914893617021274,0.3970782405311604,0.0027303675143188454
Pseudo-Weights Match,Local,NSGA2,random_dense,5,1668963669,221.0,0.013574660633484163,0.364233336542473,0.0023656510000550266
Mejor Knee Point,Local,NSGA2,random_dense,5,1668963669,207.0,0.014492753623188406,0.36697844930962414,0.0025161461260440514
Compromise (ASF),Local,NSGA2,random_dense,2,2005784526,185.0,0.016216216216216217,0.38278704236151045,0.0028629285078944256
Pseudo-Weights Match,Local,NSGA2,random_dense,1,1603296394,212.0,0.014150943396226415,0.3508631071858691,0.001992679802783127
Mejor Knee Point,Local,NSGA2,random_dense,1,1603296394,178.0,0.016853932584269662,0.3720017531277393,0.002658769193809595
Compromise (ASF),Local,NSGA2,random_dense,1,286092967,211.0,0.014218009478672985,0.3674876474740345,0.0033797940916565194
Pseudo-Weights Match,Local,NSGA2,random_dense,5,922327998,98.0,0.030612244897959183,0.3956071790418295,0.002654042542297852
Mejor Knee Point,Local,NSGA2,random_dense,5,922327998,178.0,0.016853932584269662,0.3059954976492151,0.0012075357393264968
