crossover,MaxToleranceRate,MaxToleranceRate_std
HUX,0.2599742661684962,0.024425944364998214
UX,0.25970250019634294,0.024578576889300333
2P,0.2465692040101028,0.023101533677279216
1P,0.2414463292215677,0.024351580254834273
