crossover,IGD+,IGD+_std
UX,0.14998373932879214,0.08697250045732585
HUX,0.15263876259944736,0.08938809971188431
2P,0.1866469617235759,0.09594524893202448
1P,0.2031300638828187,0.10055866779440456
