algorithm,AvgHammingDistance,AvgHammingDistance_std
AGEMOEA2,57.15660477061421,40.1361866591195
NSGA2,55.34722946845705,41.01746137676745
RVEA,52.844341515217735,39.21452342315201
NSGA3,51.738888242291154,40.42657272947072
UNSGA3,51.6663107982346,40.42632964715422
SMSEMOA,48.93707617435503,34.38236706720081
SPEA2,47.096351989351305,37.36980729614733
