greedy_multi,greedy_ting,random_dense
1.0,4.786696367365711e-06,3.3249711622763537e-234
4.786696367365711e-06,1.0,7.0012003073814495e-174
3.3249711622763537e-234,7.0012003073814495e-174,1.0
