crossover,SumMin,SumMin_std
HUX,1.1617420461414505,0.2322176967223576
UX,1.1637160907102344,0.23082936278393543
2P,1.2093034493033197,0.23383397330090167
1P,1.222083799249055,0.2378572007112384
