algorithm,Range,Range_std
NSGA2,0.9884012466126393,0.49643528044945223
AGEMOEA2,0.8761952103953544,0.5032255215569772
UNSGA3,0.8009376994386972,0.44440336985102546
NSGA3,0.7989096420517136,0.4493625744207816
SPEA2,0.7954564465052958,0.37409861622152757
SMSEMOA,0.7372491046298759,0.5089457135333335
RVEA,0.6194423352440811,0.47093772729243005
