crossover,AvgToleranceRate,AvgToleranceRate_std
HUX,0.1934691247266941,0.04165049354612008
UX,0.19314398614999798,0.04167860262294903
2P,0.1824608759824404,0.03679113417209206
1P,0.17875721067274133,0.0348321741819956
