algorithm,AvgToleranceRate,AvgToleranceRate_std
SMSEMOA,0.22305239473675653,0.03294958368128837
AGEMOEA2,0.20109215175271944,0.02109846818065527
UNSGA3,0.1922603907969273,0.032742343451132985
NSGA3,0.1920477838504637,0.032944355057537046
SPEA2,0.17127363747520732,0.03753403830178544
NSGA2,0.16786666239447384,0.0358401442668009
RVEA,0.16111157467423112,0.04062933059234336
