crossover,AvgHammingDistance,AvgHammingDistance_std
1P,55.44698072140819,42.57665484618261
2P,54.3964127929118,41.221765918124476
HUX,49.413758621612324,36.095077506878546
UX,49.19244955465115,35.90336263938714
