AGEMOEA2,NSGA2,NSGA3,RVEA,SMSEMOA,SPEA2,UNSGA3
1.0,1.0,2.243111286019914e-07,5.064177844606721e-46,5.561243569601424e-34,0.03900090806038844,1.1392289681889124e-07
1.0,1.0,5.932419455289714e-07,1.750458609236874e-47,9.342960371537057e-33,0.026264936615770926,3.266534824484479e-07
2.243111286019914e-07,5.932419455289714e-07,1.0,2.1601643632245606e-87,7.80631366155743e-11,1.2249463161797029e-14,1.0
5.064177844606721e-46,1.750458609236874e-47,2.1601643632245606e-87,1.0,5.795936803181191e-157,8.422946768331658e-32,1.3505058603840918e-88
5.561243569601424e-34,9.342960371537057e-33,7.80631366155743e-11,5.795936803181191e-157,1.0,1.1501016305856623e-48,1.857019807246967e-10
0.03900090806038844,0.026264936615770926,1.2249463161797029e-14,8.422946768331658e-32,1.1501016305856623e-48,1.0,4.21679093368758e-15
1.1392289681889124e-07,3.266534824484479e-07,1.0,1.3505058603840918e-88,1.857019807246967e-10,4.21679093368758e-15,1.0
