algorithm,init,crossover,MaxToleranceRate,MaxToleranceRate_std
AGEMOEA2,greedy_multi,UX,0.2866087159868418,0.005342066197493418
AGEMOEA2,greedy_multi,HUX,0.2865599458862192,0.005275577515945825
SMSEMOA,greedy_ting,HUX,0.2863748293752522,0.004755625553101735
AGEMOEA2,greedy_multi,2P,0.2842762756742711,0.005389463378649142
SMSEMOA,greedy_ting,UX,0.28407690720649414,0.005762036781415781
AGEMOEA2,greedy_multi,1P,0.28253448379484475,0.006935649962343124
UNSGA3,greedy_multi,HUX,0.2820327902914832,0.00615574832039122
NSGA3,greedy_multi,UX,0.2807903063908903,0.008260095971106218
UNSGA3,greedy_multi,UX,0.2804337014409291,0.0051584333775776285
NSGA3,greedy_multi,HUX,0.28016871214012995,0.007372447762926076
UNSGA3,greedy_multi,2P,0.27941201851029973,0.007890040494963248
SMSEMOA,random_dense,HUX,0.2787721656436931,0.0032155763101535595
NSGA3,greedy_multi,2P,0.27866840681652977,0.007885685857400085
SMSEMOA,random_dense,UX,0.27853989351920916,0.003459300791632099
NSGA3,random_dense,HUX,0.27704969970745974,0.003971465593765432
NSGA3,random_dense,UX,0.27643847873530064,0.0031287307808619278
UNSGA3,random_dense,HUX,0.27635933039123517,0.0039021117515447676
UNSGA3,random_dense,UX,0.2763469817414756,0.00441394295412477
NSGA3,greedy_multi,1P,0.27605177166876155,0.00831507304580902
SPEA2,greedy_multi,UX,0.27551027963437424,0.007211262719433726
SPEA2,greedy_multi,HUX,0.27522023365490667,0.00766191058878244
AGEMOEA2,random_dense,UX,0.27305170000480594,0.003859512195859153
UNSGA3,greedy_multi,1P,0.27233571120698896,0.008740657576835557
AGEMOEA2,random_dense,HUX,0.27189822307449446,0.004430946270374398
SMSEMOA,greedy_ting,2P,0.2718386141893367,0.010293644968662103
SMSEMOA,greedy_ting,1P,0.26761955065705545,0.011046017846081222
AGEMOEA2,greedy_ting,HUX,0.26757345501442026,0.004109353251783972
AGEMOEA2,greedy_ting,UX,0.2670884114144645,0.005901266140486726
SPEA2,greedy_multi,1P,0.2669581472291139,0.008533143038686379
SPEA2,random_dense,UX,0.26629032989592916,0.003457010208493308
SPEA2,greedy_multi,2P,0.2651053827184762,0.011267653196065326
SPEA2,random_dense,HUX,0.26451810926224656,0.004379148375748763
NSGA2,random_dense,HUX,0.2587374970924382,0.0051694949242859795
NSGA2,random_dense,UX,0.25854361007044874,0.005147270066095639
NSGA2,greedy_multi,UX,0.25816536268530776,0.012590798740407397
SMSEMOA,greedy_multi,1P,0.2561139169901001,0.011480643809089355
SMSEMOA,greedy_multi,UX,0.2560724918275851,0.007284676654477773
SMSEMOA,greedy_multi,HUX,0.2559847564944548,0.01182849547092401
SMSEMOA,random_dense,2P,0.2550731535359001,0.004370031353251929
NSGA2,greedy_multi,HUX,0.25469531703219456,0.010688413300691984
SMSEMOA,greedy_multi,2P,0.25367498369771424,0.009182557554054392
RVEA,greedy_multi,2P,0.25165049016224117,0.009930213500991523
SPEA2,random_dense,2P,0.24996242199077048,0.004433566861166163
RVEA,greedy_multi,UX,0.2495411217823705,0.009752248458668043
RVEA,greedy_multi,HUX,0.2493251221453843,0.008866152603909633
UNSGA3,greedy_ting,HUX,0.2491099059946545,0.007667927863844089
AGEMOEA2,random_dense,2P,0.24895429405125682,0.004386931537977368
UNSGA3,random_dense,2P,0.24794388724282748,0.0033986964294950377
RVEA,greedy_multi,1P,0.24778684417714814,0.009269467936301736
SPEA2,greedy_ting,HUX,0.24777855202821897,0.007456670065608933
