algorithm,init,crossover,AvgHammingDistance,AvgHammingDistance_std
AGEMOEA2,random_dense,1P,115.16826800087352,2.4124833478803334
NSGA2,random_dense,1P,114.80922255655315,3.2995432646210685
NSGA3,random_dense,1P,114.08813483504113,2.7620043792143476
UNSGA3,random_dense,1P,113.79582462407973,2.5096667959801895
AGEMOEA2,random_dense,2P,112.45284471438467,3.5721998507565282
NSGA2,random_dense,2P,112.40837310996028,4.269131276297737
NSGA3,random_dense,2P,111.62349652507409,3.715222910313107
UNSGA3,random_dense,2P,111.57926944697769,3.011762817834483
RVEA,random_dense,1P,110.93182781438816,3.272630750438395
RVEA,random_dense,2P,107.12229772942813,3.1405106851290387
SPEA2,random_dense,1P,105.61525875605749,3.644925892427717
AGEMOEA2,random_dense,HUX,104.23370900147667,3.179058609236323
AGEMOEA2,random_dense,UX,103.68490113038415,2.973878730955713
SMSEMOA,random_dense,1P,103.54159922559784,3.1211844628769194
SPEA2,random_dense,2P,102.4909281992887,3.6297655685391415
NSGA2,random_dense,HUX,100.54396630165763,3.0733709329199015
RVEA,random_dense,HUX,100.34159860241573,3.3596886163945183
NSGA2,random_dense,UX,99.99814089765188,4.219182978874586
SMSEMOA,random_dense,2P,99.85693853017335,3.250733039957952
RVEA,random_dense,UX,99.48264825840775,3.7300039725930225
UNSGA3,random_dense,HUX,99.31184985011208,3.001635841419008
NSGA3,random_dense,UX,99.0782568261292,2.9610460600300548
NSGA3,random_dense,HUX,99.05566047655547,3.092848453191934
UNSGA3,random_dense,UX,98.92588779851415,3.63002191142037
SPEA2,random_dense,HUX,91.3873433632828,4.020615628938801
SPEA2,random_dense,UX,90.77541427486949,4.299613676639872
SMSEMOA,random_dense,HUX,81.4246962917362,2.601256277820353
SMSEMOA,random_dense,UX,81.3566004650064,3.3350832400567647
NSGA2,greedy_ting,1P,57.46775950595737,3.495858432686449
NSGA2,greedy_ting,2P,54.90677380690538,3.1151399490548006
AGEMOEA2,greedy_ting,2P,52.05305516713187,3.780176323553476
AGEMOEA2,greedy_ting,1P,50.991661383171014,5.795454784655022
AGEMOEA2,greedy_ting,HUX,50.494265926249454,2.6051256585709313
SMSEMOA,greedy_ting,2P,50.17003063527671,12.103943754536024
AGEMOEA2,greedy_ting,UX,49.39678927226971,1.5138219780675206
RVEA,greedy_ting,1P,47.17633267500853,3.697103436931049
NSGA2,greedy_ting,HUX,46.61422183398848,1.603756277201752
NSGA2,greedy_ting,UX,46.430558198664755,1.5699152771363305
SMSEMOA,greedy_ting,1P,45.84817381511955,13.571360803176145
RVEA,greedy_ting,HUX,42.90872806464499,2.374023318590553
RVEA,greedy_ting,UX,42.49768498226185,2.1725360031632843
RVEA,greedy_ting,2P,42.25911040222293,3.0729828005435342
UNSGA3,greedy_ting,1P,42.072027232056435,3.5354240813883795
SMSEMOA,greedy_ting,UX,41.93990401613944,6.887642256966466
NSGA3,greedy_ting,1P,41.409480180711135,3.084922276492915
UNSGA3,greedy_ting,2P,41.28815153303017,3.5504943298657086
NSGA3,greedy_ting,2P,41.043034299277636,3.044668833410194
SMSEMOA,greedy_ting,HUX,41.0242961096899,5.976848481499362
NSGA3,greedy_ting,UX,36.66089049985359,2.0776086139448275
NSGA3,greedy_ting,HUX,36.48595385948594,3.3334090301591863
UNSGA3,greedy_ting,HUX,36.22942572253574,3.410310588868404
SPEA2,greedy_ting,1P,36.07952387637528,4.784841852014427
SPEA2,greedy_ting,2P,35.30287860589422,3.9329726157289295
UNSGA3,greedy_ting,UX,35.270304510247556,2.536335902280335
SPEA2,greedy_ting,HUX,32.13757370374992,2.2539489808104136
SPEA2,greedy_ting,UX,31.473118149580916,2.163301492657088
AGEMOEA2,greedy_multi,HUX,12.673334510594234,0.6660660427292432
AGEMOEA2,greedy_multi,UX,12.6588858583057,0.7531573087958267
AGEMOEA2,greedy_multi,2P,11.410624259062832,0.44666864614954777
RVEA,greedy_multi,UX,11.254173389983274,0.3934800482030529
UNSGA3,greedy_multi,UX,11.063261184781403,0.5391759503297489
RVEA,greedy_multi,HUX,11.053549859466937,0.4216171115823835
NSGA3,greedy_multi,UX,11.03258652583566,0.5517627911785233
SMSEMOA,greedy_multi,UX,10.989791259443107,0.7895783349970632
UNSGA3,greedy_multi,HUX,10.971505329160047,0.44680706472470355
SPEA2,greedy_multi,HUX,10.930643081466693,0.5503761971156012
NSGA3,greedy_multi,HUX,10.854455973817158,0.4639873509458065
SPEA2,greedy_multi,UX,10.68886631413656,0.5454909125918647
SMSEMOA,greedy_multi,HUX,10.664244383465753,0.7384112731873477
AGEMOEA2,greedy_multi,1P,10.66091802346668,0.4740389479441433
SMSEMOA,greedy_multi,1P,10.223229506638829,0.9310574457552472
SMSEMOA,greedy_multi,2P,10.205409853973306,0.96178383647062
NSGA3,greedy_multi,2P,10.061699020635304,0.4523872630731386
UNSGA3,greedy_multi,2P,9.917824746559212,0.4214592651387257
RVEA,greedy_multi,2P,9.898793704342967,0.49766607795751877
UNSGA3,greedy_multi,1P,9.570397600760982,0.46343286273056783
NSGA3,greedy_multi,1P,9.473009885077559,0.4108644234982162
SPEA2,greedy_multi,1P,9.305619293483913,0.4888792408696399
RVEA,greedy_multi,1P,9.205352700041594,0.5411089123222734
SPEA2,greedy_multi,2P,8.96905625402966,0.5401902175118926
NSGA2,greedy_multi,UX,8.382776835207615,0.6372389097098659
NSGA2,greedy_multi,HUX,8.34790880830709,0.5491951977612457
NSGA2,greedy_multi,2P,7.3040781075188805,0.3895566582883765
NSGA2,greedy_multi,1P,6.952973659112156,0.3036966242054892
