algorithm,GD+,GD+_std
SMSEMOA,0.00492354126654805,0.00467431440981172
UNSGA3,0.008712453292408983,0.0074230410210943815
NSGA3,0.008825674755316234,0.007668567772657574
AGEMOEA2,0.010625179102355867,0.008268681849745285
SPEA2,0.011027539878749193,0.005899784873238312
NSGA2,0.01140411303259319,0.008068223420100528
RVEA,0.026073600973541576,0.01630078021872175
