crossover,Hypervolume,Hypervolume_std
HUX,0.28033746355334566,0.11343440217833331
UX,0.2797038804970848,0.11284091705904105
2P,0.26103367847139014,0.10700129781572348
1P,0.2533229815720937,0.10356790356033992
