algorithm,Hypervolume,Hypervolume_std
AGEMOEA2,0.29373838425230014,0.11998396344231621
NSGA2,0.28840025115406,0.12025070505639572
UNSGA3,0.27637421961440717,0.11004711657959948
NSGA3,0.27565603556536417,0.1099200940302556
SPEA2,0.26648051175598636,0.10028865941513608
SMSEMOA,0.26460227813455883,0.11123614759998371
RVEA,0.2149448266876734,0.07174811075063182
