algorithm,init,crossover,SumMin,SumMin_std
UNSGA3,random_dense,2P,1.2243446415635406,0.021623733378107118
NSGA3,random_dense,2P,1.2358154963394785,0.017629287781195654
SPEA2,random_dense,2P,1.2497884069233816,0.0195731922093889
AGEMOEA2,random_dense,1P,1.2574195890181128,0.017050056880148226
UNSGA3,random_dense,1P,1.2722244785409407,0.020231629604254165
SPEA2,random_dense,1P,1.2725418815060248,0.022373802208262013
NSGA3,random_dense,1P,1.2737142282842369,0.016603304152215555
SMSEMOA,random_dense,2P,1.2740595243316901,0.016686029312494736
SMSEMOA,random_dense,1P,1.3118582725954846,0.018379536427611958
RVEA,random_dense,HUX,1.3601341215368437,0.02277361082791914
RVEA,random_dense,UX,1.361373985006672,0.021310992068692233
SPEA2,greedy_multi,HUX,1.4234264986067893,0.010037247195502254
SPEA2,greedy_multi,UX,1.4246744030297587,0.008404334105841132
RVEA,random_dense,2P,1.4275142746251217,0.017451455125859966
AGEMOEA2,greedy_multi,UX,1.4312943928051014,0.008780585879885125
RVEA,random_dense,1P,1.4324467658615683,0.018364952424853972
NSGA2,greedy_multi,HUX,1.4330557552951275,0.007837583063809994
AGEMOEA2,greedy_multi,HUX,1.433224905792724,0.008230885030954966
NSGA2,greedy_multi,UX,1.4336761269284144,0.010064943022958604
UNSGA3,greedy_multi,UX,1.4394512106673023,0.008457336697201407
UNSGA3,greedy_multi,HUX,1.4406065829419972,0.008258060259352589
NSGA3,greedy_multi,UX,1.4414885361984235,0.009017050942103338
NSGA3,greedy_multi,HUX,1.4426427402409099,0.007223618029277683
AGEMOEA2,greedy_multi,2P,1.44472683360206,0.0062834367509990675
SPEA2,greedy_multi,2P,1.4504347293130417,0.007975444914243525
SPEA2,greedy_multi,1P,1.4511833245394317,0.006731346252790487
NSGA2,greedy_multi,2P,1.4514812628793476,0.008015040015120326
AGEMOEA2,greedy_multi,1P,1.4527157891003752,0.006929725466860479
NSGA3,greedy_multi,2P,1.4529397535618906,0.007811610359246858
UNSGA3,greedy_multi,2P,1.4555253126733612,0.005973952476133296
NSGA2,greedy_multi,1P,1.4593487601925397,0.005673457289999895
UNSGA3,greedy_multi,1P,1.4601780539163225,0.0072288001208859
NSGA3,greedy_multi,1P,1.4611344980505743,0.005957828572226315
RVEA,greedy_multi,UX,1.463673966301921,0.005405029175651327
RVEA,greedy_multi,HUX,1.4638738767239714,0.0051825235164862085
SMSEMOA,greedy_multi,UX,1.4643529456546163,0.005130630290873303
SMSEMOA,greedy_multi,HUX,1.465460744149966,0.005186885454211223
SMSEMOA,greedy_multi,1P,1.4690256320532356,0.0077712010036460125
SMSEMOA,greedy_multi,2P,1.4698649186039163,0.0056933486284757
RVEA,greedy_multi,2P,1.478133384160803,0.007540332326225214
RVEA,greedy_multi,1P,1.485422806601957,0.00751391232355783
