algorithm,init,crossover,SumMin,SumMin_std
NSGA2,greedy_ting,UX,0.8281731684439344,0.017299986138262197
NSGA2,greedy_ting,HUX,0.830428986872021,0.015268146421538589
NSGA2,greedy_ting,2P,0.8376821647955789,0.01669874476099181
NSGA2,greedy_ting,1P,0.838369724204725,0.012961056150707976
AGEMOEA2,greedy_ting,2P,0.8427928661894273,0.013775434580228616
AGEMOEA2,greedy_ting,1P,0.8485846806459343,0.010416202249514162
SMSEMOA,greedy_ting,2P,0.8575173797197998,0.013384190276075824
AGEMOEA2,greedy_ting,UX,0.8602582250237419,0.015962667914743767
AGEMOEA2,greedy_ting,HUX,0.8612209567116849,0.018524150489152773
SMSEMOA,greedy_ting,1P,0.8641520752980775,0.01132702228918313
SMSEMOA,greedy_ting,HUX,0.8796457023384143,0.009538941183146557
NSGA3,greedy_ting,1P,0.8817376169188349,0.01649561496802943
SMSEMOA,greedy_ting,UX,0.8822898893076886,0.009558469619185148
NSGA3,greedy_ting,2P,0.8855949055074807,0.018925874768759406
UNSGA3,greedy_ting,2P,0.8867737133272754,0.015376075842169589
UNSGA3,greedy_ting,1P,0.891721099717612,0.028366633003355412
UNSGA3,greedy_ting,HUX,0.8963759665410149,0.028346427737146983
NSGA3,greedy_ting,UX,0.8980584776591377,0.01654956106787454
NSGA3,greedy_ting,HUX,0.8992284675255969,0.02938256719830634
UNSGA3,greedy_ting,UX,0.9044225475028329,0.03262144411510081
SPEA2,greedy_ting,HUX,0.9430654375534698,0.0279761386963712
SPEA2,greedy_ting,UX,0.9457761993253951,0.03585870559084244
NSGA2,random_dense,HUX,0.9639333595048812,0.015677138735231192
NSGA2,random_dense,UX,0.9757766958702084,0.02472709864881589
RVEA,greedy_ting,1P,1.022731105631355,0.0279061885373762
RVEA,greedy_ting,2P,1.0420957224217309,0.022308119558863932
SPEA2,greedy_ting,1P,1.0426377041376087,0.047656537581140995
RVEA,greedy_ting,HUX,1.0614312021918926,0.020139927237352633
RVEA,greedy_ting,UX,1.0752502017925412,0.024880226132532098
SPEA2,greedy_ting,2P,1.0775074500215847,0.03818579036945279
AGEMOEA2,random_dense,HUX,1.090813035757868,0.0184463798440311
AGEMOEA2,random_dense,UX,1.0950080597887992,0.017101880075287443
UNSGA3,random_dense,UX,1.1058459652590278,0.013747937601822713
NSGA3,random_dense,HUX,1.1072459741147676,0.013490775468527418
UNSGA3,random_dense,HUX,1.1081159310605433,0.015550946884034472
NSGA3,random_dense,UX,1.1097379973991714,0.01519731846019479
SPEA2,random_dense,HUX,1.117445665022791,0.02989750873180287
SPEA2,random_dense,UX,1.1207750751785852,0.023277587042783057
NSGA2,random_dense,2P,1.1520407931533099,0.024066329185780187
SMSEMOA,random_dense,HUX,1.1752070584871859,0.013214842798393989
SMSEMOA,random_dense,UX,1.17667983577165,0.015860666142226053
AGEMOEA2,random_dense,2P,1.1987389016558943,0.018634342657917826
NSGA2,random_dense,1P,1.2146116974152037,0.015687108491902257
