algorithm,init,crossover,AvgToleranceRate,AvgToleranceRate_std
SMSEMOA,random_dense,HUX,0.2661336802439952,0.003202097510332393
SMSEMOA,random_dense,UX,0.26571813462056615,0.0032039817677061684
NSGA3,random_dense,HUX,0.25029689556724005,0.0030790552091022887
NSGA3,random_dense,UX,0.2501776123176143,0.0027880333220115924
UNSGA3,random_dense,HUX,0.24986075407333494,0.0028103415849490905
UNSGA3,random_dense,UX,0.24874864737698033,0.0034275666110134915
SMSEMOA,greedy_ting,HUX,0.24756615290855258,0.00548984130662119
SMSEMOA,greedy_ting,UX,0.24496143859986183,0.005039769233807953
SMSEMOA,random_dense,2P,0.24226317781355927,0.003970916078712158
AGEMOEA2,random_dense,UX,0.2376105367921502,0.004740543711579229
AGEMOEA2,random_dense,HUX,0.2348877668449114,0.0036523860574402263
SMSEMOA,random_dense,1P,0.2345213476560511,0.003595630503192375
SPEA2,random_dense,HUX,0.2287311564436616,0.004748743097977886
SPEA2,random_dense,UX,0.22858734771990089,0.005077743615096362
SMSEMOA,greedy_ting,2P,0.22735408787850284,0.00687845144775102
UNSGA3,random_dense,2P,0.22562743322590018,0.005054752407609223
NSGA3,random_dense,2P,0.2255313988307965,0.003995633352008619
NSGA2,random_dense,UX,0.22436457049736405,0.005564998267776872
RVEA,random_dense,HUX,0.22370709848599937,0.005031566572156658
NSGA2,random_dense,HUX,0.22364863082137146,0.005117585924776692
RVEA,random_dense,UX,0.22285581762285778,0.005017319699616886
SPEA2,random_dense,2P,0.2216188092821973,0.005583968291972716
AGEMOEA2,random_dense,2P,0.22151605366445834,0.005796457985587719
SMSEMOA,greedy_ting,1P,0.22105550175763944,0.00863247416951137
AGEMOEA2,random_dense,1P,0.21809582689443735,0.005687431594650225
UNSGA3,random_dense,1P,0.21749422675653893,0.004823587757070309
NSGA3,random_dense,1P,0.21595780391286584,0.004757168280951481
SPEA2,random_dense,1P,0.21168128898195385,0.006494095690778287
RVEA,random_dense,2P,0.20465065858849135,0.005535607614320603
NSGA2,random_dense,2P,0.20389429911977008,0.0032834489030145607
RVEA,random_dense,1P,0.20139498402828493,0.004027155942216257
NSGA2,random_dense,1P,0.19946285603566513,0.004925779861250712
AGEMOEA2,greedy_ting,HUX,0.19588361102380958,0.0042525348155691535
AGEMOEA2,greedy_ting,UX,0.1947544568506909,0.003997388943082263
AGEMOEA2,greedy_multi,UX,0.19208837866637307,0.004832839554180777
AGEMOEA2,greedy_multi,HUX,0.1918510004805387,0.004401187097105496
AGEMOEA2,greedy_multi,2P,0.18757204324881566,0.0045780913585229425
AGEMOEA2,greedy_multi,1P,0.18496793274018627,0.006883174304105685
SMSEMOA,greedy_multi,HUX,0.18446703871765194,0.009756101690409847
SMSEMOA,greedy_multi,UX,0.18279936176336817,0.010190525534575393
UNSGA3,greedy_multi,UX,0.18191101142475302,0.005459642283027695
SMSEMOA,greedy_multi,1P,0.18145351873407373,0.01722984615958803
UNSGA3,greedy_multi,HUX,0.18115383021012715,0.00548208550072487
AGEMOEA2,greedy_ting,2P,0.1803644621009525,0.00391492201715145
NSGA3,greedy_multi,UX,0.18001838429780173,0.005369778477333771
NSGA3,greedy_multi,HUX,0.17945925582465327,0.005892582219739507
SMSEMOA,greedy_multi,2P,0.17833529614725588,0.013420695837103086
UNSGA3,greedy_multi,2P,0.1755370692223101,0.0056675086013337735
NSGA3,greedy_multi,2P,0.17517098683086776,0.0077508360017372315
NSGA3,greedy_multi,1P,0.17392703678361146,0.005270847894381885
AGEMOEA2,greedy_ting,1P,0.17351375172530936,0.005070771080896304
UNSGA3,greedy_multi,1P,0.17214565511646496,0.006027010610510542
UNSGA3,greedy_ting,HUX,0.16672572595362384,0.0051967126027984865
NSGA2,greedy_ting,1P,0.16667092320918175,0.004817359898910574
UNSGA3,greedy_ting,UX,0.16635857314931418,0.006096913607669054
NSGA3,greedy_ting,UX,0.1656108772551507,0.00523644346044007
NSGA3,greedy_ting,HUX,0.1652969862784344,0.00550783647938752
UNSGA3,greedy_ting,2P,0.1642696953286239,0.006097484863715918
NSGA3,greedy_ting,2P,0.163244704369589,0.006020867646496732
NSGA2,greedy_ting,2P,0.16276471348407626,0.005466371280652539
NSGA2,greedy_ting,HUX,0.16025447544656038,0.002695602938013028
NSGA3,greedy_ting,1P,0.15988146393693944,0.0062129376558726634
NSGA2,greedy_ting,UX,0.1586561302624006,0.003160910248599123
UNSGA3,greedy_ting,1P,0.15729206772515597,0.0063388642778757515
SPEA2,greedy_ting,2P,0.15504229824252214,0.007514153991723256
RVEA,greedy_multi,UX,0.1529964487614683,0.007096820388963834
SPEA2,greedy_ting,1P,0.15294677644098445,0.0066551048842871
RVEA,greedy_multi,HUX,0.15292067639265366,0.008032549654792543
RVEA,greedy_multi,2P,0.1509844700671295,0.007660784832383071
SPEA2,greedy_ting,HUX,0.1498904819743111,0.0037225400839298443
RVEA,greedy_multi,1P,0.14865266611404615,0.00452774515362091
SPEA2,greedy_ting,UX,0.14780375302235615,0.003153858426551414
SPEA2,greedy_multi,HUX,0.1455742379391538,0.006894769972100304
SPEA2,greedy_multi,UX,0.1450274610423313,0.007203632651783393
SPEA2,greedy_multi,1P,0.13507731850136626,0.0064226687567995365
NSGA2,greedy_multi,UX,0.135006510774385,0.007814419291810372
NSGA2,greedy_multi,HUX,0.1335667225479998,0.007595297756900005
SPEA2,greedy_multi,2P,0.13330272011174876,0.004920061167231799
RVEA,greedy_ting,HUX,0.1309754410819918,0.0047437511548255405
RVEA,greedy_ting,UX,0.1299682563322689,0.0042844121268179
NSGA2,greedy_multi,2P,0.12326573190062698,0.00546096728865561
NSGA2,greedy_multi,1P,0.12284438463428457,0.0054696592786058615
RVEA,greedy_ting,2P,0.10936828617305429,0.0073560956503150796
RVEA,greedy_ting,1P,0.10486409244252742,0.004854136391750236
