crossover,MinSum,MinSum_std
HUX,1.4750620558145013,0.06002933371801375
UX,1.47559091003953,0.06021461212175518
2P,1.4961361693971005,0.04585104168854733
1P,1.5077645914995157,0.040376723119427596
