algorithm,MinSum,MinSum_std
AGEMOEA2,1.458173407539051,0.049228583670093695
UNSGA3,1.472696098348438,0.05358094728040997
NSGA3,1.4728925595618574,0.053556343588504335
SPEA2,1.484066765417395,0.04669788395136838
SMSEMOA,1.487580768351149,0.03837399852929388
NSGA2,1.4982296985663,0.03769329803241397
RVEA,1.5468297240294435,0.04886480168781274
