algorithm,init,crossover,Hypervolume,Hypervolume_std
NSGA3,greedy_ting,1P,0.3537231578622037,0.007105926380038309
UNSGA3,greedy_ting,1P,0.35232186484602007,0.008777882781447473
SPEA2,greedy_ting,HUX,0.35080547085155384,0.010920088221038966
SPEA2,greedy_ting,UX,0.34820549916034393,0.011896904242870302
SMSEMOA,random_dense,HUX,0.3421933968101124,0.00445140387770188
SMSEMOA,random_dense,UX,0.3413191250458169,0.004856528532319924
NSGA2,random_dense,2P,0.34021475714104876,0.007493976433880661
AGEMOEA2,random_dense,2P,0.3365383352995329,0.006046193407050075
UNSGA3,random_dense,2P,0.328261162210889,0.007279412741235747
NSGA3,random_dense,2P,0.3241966323688053,0.006689304286673933
SPEA2,random_dense,2P,0.31954236250904566,0.0077168524469603105
NSGA2,random_dense,1P,0.31927616744216014,0.005217847747069086
SPEA2,greedy_ting,1P,0.3177807371718517,0.019581433727579364
AGEMOEA2,random_dense,1P,0.3141825841494137,0.006462601225355247
SMSEMOA,random_dense,2P,0.30895619590685774,0.005845709047521334
UNSGA3,random_dense,1P,0.30836076704620635,0.007101561264241413
SPEA2,random_dense,1P,0.3081613654990226,0.008565931605344315
NSGA3,random_dense,1P,0.3075113915033271,0.005927674132180096
SPEA2,greedy_ting,2P,0.30718955772007583,0.015951858947959065
SMSEMOA,random_dense,1P,0.2940907295238519,0.005867572309817153
RVEA,random_dense,HUX,0.2746595797725136,0.008477411692571884
RVEA,random_dense,UX,0.2734943814569034,0.008428186012588898
RVEA,greedy_ting,2P,0.27001061358478856,0.00781802103321463
RVEA,greedy_ting,1P,0.26907282891452566,0.00893863582005028
RVEA,greedy_ting,HUX,0.2683988163972087,0.007216348495404724
RVEA,greedy_ting,UX,0.26582429556271336,0.007418456678243759
RVEA,random_dense,2P,0.2502324435865012,0.006178472245804349
RVEA,random_dense,1P,0.24873235129610388,0.0062614118669277186
SPEA2,greedy_multi,HUX,0.13768418087127487,0.006271569396439657
SPEA2,greedy_multi,UX,0.136733396322897,0.005409935289821803
AGEMOEA2,greedy_multi,UX,0.1347213995399298,0.005497978950131959
AGEMOEA2,greedy_multi,HUX,0.1332289028979227,0.005363236085918955
UNSGA3,greedy_multi,UX,0.1294237401040538,0.005242569917691859
NSGA2,greedy_multi,HUX,0.12905114442230925,0.005120797080999012
NSGA2,greedy_multi,UX,0.12901078638684269,0.005851349289314852
UNSGA3,greedy_multi,HUX,0.12875259387910656,0.0053492858018629125
NSGA3,greedy_multi,UX,0.1280835806490056,0.005430582102542036
NSGA3,greedy_multi,HUX,0.12736552213368577,0.004783865637495021
AGEMOEA2,greedy_multi,2P,0.12558199463251302,0.003757801553963844
RVEA,greedy_multi,UX,0.12056253131400897,0.0031697649146788746
NSGA3,greedy_multi,2P,0.12046776579450842,0.004919726288787566
AGEMOEA2,greedy_multi,1P,0.12040182407456343,0.004125231202904512
RVEA,greedy_multi,HUX,0.12036562458520456,0.0031356620274880535
SPEA2,greedy_multi,2P,0.12001914702598883,0.005067575512906187
UNSGA3,greedy_multi,2P,0.11925887032365114,0.003659082793470364
SPEA2,greedy_multi,1P,0.11923252569256558,0.004205561196926761
NSGA2,greedy_multi,2P,0.11652670814351701,0.005120188431919373
UNSGA3,greedy_multi,1P,0.11626313147049057,0.004394631315111511
NSGA3,greedy_multi,1P,0.11573375689176374,0.0037244670084409
SMSEMOA,greedy_multi,UX,0.11230382493722377,0.0029345902669707883
NSGA2,greedy_multi,1P,0.11209187157246314,0.003324764680977761
SMSEMOA,greedy_multi,HUX,0.11163064146378746,0.003114260547610528
RVEA,greedy_multi,2P,0.11114492880629386,0.004108565456258684
SMSEMOA,greedy_multi,1P,0.10912229401661658,0.004793540279496889
SMSEMOA,greedy_multi,2P,0.10867829452745077,0.0035986069319376254
RVEA,greedy_multi,1P,0.10683952497531521,0.00397634483735194
