algorithm,init,crossover,Hypervolume,Hypervolume_std
AGEMOEA2,greedy_ting,UX,0.40700318304711586,0.006000125547555971
AGEMOEA2,greedy_ting,HUX,0.4065520621381501,0.005858128974918034
NSGA2,random_dense,HUX,0.4012592210547539,0.005025264606155778
NSGA2,random_dense,UX,0.3997844734731531,0.008073700942941457
AGEMOEA2,greedy_ting,2P,0.39878519561706977,0.004669536750588053
AGEMOEA2,greedy_ting,1P,0.3862154480880588,0.004518019763730789
NSGA2,greedy_ting,2P,0.38156761087050534,0.007384077520342496
AGEMOEA2,random_dense,HUX,0.38133164953515325,0.006575957381850447
NSGA2,greedy_ting,1P,0.38079233592976636,0.005236609259348638
AGEMOEA2,random_dense,UX,0.3803180320081784,0.0066445978497333795
NSGA3,random_dense,HUX,0.3764379011473494,0.005304394823766075
UNSGA3,random_dense,HUX,0.3763528852195753,0.005944346348468276
UNSGA3,random_dense,UX,0.3761850841604907,0.00508237882425579
NSGA2,greedy_ting,HUX,0.37606747687574477,0.006297687367269818
NSGA2,greedy_ting,UX,0.37516046053645563,0.006631585214421085
NSGA3,random_dense,UX,0.37514505919018304,0.0052931823587919384
SMSEMOA,greedy_ting,2P,0.3714841601397859,0.008580461108076882
SPEA2,random_dense,HUX,0.3666463573426409,0.010876953513837209
SPEA2,random_dense,UX,0.36576554090457575,0.008521579350997661
NSGA3,greedy_ting,2P,0.3618556459361586,0.006534125677998994
UNSGA3,greedy_ting,HUX,0.36176186563671003,0.009090584866641261
UNSGA3,greedy_ting,2P,0.36119486575420556,0.007378962898961043
SMSEMOA,greedy_ting,1P,0.35987595504767805,0.008187879274631533
NSGA3,greedy_ting,UX,0.3587307264726825,0.006679589995317833
NSGA3,greedy_ting,HUX,0.35862128683469696,0.009377183962674666
UNSGA3,greedy_ting,UX,0.3583538047214869,0.011424279732705973
SMSEMOA,greedy_ting,HUX,0.3579201547508046,0.005802499006688486
SMSEMOA,greedy_ting,UX,0.3576525654447197,0.007971273397569319
