algorithm,init,crossover,GD+
RVEA,greedy_multi,UX,0.0888754871104476
RVEA,greedy_multi,HUX,0.09149750266461902
MOEAD_TCHE,greedy_multi,1P,0.1096100932953227
MOEAD_TCHE,greedy_multi,2P,0.11626517624989832
RVEA,greedy_multi,2P,0.12233908788750289
MOEAD_TCHE,greedy_multi,HUX,0.12291437713525943
RVEA,greedy_multi,1P,0.13576473262892005
MOEAD_TCHE,greedy_multi,UX,0.14005030258645046
AGEMOEA2,greedy_multi,HUX,0.169461960435674
AGEMOEA2,greedy_multi,1P,0.17816331593296506
AGEMOEA2,greedy_multi,UX,0.17984397031328922
AGEMOEA2,greedy_multi,2P,0.1959082390827192
NSGA3,greedy_multi,1P,0.2331241285895927
NSGA3,greedy_multi,UX,0.23662097078594665
NSGA3,greedy_multi,2P,0.2438610566572071
NSGA3,greedy_multi,HUX,0.25473244857595695
SMSEMOA,greedy_multi,2P,0.2707800099807521
SMSEMOA,greedy_multi,1P,0.3037179536957008
SPEA2,greedy_multi,HUX,0.3254314795204182
SMSEMOA,greedy_multi,HUX,0.35906399550675205
SMSEMOA,greedy_multi,UX,0.3596556365137648
NSGA2,greedy_multi,2P,0.3761301400767075
NSGA2,greedy_multi,1P,0.3889182787659662
NSGA2,greedy_multi,HUX,0.39086946319489446
NSGA2,greedy_multi,UX,0.3948145849577563
SPEA2,greedy_multi,UX,0.4005694395638463
SPEA2,greedy_multi,2P,0.41324800403515455
SPEA2,greedy_multi,1P,0.43828575141163223
NSGA3,random_dense,HUX,0.6253213093828967
NSGA3,random_dense,UX,0.628587768772529
SMSEMOA,random_dense,UX,0.6808731510056608
SMSEMOA,random_dense,HUX,0.6913257318153062
AGEMOEA2,random_dense,UX,0.7079690441394353
AGEMOEA2,random_dense,HUX,0.7337392780083873
SPEA2,random_dense,HUX,0.7496865797832802
SPEA2,random_dense,UX,0.7548502180915644
NSGA2,random_dense,UX,0.8186867502151498
NSGA2,random_dense,HUX,0.8255493441476098
NSGA3,random_dense,2P,0.9631787141161086
AGEMOEA2,random_dense,2P,0.9830136781961787
SPEA2,random_dense,2P,0.984555883105946
SMSEMOA,random_dense,2P,0.9846139026391016
NSGA3,random_dense,1P,1.0035285082464993
AGEMOEA2,random_dense,1P,1.0329223771341
RVEA,random_dense,HUX,1.034072632613244
RVEA,random_dense,UX,1.034138629514435
NSGA2,random_dense,2P,1.0399218866199689
SMSEMOA,random_dense,1P,1.0418586912354701
MOEAD_TCHE,random_dense,HUX,1.0525898001033938
MOEAD_TCHE,random_dense,UX,1.0539550463299894
SPEA2,random_dense,1P,1.07019168937913
RVEA,random_dense,1P,1.088200974155986
RVEA,random_dense,2P,1.0945052418371364
NSGA2,random_dense,1P,1.1250636020421525
MOEAD_TCHE,random_dense,2P,1.1706602663634906
MOEAD_TCHE,random_dense,1P,1.1895156400137257
