algorithm,init,crossover,MinSum
SPEA2,greedy_multi,2P,1.3535028325549354
AGEMOEA2,greedy_multi,HUX,1.3538293654591185
AGEMOEA2,greedy_multi,UX,1.353926771949613
MOEAD_TCHE,greedy_multi,UX,1.3545889373108018
AGEMOEA2,greedy_multi,2P,1.355049260663958
AGEMOEA2,greedy_multi,1P,1.3550891005422596
NSGA3,greedy_multi,HUX,1.3557394933390838
NSGA3,greedy_multi,2P,1.3563129273818677
NSGA2,greedy_multi,2P,1.3564088749170067
NSGA2,greedy_multi,HUX,1.3564221739736206
NSGA3,greedy_multi,1P,1.3570058725321494
NSGA3,greedy_multi,UX,1.3573764863223503
SMSEMOA,greedy_multi,UX,1.3583942512113762
MOEAD_TCHE,greedy_multi,1P,1.3584224333538548
SMSEMOA,greedy_multi,2P,1.3585804010370635
MOEAD_TCHE,greedy_multi,2P,1.3587696675303702
SPEA2,greedy_multi,HUX,1.358986987173936
MOEAD_TCHE,greedy_multi,HUX,1.3597779587574632
SMSEMOA,greedy_multi,HUX,1.3598042862243302
SMSEMOA,greedy_multi,1P,1.3599433312147753
SPEA2,greedy_multi,1P,1.3601935187129728
NSGA2,greedy_multi,UX,1.3610073405397818
NSGA2,greedy_multi,1P,1.3614543369063665
SPEA2,greedy_multi,UX,1.3626710183640194
RVEA,greedy_multi,UX,1.4265835403623515
RVEA,greedy_multi,HUX,1.4741612587665898
RVEA,greedy_multi,1P,1.4891478068855832
RVEA,greedy_multi,2P,1.4900493829911217
NSGA3,random_dense,HUX,1.5801515926400196
NSGA3,random_dense,UX,1.5887482729957063
SPEA2,random_dense,HUX,1.5933377291188937
SPEA2,random_dense,UX,1.5981241944235676
NSGA2,random_dense,UX,1.6090513122879184
NSGA2,random_dense,HUX,1.6213127694840963
AGEMOEA2,random_dense,UX,1.6424355523353864
SMSEMOA,random_dense,UX,1.6495929150249116
SMSEMOA,random_dense,HUX,1.6524365157660008
AGEMOEA2,random_dense,HUX,1.6582855864888628
SPEA2,random_dense,2P,1.8194276182579823
NSGA3,random_dense,2P,1.8294747863788943
NSGA2,random_dense,2P,1.8325073975817645
AGEMOEA2,random_dense,2P,1.8431178126175627
SMSEMOA,random_dense,2P,1.8525990964204908
NSGA3,random_dense,1P,1.8602292860331437
SPEA2,random_dense,1P,1.8758273530669765
AGEMOEA2,random_dense,1P,1.8773048074455705
RVEA,random_dense,UX,1.8869368332043486
RVEA,random_dense,HUX,1.8892167617505013
SMSEMOA,random_dense,1P,1.8918881388798403
NSGA2,random_dense,1P,1.8952636271558707
MOEAD_TCHE,random_dense,UX,1.8958284941665888
MOEAD_TCHE,random_dense,HUX,1.896142276344183
RVEA,random_dense,1P,1.9291793708219322
RVEA,random_dense,2P,1.9314550607707708
MOEAD_TCHE,random_dense,2P,1.961666194245924
MOEAD_TCHE,random_dense,1P,1.9762754804324487
