algorithm,init,crossover,run,seed,elapsed_sec,n_solutions_final_front,n_infeasible_final_front,Range,SumMin,MinSum,Hypervolume,IGD+,GD+,MaxToleranceRate,AvgToleranceRate,AvgHammingDistance,avg_h_norm
NSGA2,random_dense,2P,1,1603296394,224.67418789863586,220,0,0.16398516514012207,1.8222306559523387,1.8490648344398215,0.055170680692971735,0.9524932597290173,1.0343962601175194,9.46850145183689e-05,7.129359658828903e-05,0.36621266986032064,0.00047436874334238425
NSGA2,random_dense,2P,2,2005784526,210.26079297065735,219,1,0.20783080095770645,1.8089758785819923,1.8334056707271482,0.05656043981440172,0.9154630072021551,1.0490154864513361,9.908838684106223e-05,6.874742494776812e-05,0.36499171622191606,0.00047278719717864777
NSGA2,random_dense,2P,3,16168643,225.4261474609375,220,0,0.23270113843119064,1.7934420889663334,1.821119850289355,0.05804889589761825,0.8993624037576547,1.036648678247976,0.00011431184270690443,7.092970319263034e-05,0.3691146477880455,0.0004781277821088672
NSGA2,random_dense,2P,4,1842832555,255.52408289909363,220,0,0.21346393605613842,1.8138851088891057,1.8394844764718006,0.056172586541377204,0.9242211350188557,1.0511714088047939,9.259259259259259e-05,6.38073280203727e-05,0.3702461887771542,0.0004795935087786972
NSGA2,random_dense,2P,5,1668963669,202.0520875453949,220,0,0.2283630730129293,1.7932852107545132,1.8194621559806967,0.058157914225334326,0.8923371075367903,1.0283775994782192,0.00011019283746556473,6.991755834165208e-05,0.37308329892916575,0.0004832685219289712
NSGA2,random_dense,UX,1,938272278,234.32457756996155,220,0,0.3470138789413088,1.5922136154712954,1.624977074827884,0.08899440453066075,0.5796759371185652,0.8481194342592475,0.0007100591715976332,0.0002897104977607411,0.3743944842155217,0.0004849669484657017
NSGA2,random_dense,UX,2,1340760410,245.34025049209595,220,0,0.3369817245519409,1.586247740435052,1.6122007955341786,0.09079037784470506,0.548956889619451,0.8293815915486406,0.0007804370447450572,0.0003197615684938106,0.37694152641744877,0.0004882662259293378
NSGA2,random_dense,UX,3,1498628174,182.36005759239197,220,0,0.3626039580936422,1.5647188267517127,1.5976511868229177,0.09539888942665052,0.5136134935287755,0.796803462237531,0.0008917954815695601,0.00033729010929304165,0.3875694357145201,0.0005020329478167359
NSGA2,random_dense,UX,4,1177808439,262.5245726108551,220,0,0.3326126656060182,1.5670054927318833,1.5950655471424144,0.09546308757784787,0.5121561021247816,0.7832651926519606,0.0009233610341643582,0.0003800923178581157,0.38708213303750555,0.0005014017267325201
NSGA2,random_dense,UX,5,1003939553,229.68204522132874,220,0,0.3657259422849344,1.5765553936394534,1.6153619571121967,0.09357902297701846,0.5618434463002062,0.8358640703783699,0.0009233610341643582,0.0003444773886147033,0.37367103848292216,0.00048402984259445875
